Gene = TMS1
index = 1539
Annotated 5SS: [ 159 1082 1257 1500 1772 2235]
Annotated 3SS: [ 525 1146 1315 1561 2071 2298]
SMsplice 5SS: [ 159 1082 1257 1500 1772 2235]
SMsplice 3SS: [ 525 1146 1315 1561 1836 2298]
top_k =  500
Partition function (log Z): 20.45416911207634

Sorted 5' Splice Sites (High to Low Probability):
Position 2235: 0.9972275327500709
Position 1082: 0.9972035764181024
Position 1257: 0.997097142519753
Position 1500: 0.9920670761959398
Position 1772: 0.9813065250867893
Position 159: 0.8020367057766534
Position 187: 0.19185988010263144
Position 23: 0.06297980991339003
Position 1922: 0.029884048185853676
Position 2009: 0.0245056621147766
Position 631: 0.013567905369523844
Position 777: 0.013206709675143459
Position 612: 0.01283444316284463
Position 2001: 0.007376430119482535
Position 2021: 0.006362379147988716
Position 1735: 0.004309463180827439
Position 808: 0.00376251429401226
Position 2229: 0.002225510799696674
Position 2344: 0.0017805245580318893
Position 2568: 0.001412572071668056
Position 799: 0.0009057619690003997
Position 461: 0.0008507639063462732
Position 2607: 0.0008421314061097555
Position 2023: 0.0006502128418849951
Position 994: 0.0006299976414072325
Position 1891: 0.0006037496743948826
Position 2411: 0.0005776761583342326
Position 2373: 0.0005414325012443664
Position 640: 0.000504485716407702
Position 2571: 0.0004749991580563864
Position 788: 0.00045961333748041557
Position 1692: 0.0003571767815508425
Position 990: 0.0003552041009701279
Position 2520: 0.0003050102922402482
Position 1463: 0.00024335450264631253
Position 2573: 0.00024203152295457166
Position 1769: 0.0002139664719298285
Position 1477: 0.00017345810001224545
Position 1935: 0.0001530772962320463
Position 720: 0.0001397542538645004
Position 1953: 0.00010774836510803212
Position 30: 0.00010669090379358898
Position 95: 8.524866087596998e-05
Position 766: 8.360410361432127e-05
Position 415: 8.320522324663415e-05
Position 2468: 7.90593184927418e-05
Position 2447: 7.637893707939969e-05
Position 1803: 6.580567146812222e-05
Position 391: 6.250573507135815e-05
Position 1707: 5.9330392062140914e-05
Position 2375: 4.904346780644502e-05
Position 1729: 4.761459636742487e-05
Position 2239: 4.2149707715457085e-05
Position 1836: 3.533260394846973e-05
Position 1778: 3.3362052741172205e-05
Position 1456: 2.9348399401744277e-05
Position 1191: 2.8155132064159644e-05
Position 1266: 2.498153194983219e-05
Position 1261: 2.4744869587280495e-05
Position 717: 2.3769461441215322e-05
Position 1263: 1.6776909672060514e-05
Position 1382: 1.6550602727685066e-05
Position 1317: 1.0601537363079946e-05
Position 1091: 8.326197758179996e-06
Position 1465: 8.093317787955324e-06
Position 2364: 7.472634019349292e-06
Position 977: 6.6201709352097235e-06
Position 2457: 6.232305686471283e-06
Position 1484: 6.0433419005184225e-06
Position 1202: 5.264353953125629e-06
Position 1086: 5.007938414495278e-06
Position 843: 4.38136727555858e-06
Position 1339: 4.155024467228218e-06
Position 1288: 3.849460232600192e-06
Position 2045: 3.517038332926716e-06
Position 2182: 3.390419457138321e-06
Position 1045: 2.8655787122836345e-06
Position 1448: 2.744906627286912e-06
Position 998: 2.60323297536237e-06
Position 1776: 2.5277418990767154e-06
Position 1651: 2.309014808792878e-06
Position 1530: 2.045695044877175e-06
Position 660: 1.4516378841610282e-06
Position 145: 1.4224448606131776e-06
Position 860: 1.24294607138272e-06
Position 1368: 1.196495051652471e-06
Position 232: 1.184490093258554e-06
Position 63: 1.1337285914743964e-06
Position 10: 9.253727899676669e-07
Position 2348: 8.350251148451013e-07
Position 1584: 7.79426732070089e-07
Position 370: 6.688207852406896e-07
Position 1007: 6.585349848684418e-07
Position 1162: 6.576009372836984e-07
Position 1544: 6.44346521198895e-07
Position 1165: 5.30022709304949e-07
Position 1036: 4.870543279403401e-07
Position 84: 4.644844745338216e-07
Position 1698: 3.6940742086282e-07
Position 1528: 3.3661131147252875e-07
Position 2188: 2.222082716808132e-07
Position 2068: 2.153546421702195e-07
Position 1403: 1.7728059926309504e-07
Position 2166: 1.6450998631823775e-07
Position 2172: 1.493233623271846e-07
Position 2152: 1.4149858277114238e-07
Position 1312: 1.1780637854629838e-07
Position 862: 1.1156020993017493e-07
Position 2357: 7.017119206080362e-08
Position 884: 6.050447394398036e-08
Position 1684: 3.794866113776267e-08
Position 1027: 3.655532092130576e-08
Position 745: 2.2904071317613215e-08
Position 1687: 2.0738865942468276e-08
Position 1783: 1.6153939727118295e-08
Position 1300: 1.2033440025690803e-08
Position 107: 1.1223717376433683e-08
Position 492: 4.8161854001788425e-09
