Gene = Est-Q
index = 1156
Annotated 5SS: [ 302  889 1695 1943]
Annotated 3SS: [ 744 1042 1751 2000]
SMsplice 5SS: [ 302  889 1695 1943]
SMsplice 3SS: [ 744 1042 1751 2000]
top_k =  500
Partition function (log Z): 3.2920972019655506

Sorted 5' Splice Sites (High to Low Probability):
Position 1695: 0.9925504720428991
Position 1943: 0.9909487298458891
Position 889: 0.9154082000743174
Position 302: 0.84980056864867
Position 2467: 0.3572370490778725
Position 629: 0.13635549713737513
Position 623: 0.11864393905085613
Position 456: 0.061517269161208046
Position 1485: 0.016937422316632936
Position 874: 0.012542515978838579
Position 2031: 0.011933823309336549
Position 2465: 0.00948082621998819
Position 517: 0.0077347451564144815
Position 505: 0.007670289420131111
Position 346: 0.00659174481671858
Position 1787: 0.00643043898571772
Position 540: 0.0061642530232176715
Position 1401: 0.006046666726759511
Position 320: 0.005012600918993785
Position 200: 0.0039841354694486065
Position 167: 0.003973153011719809
Position 39: 0.0023212981443303496
Position 870: 0.0018408382937392372
Position 614: 0.0016907234638115155
Position 811: 0.0014528568569649432
Position 181: 0.0014321398809881243
Position 1821: 0.0013526190103320035
Position 620: 0.0012995403135296925
Position 700: 0.0012309299466658798
Position 1007: 0.00115587640134499
Position 2278: 0.001014871535528771
Position 566: 0.0006460717724434229
Position 1835: 0.000548867426457239
Position 294: 0.0005222142903028157
Position 603: 0.000517728564053542
Position 65: 0.0005102181253082553
Position 1614: 0.00045002694458024683
Position 359: 0.0004271606338964055
Position 830: 0.000352961908157976
Position 141: 0.0003509639920117664
Position 86: 0.0003336432269546745
Position 2317: 0.00030224872308671797
Position 59: 0.00029488559745732867
Position 435: 0.00025025470301324863
Position 397: 0.0002488906338342948
Position 1699: 0.00023929004332580374
Position 1256: 0.00023347953158522075
Position 698: 0.000214641382922723
Position 1677: 0.0002023563243760855
Position 837: 0.00019618593151748075
Position 2099: 0.00019508377434128947
Position 2247: 0.00016666884140418604
Position 2477: 0.00015284676718742618
Position 250: 0.0001276500211705992
Position 1947: 0.00012736570740251563
Position 906: 0.00010895808629719627
Position 990: 0.00010399689518292751
Position 559: 0.00010260199501156032
Position 116: 8.766474271540001e-05
Position 173: 8.623385263843902e-05
Position 151: 8.273734611049842e-05
Position 1933: 7.641220707974605e-05
Position 2253: 7.592528439586988e-05
Position 79: 6.833291074501068e-05
Position 1622: 6.677441919036591e-05
Position 953: 6.671424040110423e-05
Position 318: 6.404150846418726e-05
Position 2429: 6.18819348329136e-05
Position 471: 5.5541981298706534e-05
Position 1802: 5.17567181448373e-05
Position 2305: 4.7134488843456254e-05
Position 1806: 4.220768680479173e-05
Position 2343: 3.419915797708333e-05
Position 987: 3.256275430652072e-05
Position 34: 3.1169387700237134e-05
Position 445: 3.1008616736882754e-05
Position 1917: 2.6159268721200414e-05
Position 893: 2.3425952913731155e-05
Position 903: 2.0203557095594986e-05
Position 998: 1.9789204728027808e-05
Position 1876: 1.4315132950783933e-05
Position 1685: 1.3387736927891762e-05
Position 25: 1.2635653899955435e-05
Position 1986: 1.2415719460529732e-05
Position 1927: 1.0961699227057928e-05
Position 2321: 9.767566635341944e-06
Position 2314: 9.686640442716521e-06
Position 48: 8.078587576713011e-06
Position 2024: 6.94264571239537e-06
Position 482: 6.889741568186408e-06
Position 1455: 4.881281867814977e-06
Position 2296: 3.864471682974295e-06
Position 401: 3.1324811744364885e-06
Position 2054: 2.726635362363633e-06
