Gene = DCX-EMAP
index = 1122
Annotated 5SS: [ 1176 28115 35323 35992 36202 36491 36648 37111 37613 38099]
Annotated 3SS: [27919 35205 35602 36051 36318 36551 36711 37194 37701 38219]
SMsplice 5SS: [ 1176 35323 36202 36491 36648 37111 37613 38099]
SMsplice 3SS: [35205 35602 36318 36551 36711 37194 37701 38219]
top_k =  500
Partition function (log Z): 30.291092891290955

Sorted 5' Splice Sites (High to Low Probability):
Position 1176: 0.9999954822362351
Position 36202: 0.9994941816528858
Position 37111: 0.9992813334630528
Position 36648: 0.9978397050158476
Position 38099: 0.9976884524701015
Position 36491: 0.9970790801063598
Position 35323: 0.9759369930243984
Position 37613: 0.9159408143739248
Position 35992: 0.5007511433027481
Position 28115: 0.44629792448306393
Position 37573: 0.060176301576475244
Position 38840: 0.02817594012223709
Position 37634: 0.015378813922142257
Position 37857: 0.013175290420362232
Position 38585: 0.011210072531222717
Position 38506: 0.010815406434145164
Position 38409: 0.007287426027909763
Position 38477: 0.005007991396748169
Position 38350: 0.004324770688584736
Position 37640: 0.0036257048825497325
Position 37324: 0.0029035654569073916
Position 37626: 0.0026728223482512694
Position 38154: 0.0021608768918272236
Position 39002: 0.0020951849650707646
Position 38496: 0.0017973216225605627
Position 37785: 0.0010875214807821592
Position 38578: 0.0007833809690877139
Position 8184: 0.0007453507383123686
Position 37327: 0.0006938749569510296
Position 38767: 0.0005019849135641963
Position 36464: 0.0004776705733555313
Position 37464: 0.00045719813974446575
Position 38731: 0.00042452737767218433
Position 36199: 0.0003436527702414834
Position 38352: 0.00031124790184295086
Position 38420: 0.0003043674829467932
Position 36447: 0.00025999127592067454
Position 36652: 0.0002266149567331373
Position 38323: 0.0002201780489191474
Position 38485: 0.00021168159361732695
Position 37457: 0.0001955868706687256
Position 37848: 0.00018692022027480437
Position 38805: 0.0001783377914056627
Position 36898: 0.00017114220153894801
Position 37350: 0.00013645821740944627
Position 36459: 0.00013070706009397635
Position 38947: 0.00011919502173977429
Position 38298: 9.284545185532719e-05
Position 38455: 9.101373942372454e-05
Position 38573: 7.778336450888184e-05
Position 36206: 7.724521227017119e-05
Position 38263: 6.295541362185825e-05
Position 38103: 5.553825519729187e-05
Position 38068: 4.4146574590575465e-05
Position 37150: 4.24054242284813e-05
Position 37216: 4.027521688710985e-05
Position 36495: 3.9387549727285605e-05
Position 36223: 3.521226009330626e-05
Position 37735: 3.501866663005908e-05
Position 36642: 2.983674452709618e-05
Position 37267: 2.693241003312164e-05
Position 36921: 2.658353998123825e-05
Position 38093: 2.641021003628797e-05
Position 37974: 2.2644697400053883e-05
