Gene = Mrtf
index = 1286
Annotated 5SS: [ 4914 37892 38117 41860]
Annotated 3SS: [37066 37975 41793 42477]
SMsplice 5SS: [  279 37892 38117 41860]
SMsplice 3SS: [37066 37975 41793 42477]
top_k =  500
Partition function (log Z): -8.2852670770896

Sorted 5' Splice Sites (High to Low Probability):
Position 37892: 0.9997551276370698
Position 38117: 0.9959630366169
Position 41860: 0.9333305133834269
Position 279: 0.8010485516084637
Position 38477: 0.5259639391014302
Position 911: 0.3833814112747806
Position 43369: 0.28207808296276116
Position 402: 0.19259456507426986
Position 42359: 0.1413912497430121
Position 39252: 0.05168073241988355
Position 41712: 0.05098239639705725
Position 43192: 0.04839301261268757
Position 43140: 0.019067885486044416
Position 39065: 0.014750971054776066
Position 48376: 0.013555698778179637
Position 42417: 0.008866062511961478
Position 44928: 0.008511564387713009
Position 39049: 0.007629759727111347
Position 40826: 0.0060681282461129
Position 42145: 0.00509793263014173
Position 356: 0.0037814945904034157
Position 39256: 0.0032957662051675517
Position 38138: 0.002524096422530195
Position 38570: 0.00238509594745908
Position 41864: 0.002299721008850374
Position 43163: 0.0018881574267578815
Position 41316: 0.0013357896631793309
Position 39211: 0.0009507646982188268
Position 345: 0.000868328820506779
Position 39249: 0.0008264175678698015
Position 39220: 0.0007044301258559072
Position 38282: 0.0006186076256401059
Position 38693: 0.000580816249415181
Position 360: 0.0005794566765103063
Position 43183: 0.0005726512907746135
Position 42433: 0.0005158403478930402
Position 38481: 0.0005124892432174619
Position 38959: 0.0005122641463894708
Position 38496: 0.0004643422023804627
Position 330: 0.00046205302367459335
Position 269: 0.0003251511520836813
Position 43606: 0.0002927263682835524
Position 43185: 0.0002630270821833708
Position 42306: 0.00025846346580309077
Position 43204: 0.00024324648726381352
Position 41903: 0.00014561486945879933
Position 38744: 9.795443202346162e-05
Position 41871: 8.154978915105914e-05
Position 340: 7.899914700539235e-05
Position 334: 5.254419689082668e-05
Position 41266: 4.9507913407855156e-05
Position 27: 3.308425279433676e-05
Position 110: 3.201410900523948e-05
Position 32: 2.1479369735905807e-05
Position 699: 1.9188152010360767e-05
Position 10: 1.679935717412557e-05
Position 351: 1.2619211395511648e-05
Position 694: 1.139403153624692e-05
Position 134: 1.1147790680255266e-05
Position 38: 1.0914738769909103e-05
Position 38929: 9.173519528119725e-06
Position 646: 8.894607260278666e-06
Position 332: 7.35148163620762e-06
Position 50: 6.847845786346287e-06
Position 349: 4.7290611261597665e-06
Position 689: 2.6221675143147305e-06
Position 79: 1.9764012592007805e-06
Position 141: 1.8830942328368398e-06
Position 310: 1.557220600089729e-06
Position 42948: 1.4332745963088581e-06
Position 147: 1.334087000733582e-06
Position 119: 1.218261827359023e-06
Position 431: 7.683506789777265e-07
Position 149: 4.174245066048235e-07
Position 444: 2.2744503854992477e-07
Position 371: 2.0782231520419158e-07
