Gene = ORMDL
index = 1340
Annotated 5SS: [257 465]
Annotated 3SS: [312 681]
SMsplice 5SS: [257 465]
SMsplice 3SS: [312 681]
top_k =  500
Partition function (log Z): -0.11320336167595524

Sorted 5' Splice Sites (High to Low Probability):
Position 257: 0.9854547122837247
Position 465: 0.5622315044470614
Position 500: 0.426518673404448
Position 20: 0.018769514164359204
Position 823: 0.011484416484551155
Position 622: 0.004188753577972352
Position 469: 0.0024759950513430517
Position 415: 0.00240042088620451
Position 617: 0.0012499107528561274
Position 477: 0.00030993494040307187
Position 283: 0.00027426415657681995
Position 811: 0.0002628314346817251
Position 438: 0.00025595241532716946
Position 486: 0.0002037866570417049
Position 8: 0.00013039981721292264
Position 504: 8.740507885449545e-05
Position 460: 8.449855535440064e-05
Position 63: 5.9207364873314814e-05
Position 175: 4.629519329460778e-05
Position 135: 2.3525189536011258e-05
Position 179: 2.2323210037184896e-05
Position 572: 1.968247105769453e-05
Position 209: 1.7737337280091442e-05
Position 595: 1.0340242391644882e-05
Position 261: 8.174166372076368e-06
Position 788: 4.910522361826252e-06
Position 383: 4.009915448162049e-06
Position 603: 1.60777860917024e-06
Position 46: 1.275170449402405e-06
Position 562: 8.484121151954583e-07
Position 200: 5.268434197132533e-07
Position 451: 2.3663941302218201e-07
Position 37: 2.1984852410187786e-07
Position 48: 1.8697236149087846e-07
Position 796: 1.7331479472249995e-07
Position 554: 1.2430041244396894e-07
Position 275: 1.1579253768095971e-07
Position 778: 1.0520316189450718e-07
Position 321: 6.182950258082498e-08
Position 696: 6.046001710378242e-08
Position 287: 5.473914953651873e-08
Position 700: 4.653403851797626e-08
Position 85: 6.355695100733999e-09
Position 334: 4.5913525629348806e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 312: 0.982523306830888
Position 681: 0.9600777840890238
Position 603: 0.027589333363381024
Position 75: 0.013840680455071492
Position 888: 0.01184905058519614
Position 651: 0.009821617166675456
Position 62: 0.004563669005874414
Position 342: 0.003188423066823875
Position 572: 0.0011361859653455442
Position 536: 0.000999747710412593
Position 769: 0.0005389274741677706
Position 200: 9.986669130149871e-05
Position 123: 9.339162040247047e-05
Position 617: 8.649212110332646e-05
Position 213: 6.89270704686927e-05
Position 778: 6.77750860680896e-05
Position 155: 2.6192749684253193e-05
Position 366: 1.322216750986641e-05
Position 817: 4.390985077692001e-06
Position 257: 4.151185078387299e-06
Position 469: 3.5293927229743794e-06
Position 402: 2.393284552104207e-06
Position 377: 2.0070423922751524e-06
Position 811: 1.6110316000070081e-06
Position 420: 8.573620740129177e-07
Position 448: 4.7509849064100297e-07
Position 486: 2.684571547014596e-07
Position 499: 2.5197177009611697e-07
Position 98: 1.2204257951501132e-07
Position 135: 8.999944327190905e-08
Position 359: 6.597289960651299e-08
Position 109: 1.5156792474236407e-08
Position 280: 7.1196755263279655e-09
Position 438: 1.0450875636470787e-09
Position 261: 7.115643200550807e-12
Position 287: 5.903639732139914e-14
Position 283: 1.2988230476736645e-18
