Gene = amd
index = 1608
Annotated 5SS: [2162]
Annotated 3SS: [2639]
SMsplice 5SS: [197 493]
SMsplice 3SS: [ 257 2639]
top_k =  500
Partition function (log Z): 1.5191728787005867

Sorted 5' Splice Sites (High to Low Probability):
Position 493: 0.9674852428959358
Position 197: 0.8616728789114672
Position 2162: 0.2542239785322576
Position 2253: 0.18063963002999364
Position 190: 0.12499533723831921
Position 1421: 0.10663792518334435
Position 1328: 0.10173626257357589
Position 3340: 0.0396897158739883
Position 1198: 0.025975731164585722
Position 2547: 0.019866551780956532
Position 1082: 0.01678293549182432
Position 2859: 0.015587433860463037
Position 1746: 0.01513638197273763
Position 449: 0.014315352299911517
Position 661: 0.013076566135801963
Position 2263: 0.006849564946383266
Position 2355: 0.005212078037583033
Position 199: 0.004941591239314453
Position 3568: 0.003837009721674444
Position 510: 0.003190321743496186
Position 1364: 0.002625455170704365
Position 3549: 0.00212133539525151
Position 1802: 0.0019321113190714381
Position 2257: 0.0018125804617406885
Position 3652: 0.001360852079766101
Position 1845: 0.0011188056993710488
Position 1047: 0.0010461684781805864
Position 2137: 0.0009764292006861608
Position 36: 0.0008552809091963055
Position 2177: 0.0008047951688693866
Position 2854: 0.0006914301661506718
Position 2531: 0.0006595539523334011
Position 2403: 0.0006151881382211873
Position 2314: 0.0005987204012978427
Position 81: 0.0005972986714050763
Position 517: 0.0005848548379690761
Position 3120: 0.0005003383636890505
Position 28: 0.0004941230858662829
Position 488: 0.0004484455219409566
Position 2246: 0.00042579831165953733
Position 2166: 0.0004188689063472054
Position 2101: 0.00040265696865959653
Position 2114: 0.0003832194088016627
Position 1694: 0.00031823712040511803
Position 377: 0.0002654879727441977
Position 1425: 0.00026206872261413174
Position 3672: 0.00022867987727746386
Position 1383: 0.00022716503903359272
Position 1024: 0.00021499184269879558
Position 2288: 0.00021128720232175668
Position 1931: 0.00020966763834242256
Position 1078: 0.00020485225520515635
Position 1428: 0.00019476530409490741
Position 3896: 0.0001792976331786346
Position 1067: 0.0001725933814244478
Position 1571: 0.00016472219889475447
Position 3854: 0.0001602852649751419
Position 1686: 0.00015158277626641377
Position 3143: 0.00014725111739063448
Position 886: 0.00013350695214685212
Position 1033: 0.00010342330843640848
Position 571: 8.567154904513663e-05
Position 203: 8.47257171161428e-05
Position 2170: 7.891116839457497e-05
Position 1438: 7.345235089073392e-05
Position 21: 6.882891558644989e-05
Position 1809: 6.832645385670291e-05
Position 2751: 6.709363394767542e-05
Position 343: 5.975694644546348e-05
Position 1468: 5.1070961787093256e-05
Position 1523: 4.5721814000566284e-05
Position 201: 4.4329740749583446e-05
Position 9: 2.3487835986369116e-05
Position 1204: 1.4886307701323318e-05
Position 3175: 1.1664084014225778e-05
Position 136: 7.76807656746184e-06
