Gene = ush
index = 1923
Annotated 5SS: [47840 49217 60747 61212 61530 63030 63233]
Annotated 3SS: [49171 59802 60816 61328 61642 63089 63297]
SMsplice 5SS: [  112 25456 60747 61212 61530 63030 63233]
SMsplice 3SS: [25258 59802 60816 61328 61642 63089 63297]
top_k =  500
Partition function (log Z): -58.58724600575162

Sorted 5' Splice Sites (High to Low Probability):
Position 112: 0.9998012736236804
Position 25456: 0.9562725296226524
Position 12516: 0.24865052621672837
Position 12798: 0.20895206280171907
Position 13401: 0.18980587457753093
Position 13095: 0.012366175554940505
Position 11984: 0.011364445868569857
Position 442: 0.005541885617310023
Position 12924: 0.004938854265454401
Position 3541: 0.0031268381897495397
Position 9130: 0.0025987559228705737
Position 12746: 0.00258945074024722
Position 2011: 0.002494128476289069
Position 6564: 0.0021860388914050712
Position 3537: 0.0011119463488435415
Position 3081: 0.0003585707901102831
Position 2603: 0.00017863006132978244
Position 3234: 0.0001005491181178237
Position 3300: 8.182664501629926e-05
Position 3060: 8.136471267491069e-05
Position 3242: 5.4957463457170735e-05
Position 548: 3.631424970195336e-05
Position 801: 1.805899251104898e-05
Position 239: 1.6830305724549707e-05
Position 1103: 1.2185205967471378e-05
Position 1107: 9.300168129571077e-06
Position 3091: 8.430446942363997e-06
Position 1816: 8.084353131921888e-06
Position 1620: 6.4561238184287246e-06
Position 1111: 5.753617284931834e-06
Position 589: 5.601270007613812e-06
Position 268: 3.252779178189979e-06
Position 2351: 2.9195276556743308e-06
Position 2334: 2.8583632039061085e-06
Position 1043: 2.671568780154335e-06
Position 1348: 2.2011168706204804e-06
Position 555: 2.200782627703597e-06
Position 1205: 1.102151260293566e-06
Position 253: 1.0760496574642511e-06
Position 334: 1.0459664450766679e-06
Position 1101: 1.0245680648585535e-06
Position 90: 1.0202216521983327e-06
Position 374: 9.101164312408911e-07
Position 692: 5.574713817245289e-07
Position 1016: 5.517011753776469e-07
Position 389: 4.6063298375861884e-07
Position 47: 4.2268550877253364e-07
Position 336: 3.3708986452860356e-07
Position 1001: 2.5618005586270533e-07
Position 84: 2.435393826613712e-07
Position 162: 1.4002612409174406e-07
Position 503: 1.0565371095490508e-07
Position 221: 6.005396726608127e-08
Position 292: 4.261780351918078e-08
Position 141: 1.7765821056432042e-08
Position 13784: 1.2936342098753722e-08
Position 446: 1.2080252829587914e-09
Position 338: 5.048170216309487e-10
Position 340: 2.734637726150477e-10
Position 671: 1.9168426405610506e-10
Position 569: 1.9093016099412453e-10
Position 11146: 1.880913706971876e-10
Position 528: 1.1188835706120313e-10
Position 431: 1.0381781693155384e-10
Position 620: 7.985598937514581e-11
Position 510: 3.805827837752863e-11
Position 505: 3.7479924412727354e-11
Position 5486: 5.8046780629721674e-12
Position 415: 4.762719799194345e-12
Position 5104: 4.447925411292028e-12
Position 5108: 4.2478201215077655e-12
Position 5684: 3.57971018715596e-12
Position 3711: 2.506898086795074e-12
Position 5015: 1.522799462202546e-12
Position 5172: 6.740956088451155e-13
Position 5653: 6.602181143160822e-13
Position 3806: 5.846486464828028e-14
Position 2021: 4.372546914606273e-15
Position 2004: 2.19819609197902e-15
Position 2205: 1.80980845857697e-15
Position 1534: 1.7324031345542263e-15
Position 1890: 1.177267813848087e-15
Position 904: 3.6234457645291396e-16
Position 968: 8.137128565966126e-17
Position 725: 2.2665217929476957e-20
Position 512: 2.4156079909398465e-22

Sorted 3' Splice Sites (High to Low Probability):
Position 25258: 0.9999993988468121
Position 28148: 0.26140104765552175
Position 12632: 0.25092704822022327
Position 11861: 0.21561528227735868
Position 25528: 0.21048307047430664
Position 25523: 0.1957201092707234
Position 13296: 0.1677259337317759
Position 26159: 0.1258346699102624
Position 27263: 0.08038428137925609
