Gene = mxt
index = 1811
Annotated 5SS: [  57 1654 2042 2209 2584 3127 3578 3756]
Annotated 3SS: [1078 1719 2136 2522 2648 3183 3636 4947]
SMsplice 5SS: [  57 1654 2042 2584 2987 3127 3578 3756]
SMsplice 3SS: [1078 1719 2343 2648 3052 3183 3636 4947]
top_k =  500
Partition function (log Z): 14.239650748090174

Sorted 5' Splice Sites (High to Low Probability):
Position 1654: 0.9991761764042999
Position 3578: 0.9905904137689222
Position 2584: 0.961909853824408
Position 3127: 0.9303469370021253
Position 2042: 0.9254710107627413
Position 3756: 0.8322333429771669
Position 2987: 0.7723390479507466
Position 57: 0.7697378380899078
Position 4490: 0.2508401142948311
Position 4857: 0.13463698172660177
Position 576: 0.06797233059402184
Position 1017: 0.06431172904687832
Position 2209: 0.039775479811448695
Position 1033: 0.024645324094739768
Position 2593: 0.024118385526055008
Position 2992: 0.017415853852272085
Position 4758: 0.01461242052203766
Position 1006: 0.012807890261385554
Position 4772: 0.01277506335932174
Position 195: 0.008567349824117533
Position 3131: 0.007680647345045082
Position 3530: 0.007127884525703963
Position 3787: 0.007053052469114473
Position 4375: 0.007019881206306519
Position 215: 0.006093282139150049
Position 132: 0.005470090006022627
Position 4703: 0.005425252792812586
Position 67: 0.005236389509957115
Position 2588: 0.005103778518832818
Position 4659: 0.005078920140411348
Position 1937: 0.0048502267943933445
Position 885: 0.00421430388135063
Position 1450: 0.004025744243327286
Position 4232: 0.004009318402695098
Position 770: 0.0033708773937305156
Position 4869: 0.0031884046290652896
Position 652: 0.003165391755550723
Position 1025: 0.002786711715878248
Position 4083: 0.0023782626281039975
Position 3846: 0.00225715483597495
Position 3152: 0.0021991576645801203
Position 14: 0.0020961428180056424
Position 4196: 0.0019831818247062405
Position 5138: 0.0019388991276623
Position 2421: 0.001606400643878542
Position 957: 0.0015144580680093863
Position 1348: 0.0013299585730561054
Position 3121: 0.0008409863322554522
Position 2136: 0.0007964057300526516
Position 1474: 0.0007890114996346682
Position 411: 0.0006686551053322592
Position 1942: 0.0006397633905216161
Position 622: 0.0006382906901125005
Position 648: 0.0006297532073346153
Position 1476: 0.0005964562901403578
Position 2999: 0.0005623477577030096
Position 1949: 0.00042246090264137434
Position 1658: 0.00038058204490609655
Position 1151: 0.0003572783774453064
Position 1085: 0.0003367763404405135
Position 1387: 0.00033361078410390157
Position 2801: 0.00032285442732472424
Position 973: 0.0003201518056569756
Position 927: 0.0003151520870591618
Position 2698: 0.00029366292977391154
Position 491: 0.0002808707635360403
Position 5108: 0.0002556667443221282
Position 4523: 0.00024761922169148676
Position 1663: 0.0002338334522749245
Position 3136: 0.00023259961326141366
Position 3142: 0.00022502690594812858
Position 1391: 0.00021950385912870458
Position 2773: 0.00021685256639807012
Position 804: 0.00018874786362955143
Position 1368: 0.00018742687610084202
Position 4707: 0.0001688700335502373
Position 218: 0.00016424825863773794
Position 1801: 0.0001500573935973873
Position 199: 0.0001381673021498376
Position 3389: 0.00013187469671166894
Position 51: 0.00012261063783123148
Position 865: 0.00012203178067438447
Position 3049: 0.00012173889724724046
Position 3161: 0.00011842412464552626
Position 3053: 0.00010891985439835765
Position 526: 9.103465239105104e-05
Position 2926: 8.289635891951205e-05
Position 580: 6.82194530460178e-05
Position 2226: 6.430318788347421e-05
Position 1381: 5.8034812414749176e-05
Position 4596: 5.528882004143534e-05
Position 1897: 5.320042835105996e-05
Position 2235: 5.231714482412314e-05
Position 1799: 5.198164026685142e-05
Position 2386: 4.833295847373728e-05
Position 645: 4.666168651531318e-05
Position 113: 4.2431457064089336e-05
Position 333: 4.225004069125199e-05
Position 502: 4.1995906471434075e-05
Position 386: 4.1320278879813696e-05
Position 1789: 3.9063400902888085e-05
Position 1805: 3.707948201713467e-05
Position 168: 3.632578936200362e-05
Position 4143: 3.225403956540913e-05
Position 101: 2.9024333864004414e-05
Position 2294: 2.8330426733669605e-05
Position 392: 2.7272427430685985e-05
Position 2436: 2.6152120365916442e-05
Position 3406: 2.1336625980382842e-05
Position 833: 2.014805078391754e-05
Position 1648: 1.970985796661867e-05
Position 2446: 1.9570895094306987e-05
Position 4049: 1.8026741858796666e-05
Position 4382: 1.616425892291556e-05
Position 2722: 1.6032056602623957e-05
