Gene = Df31
index = 1131
Annotated 5SS: [ 266 2091]
Annotated 3SS: [1722 2174]
SMsplice 5SS: [ 266 2091]
SMsplice 3SS: [1722 2174]
top_k =  500
Partition function (log Z): -4.02329277412063

Sorted 5' Splice Sites (High to Low Probability):
Position 2091: 0.9755107693407168
Position 266: 0.763191160024175
Position 2361: 0.11737687820379002
Position 3528: 0.08195309147426831
Position 217: 0.04536734244222899
Position 1118: 0.03665925648531419
Position 2079: 0.020846107361072813
Position 48: 0.015025184815760912
Position 716: 0.012880008707978478
Position 3050: 0.011545624041114363
Position 3256: 0.011434048527137372
Position 3343: 0.008936806916452659
Position 560: 0.006217312431569798
Position 988: 0.006167173392959615
Position 558: 0.005592376955377131
Position 645: 0.005574872338980609
Position 2833: 0.005423160300802341
Position 1009: 0.005309465060135406
Position 813: 0.005093758471434159
Position 230: 0.004976785224532148
Position 637: 0.004934052019220965
Position 562: 0.004793263554594235
Position 564: 0.0039802261015250496
Position 595: 0.0033149867190239136
Position 566: 0.003050780331548275
Position 296: 0.002405628218828725
Position 3137: 0.0023172473063421965
Position 641: 0.0022687839711771083
Position 1417: 0.0018899073502651772
Position 639: 0.0018436158149991821
Position 1272: 0.0018346513487469515
Position 1126: 0.0017410788341140709
Position 1114: 0.001561833773655897
Position 2294: 0.0015075578667592632
Position 581: 0.0014249004913530034
Position 991: 0.0010327544785223672
Position 886: 0.0009753271289627629
Position 2873: 0.000898821824427891
Position 326: 0.0007810456842454503
Position 3323: 0.0007513693605751316
Position 1170: 0.0006782748920312245
Position 2475: 0.0006629348328271587
Position 1027: 0.0006473668480518658
Position 3003: 0.0005686344500473595
Position 1188: 0.00056340132876848
Position 3266: 0.00047869540465333646
Position 1013: 0.0004099676012388681
Position 165: 0.0003887579910338875
Position 3428: 0.0003325431068590444
Position 508: 0.00032569306121405645
Position 1479: 0.00031402857397354935
Position 430: 0.00030285968366279645
Position 2533: 0.000280118339064734
Position 1914: 0.00021409246942816722
Position 3475: 0.00017688406630826366
Position 2069: 0.0001297119322846504
Position 2546: 0.00010012612620417836
Position 2321: 9.095217450463193e-05
Position 3349: 8.536231794006921e-05
Position 2919: 6.628550969536829e-05
