Gene = aph-1
index = 1611
Annotated 5SS: [475]
Annotated 3SS: [533]
SMsplice 5SS: [237 475]
SMsplice 3SS: [300 533]
top_k =  500
Partition function (log Z): -3.6644880154501873

Sorted 5' Splice Sites (High to Low Probability):
Position 475: 0.9672177726106667
Position 237: 0.9114941346413932
Position 490: 0.014627220335868657
Position 234: 0.008192764914569039
Position 636: 0.007256043230794634
Position 27: 0.0057412072699926766
Position 141: 0.002112361945311086
Position 883: 0.0020654346679223985
Position 63: 0.0014832643450093024
Position 869: 0.0012465067580793546
Position 854: 0.000959683288923099
Position 169: 0.0009515309655701631
Position 454: 0.00012540403678168338
Position 602: 9.622623338167649e-05
Position 704: 8.938075324102663e-05
Position 896: 6.448311664975396e-05
Position 807: 4.818155674883019e-05
Position 829: 4.330281607163112e-05
Position 460: 3.914889734670223e-05
Position 605: 3.360660414814697e-05
Position 479: 2.64195494369925e-05
Position 687: 2.1429189274971928e-05
Position 145: 1.4742253511345505e-05
Position 444: 1.4214949134728607e-05
Position 312: 9.779538272521986e-06
Position 494: 8.891965206542951e-06
Position 6: 5.708359522027233e-06
Position 928: 5.19260492242802e-06
Position 379: 4.795729744814772e-06
Position 289: 3.1188865457539153e-06
Position 690: 1.8669731289537271e-06
Position 96: 1.4416451690380228e-06
Position 280: 1.1585773247533942e-06
Position 943: 1.090497574283072e-06
Position 526: 5.781447413679612e-07
Position 499: 5.492249266558208e-07
Position 535: 4.2980869594651436e-07
Position 277: 2.85634455601215e-07
Position 87: 2.3009737120839263e-07
Position 261: 4.971795197376871e-08
Position 291: 4.032044191239901e-08
Position 409: 6.621778621055195e-10
Position 582: 5.945182568161003e-10
Position 361: 1.568438694861233e-10
Position 538: 9.947915474971477e-11
Position 774: 1.4058114217970083e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 533: 0.9566050285000945
Position 300: 0.9281808387600994
Position 681: 0.018110043377170544
Position 697: 0.01180721639346975
Position 943: 0.0047867071382231615
Position 560: 0.0011081405062968227
Position 76: 0.000919265331758426
Position 993: 0.0007835691252438452
Position 81: 0.0005237051484547686
Position 517: 0.0003763815859784836
Position 599: 0.00023854338983191157
Position 304: 0.00017229238387404417
Position 1018: 8.588502589626756e-05
Position 890: 8.365212004487956e-05
Position 338: 6.488324362777045e-05
Position 258: 5.559729817348763e-05
Position 835: 3.7437726254837635e-05
Position 1010: 3.1999795741867537e-05
Position 169: 1.8865402844483056e-05
Position 96: 1.0059360353527606e-05
Position 883: 5.939684646396508e-06
Position 535: 2.4163293959391648e-06
Position 869: 3.983059199653573e-07
Position 854: 3.657395706098022e-07
Position 63: 1.0997459723834141e-07
Position 348: 1.058036562594576e-07
Position 261: 7.338258087316564e-08
Position 48: 4.906775652674543e-08
Position 393: 4.164305352853701e-08
Position 369: 2.8124182207023322e-08
Position 345: 1.7831855189647058e-08
Position 54: 7.524440633285025e-09
Position 379: 6.727892639424156e-09
Position 484: 2.197662440017109e-09
Position 489: 1.4813946339529762e-10
Position 479: 8.411771089365308e-11
