Gene = drpr
index = 1677
Annotated 5SS: [  583  7116  7338  7528 11185 12402 13161 13729 14105 14311 14433]
Annotated 3SS: [ 6881  7173  7401 10937 11361 12953 13227 13798 14163 14399 14550]
SMsplice 5SS: [  583  7116  7338  7528 13161 13729 14105 14311]
SMsplice 3SS: [ 6881  7173  7401 12789 13227 13798 14163 14550]
top_k =  500
Partition function (log Z): 15.459353956026838

Sorted 5' Splice Sites (High to Low Probability):
Position 7116: 0.9988894286548027
Position 14105: 0.9966436668574606
Position 7338: 0.9961298655513608
Position 13161: 0.9801997441962758
Position 13729: 0.9565781883223929
Position 14311: 0.9361841793663392
Position 583: 0.8597783450119942
Position 7528: 0.3329470032581077
Position 7462: 0.2864624909588883
Position 11185: 0.2582343240835256
Position 8395: 0.23519979108864364
Position 14881: 0.18970099321417963
Position 12402: 0.1692157607751112
Position 14903: 0.16123329512357304
Position 7490: 0.1393446081968962
Position 31: 0.11222527122145051
Position 14804: 0.0848828657085044
Position 14836: 0.051517679832857266
Position 14433: 0.04527805643129645
Position 7552: 0.04457658153267044
Position 15094: 0.043917273294463655
Position 14899: 0.043133791519912604
Position 13513: 0.040824304859519336
Position 15309: 0.02380049085027428
Position 372: 0.021327477325770564
Position 7761: 0.02000801391518085
Position 13886: 0.018213974200348503
Position 13560: 0.01778395664420411
Position 7501: 0.016708509165524514
Position 1835: 0.013750088977387824
Position 14872: 0.008808330192157226
Position 8165: 0.006729585187643633
Position 11000: 0.006718314635859198
Position 263: 0.0061801619103597815
Position 425: 0.005325775142698706
Position 6772: 0.005013879772769398
Position 243: 0.004742001951406525
Position 13705: 0.004413288022887928
Position 15302: 0.003799429513300131
Position 13494: 0.0035811952784705827
Position 7679: 0.0032214260204783624
Position 1808: 0.002943156756459318
Position 380: 0.0028900904388303767
Position 3283: 0.0028609884348349828
Position 2345: 0.002737207479327881
Position 7484: 0.0027262692733837773
Position 14833: 0.002613447819859677
Position 211: 0.0025019504288800003
Position 10954: 0.0024234044651031328
Position 7322: 0.002331759800948893
Position 7693: 0.002201228106230084
Position 7492: 0.0018655184410093224
Position 4787: 0.0018129278145946257
Position 7723: 0.0015467264383104728
Position 8331: 0.0012883063792769596
Position 35: 0.0011386097803849102
Position 7332: 0.001121200886776101
Position 4167: 0.0011167580270445335
Position 13377: 0.001100243577677532
Position 14344: 0.0010916387290200663
Position 13550: 0.0010207813440163216
Position 123: 0.0009863305248261035
Position 1264: 0.0008870591183849917
Position 7972: 0.0008814555386727964
Position 7591: 0.0008471774945494506
Position 7054: 0.0007408246328093038
Position 7532: 0.0006822581464447613
Position 14664: 0.0006803661536221419
Position 1612: 0.0006199456311232832
Position 13918: 0.0006067292829633593
Position 8987: 0.0005747395977726492
Position 435: 0.0005676948281522542
Position 13983: 0.0004987679709299723
Position 2612: 0.0004303390875596699
Position 224: 0.00041066083573119483
Position 7789: 0.00038192350358296753
Position 14986: 0.00036488723822206896
Position 14992: 0.0003478262120531909
Position 14461: 0.00032944596038687445
Position 14788: 0.0003224716873406293
Position 13645: 0.00030735839734723387
Position 14471: 0.00030374467369965926
Position 7024: 0.00028202970395686296
Position 7808: 0.00026692321542956077
Position 7904: 0.0002436133760579245
Position 3439: 0.00022925053445947008
Position 15246: 0.00022323897488136404
Position 13648: 0.00019387476650259224
Position 7317: 0.00019156005800330375
Position 14133: 0.00016738578773848358
Position 1805: 0.00015661860996042562
Position 13255: 0.00013801590167880154
Position 11979: 0.00011006537773102793
Position 14494: 0.00010314904518161069
Position 13414: 9.95143205583895e-05
Position 7234: 9.723303728421537e-05
Position 8218: 9.149948034444815e-05
Position 14876: 5.769473957434194e-05
Position 215: 5.213097762353292e-05
