Gene = dlt
index = 1672
Annotated 5SS: [130]
Annotated 3SS: [1827]
SMsplice 5SS: [ 130 2048]
SMsplice 3SS: [1827 2108]
top_k =  500
Partition function (log Z): -10.008297431384376

Sorted 5' Splice Sites (High to Low Probability):
Position 130: 0.6180820897821573
Position 2048: 0.5722222083409473
Position 2771: 0.4170410850915076
Position 277: 0.22416376585395756
Position 2134: 0.20830738126445655
Position 2026: 0.16514416330693607
Position 2804: 0.09641298558504333
Position 3344: 0.07466954321919897
Position 3585: 0.07079865461728133
Position 1165: 0.055875154642393204
Position 98: 0.05360265209953987
Position 2277: 0.04718205379840145
Position 2000: 0.014908192715573728
Position 1629: 0.010903440817508086
Position 2983: 0.009842803329287598
Position 1546: 0.009332290932567521
Position 1122: 0.009154946954171317
Position 84: 0.006813390557945683
Position 463: 0.005938968685967051
Position 165: 0.005906464549055055
Position 855: 0.005703201993998487
Position 2058: 0.005667613525007087
Position 1513: 0.005045452135046135
Position 2385: 0.004765495246607479
Position 3997: 0.004617704272279519
Position 939: 0.003955625195252648
Position 763: 0.003942790775669006
Position 566: 0.00316923236087282
Position 943: 0.002840469315301701
Position 543: 0.0022363957515810387
Position 2070: 0.002114262183086035
Position 338: 0.00205647825596927
Position 288: 0.0017912171788695293
Position 1178: 0.001692751230599362
Position 2109: 0.0016779577127485328
Position 2835: 0.0016711449621620506
Position 199: 0.0014552514263869892
Position 1129: 0.0013807537443156477
Position 487: 0.0011775500563874558
Position 1867: 0.0010989552730440077
Position 2432: 0.0009146198041446425
Position 3024: 0.0008502686704545678
Position 1268: 0.0007841483799475517
Position 4337: 0.000781435706824941
Position 618: 0.0007459610370969237
Position 695: 0.0007266923203454583
Position 104: 0.000595950521518292
Position 699: 0.0005448572266538888
Position 2765: 0.0005370482745429609
Position 2594: 0.0004543542063920405
Position 128: 0.000449843458515879
Position 197: 0.00043223997124376115
Position 210: 0.00039488773916255556
Position 3233: 0.0003603018320545298
Position 1034: 0.00035879647338178964
Position 931: 0.00033806240582163143
Position 1273: 0.0003278341572524539
Position 958: 0.0003250211361715814
Position 1507: 0.0002769875847895056
Position 1030: 0.00021022645564994187
Position 1187: 0.00020508449083740597
Position 1623: 0.00019127754973066575
Position 1364: 0.00017764920942223264
Position 459: 0.00017404647580805953
Position 457: 0.0001661654862968531
Position 1027: 0.00016294203635326636
Position 421: 0.0001237839937005618
Position 51: 0.0001030772921186888
