Gene = tra
index = 1916
Annotated 5SS: [ 47 699]
Annotated 3SS: [294 755]
SMsplice 5SS: [ 47 699]
SMsplice 3SS: [119 755]
top_k =  500
Partition function (log Z): -4.727927752409461

Sorted 5' Splice Sites (High to Low Probability):
Position 699: 0.943178947074495
Position 47: 0.5939084641997445
Position 61: 0.12177874045293074
Position 405: 0.02345170218869242
Position 638: 0.01338474866027974
Position 256: 0.009458265767750797
Position 422: 0.003052315154099404
Position 703: 0.002264823859977453
Position 678: 0.0018507879018058667
Position 228: 0.0014353450831776412
Position 219: 0.001012599926452527
Position 706: 0.0009546757735973013
Position 311: 0.0008129218671902529
Position 672: 0.00041713641350416637
Position 713: 0.00015557685778922988
Position 766: 8.303720605515552e-05
Position 604: 1.7882761881687838e-05
Position 104: 1.0801125494288171e-05
Position 389: 1.0229230688474201e-05
Position 29: 7.007037474998807e-06
Position 595: 6.873564037494372e-06
Position 565: 6.040509128337496e-06
Position 138: 3.328774005914546e-06
Position 91: 1.925862044564911e-06
Position 129: 1.4064205175237336e-06
Position 556: 1.3990934661933396e-06
Position 778: 1.2999271213328588e-06
Position 107: 9.701452123874788e-07
Position 619: 8.871898930078821e-07
Position 301: 4.26970818725112e-07
Position 488: 3.8968295548168107e-07
Position 121: 1.23103780282557e-08
Position 131: 9.82941767667456e-09
Position 119: 1.2971075582909755e-09
Position 580: 9.213069042370988e-12
Position 491: 3.685919952059656e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 755: 0.9606769557540226
Position 119: 0.673402281846914
Position 475: 0.022422798124558566
Position 399: 0.022302283705887476
Position 294: 0.018456207262070635
Position 773: 0.004231710753715806
Position 460: 0.0038211642214736634
Position 310: 0.0035529594599231604
Position 793: 0.0023608011096732154
Position 171: 0.002111298719991603
Position 481: 0.0012746069367834197
Position 778: 0.0008646290957792236
Position 832: 0.00038311504472379585
Position 556: 0.0002515688271097061
Position 589: 0.00020324895899995007
Position 499: 0.0001748800185439817
Position 333: 0.00015582144837014293
Position 260: 0.00010688691927877233
Position 656: 8.157945853806479e-05
Position 562: 6.478790647868041e-05
Position 565: 6.300953432403988e-05
Position 352: 4.5363825556244425e-05
Position 514: 4.397498042138079e-05
Position 604: 3.636185601960602e-05
Position 535: 2.309195333335429e-05
Position 91: 2.2794414023001655e-05
Position 442: 2.078827319989414e-05
Position 689: 2.0121290911810438e-05
Position 538: 1.6117775452674727e-05
Position 367: 1.60411278381102e-05
Position 508: 9.146605880342242e-06
Position 198: 9.030432703862422e-06
Position 488: 7.973698126394598e-06
Position 175: 7.0680071306134816e-06
Position 364: 5.536339829602768e-06
Position 430: 4.119638245227076e-06
Position 331: 4.028502221125831e-06
Position 527: 2.80103937022206e-06
Position 416: 2.2457701979607034e-06
Position 601: 1.480794398057195e-06
Position 880: 1.4232961794197506e-06
Position 595: 1.4021585478044259e-06
Position 177: 1.3973729579107872e-06
Position 151: 1.1647970768700966e-06
Position 517: 1.1546562446996126e-06
Position 186: 1.105951138563273e-06
Position 703: 1.0163863366571198e-06
Position 842: 1.003089137634481e-06
Position 706: 6.011735246633067e-07
Position 356: 1.424609325152452e-08
Position 183: 1.0551272619994408e-08
Position 383: 2.278187423233815e-09
Position 190: 1.080261816531e-09
Position 327: 5.999484381724545e-10
Position 79: 4.0145998815633563e-10
Position 181: 3.824460359645363e-10
Position 411: 2.7925147404224696e-10
