Gene = l(3)mbn
index = 1755
Annotated 5SS: [ 279  447 2454 3735 4001]
Annotated 3SS: [ 337 2309 2813 3937 4068]
SMsplice 5SS: [ 279  447 2454 2982 4001]
SMsplice 3SS: [ 337 2309 2813 3937 4068]
top_k =  500
Partition function (log Z): 5.765581484894302

Sorted 5' Splice Sites (High to Low Probability):
Position 2454: 0.9984575059807494
Position 447: 0.9918392166443903
Position 4001: 0.8603535304201807
Position 2982: 0.8170309081946996
Position 279: 0.6952688633478474
Position 3735: 0.5089335620473812
Position 1977: 0.09203346993041887
Position 3422: 0.06845989167994826
Position 2907: 0.013919437538904155
Position 3197: 0.012455448998351914
Position 2096: 0.009648823912407912
Position 70: 0.009524333927849064
Position 3900: 0.007198432292401494
Position 25: 0.004915450841818366
Position 1168: 0.0035656361345079097
Position 455: 0.003113640945779224
Position 2234: 0.002869711338535507
Position 3069: 0.002748154078087856
Position 2669: 0.002095461721615267
Position 1952: 0.002060212716379329
Position 3744: 0.0020542729686496173
Position 3860: 0.001951286067807943
Position 2057: 0.0017931687912697094
Position 2708: 0.0017748202205042215
Position 3581: 0.0017712160738681748
Position 4591: 0.0015221934393991339
Position 1594: 0.0013422190745076697
Position 3455: 0.0011826293084617133
Position 3518: 0.0010863068221886611
Position 3257: 0.0010814622045171483
Position 3287: 0.000980308912386263
Position 2878: 0.0009139059934900232
Position 3310: 0.0009104925545566279
Position 126: 0.0008218907067763734
Position 2722: 0.0008152394834283228
Position 3764: 0.0007831892913759287
Position 733: 0.0007673669085481341
Position 1253: 0.0007625568253024225
Position 1322: 0.0007326052522713847
Position 2444: 0.0006948206659666708
Position 826: 0.0006183334868623361
Position 4005: 0.0005616792772246194
Position 166: 0.0005390123830742112
Position 505: 0.0005037124525993064
Position 881: 0.0004728719874553037
Position 2765: 0.0004605426112467325
Position 2901: 0.00044849736416336316
Position 1467: 0.0004235615255555514
Position 3994: 0.00039684046059957533
Position 2103: 0.0003701673804327243
Position 386: 0.00036432646113418866
Position 958: 0.00033736449370021606
Position 120: 0.00032109632920225583
Position 1290: 0.0003082997495369658
Position 1177: 0.00029790409023514746
Position 2108: 0.0002960237532992352
Position 4315: 0.00029460773274700484
Position 2448: 0.00025038818693474556
Position 804: 0.00022900912341739993
Position 89: 0.0002062326419023249
Position 974: 0.0001982003858295615
Position 266: 0.00019692841116582683
Position 1805: 0.00019075669769433285
Position 2693: 0.00017790800096916112
Position 1480: 0.00014817538202637704
Position 1063: 0.00013735149992989584
Position 716: 0.0001354049630892315
Position 270: 0.00013153165965331507
Position 3531: 0.00012051669307399919
Position 2458: 0.00011543891670092359
Position 2138: 0.00010356116106565222
Position 1349: 8.900952662193027e-05
Position 1456: 8.643078147140045e-05
Position 2662: 7.788211571093653e-05
Position 1524: 7.472196136215323e-05
Position 1078: 7.271382361676434e-05
Position 1956: 5.984689655468951e-05
Position 20: 4.591028065684417e-05
Position 2543: 4.232688037805583e-05
Position 3594: 4.196934368993931e-05
Position 213: 4.192164831162017e-05
Position 1138: 3.549614516092354e-05
Position 283: 3.482533090129468e-05
Position 2759: 3.442099829741962e-05
Position 1503: 3.4089567320396205e-05
Position 3017: 3.096768277954672e-05
Position 934: 3.0278302445017558e-05
Position 291: 2.8662895098853237e-05
Position 1634: 2.746670618139981e-05
Position 660: 2.636742752015525e-05
Position 1035: 2.4889080600185605e-05
Position 709: 2.1428660502322553e-05
Position 889: 1.97077035744627e-05
Position 849: 1.7168580606362625e-05
Position 2620: 1.684395368375874e-05
Position 831: 1.5122449238624221e-05
Position 1610: 1.1639363562556669e-05
Position 164: 1.07820382042183e-05
Position 81: 9.736454797609935e-06
Position 274: 7.836926852145352e-06
Position 2358: 6.999103508593629e-06
Position 179: 6.540075829887149e-06
Position 3185: 6.3009428453861085e-06
Position 193: 4.382031561200992e-06
Position 29: 3.1187885211063593e-06
Position 2642: 3.1047970145371712e-06
Position 2864: 2.7654523867762556e-06
Position 158: 1.7545095666429078e-06
Position 3022: 1.6947468996608075e-06
Position 3060: 1.3657007695960336e-06
Position 27: 1.2916668520668498e-06
Position 2439: 1.1486637730139012e-06
Position 146: 1.1029304398982372e-06
Position 53: 1.1016375118776631e-06
Position 2843: 8.913728734936511e-07
Position 2910: 7.831616211898114e-07
Position 2375: 6.988719877051943e-07
Position 2793: 4.994624927655113e-07
Position 2923: 4.1860266284195946e-07
Position 325: 2.095182541164102e-07
Position 400: 1.0155150545151001e-07
Position 3053: 4.612308981286824e-08
Position 2972: 1.9800760016958946e-08
Position 3468: 1.3677510177393224e-08
Position 1462: 1.2039152972641569e-08
Position 539: 8.711751268410928e-09
Position 370: 3.8889023943303017e-10
Position 349: 3.5472832212691324e-11
Position 365: 1.7026905137181486e-11
Position 390: 1.6362445886576564e-11
Position 824: 1.1201748044802768e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 2813: 0.9933339504707004
Position 2309: 0.9917636822068754
Position 4068: 0.8742141994473763
Position 337: 0.7063382883379317
Position 3937: 0.47591374716344187
Position 3049: 0.34093251246878725
Position 3780: 0.260350252471488
Position 3485: 0.10776970224774783
Position 1697: 0.06416605139482595
Position 3548: 0.048503121076673476
Position 3899: 0.04462829051779748
Position 3611: 0.04104361382536491
