Gene = Snoo
index = 1510
Annotated 5SS: [  66 9008]
Annotated 3SS: [ 7510 87441]
SMsplice 5SS: [   70 23798 67664]
SMsplice 3SS: [23459 66126 87441]
top_k =  500
Partition function (log Z): -96.89655742417767

Sorted 5' Splice Sites (High to Low Probability):
Position 23798: 0.8094548619126036
Position 70: 0.7686304529174092
Position 647: 0.22615971697377862
Position 17636: 0.19405117216323411
Position 24160: 0.09475141501581752
Position 3560: 0.01924197857082764
Position 1266: 0.0023269322821326517
Position 1274: 0.0005611097026627274
Position 1230: 0.00046472111681346897
Position 770: 0.0003325678255133308
Position 371: 0.0002612697020374655
Position 1567: 0.00019721427084431396
Position 109: 0.00019485871294094457
Position 58: 0.00013898274735198334
Position 637: 0.00012921271818248147
Position 146: 0.00011399337155659278
Position 610: 0.00010313306881239876
Position 854: 9.523639009245966e-05
Position 1485: 9.412377578961986e-05
Position 64: 8.506718201755185e-05
Position 66: 6.079936239144603e-05
Position 1816: 3.811389180478225e-05
Position 1684: 6.48791265964792e-06
Position 16366: 4.167551897737623e-06
Position 1691: 2.2367691873141324e-06
Position 774: 1.368140269381277e-06
Position 17985: 1.2915502841272196e-06
Position 781: 1.164567471297755e-06
Position 405: 4.947043554100905e-07
Position 1527: 4.4194243447735096e-07
Position 16224: 3.435766579445013e-07
Position 1065: 2.9995189877223643e-07
Position 10158: 1.1075363318445276e-07
Position 10783: 2.9709807971904724e-10
Position 4238: 6.963557411966957e-12
Position 4723: 4.979401596066024e-12
Position 4424: 3.890519820273454e-12
Position 3410: 8.173584151312366e-13
Position 4074: 6.453692416272454e-13
Position 4469: 6.290233556892834e-13
Position 4316: 3.333244744642125e-13
Position 3368: 2.0150251861510202e-13
Position 2871: 1.8527065118626573e-13
Position 3022: 1.0916093654843647e-13
Position 1898: 6.97527615877493e-14
Position 1807: 6.359107839866761e-14
Position 2226: 5.2186964173062836e-14
Position 2944: 3.750447517824598e-14
Position 4327: 1.8867875571598104e-14
Position 3768: 1.8319623711631425e-14
Position 1153: 3.697663640111742e-15
Position 495: 1.0430174558127362e-15
Position 2223: 8.500032821763814e-16
Position 641: 5.911614570420869e-16
Position 314: 5.880811704417647e-16
Position 608: 4.607045945840823e-16
Position 622: 3.809836995849859e-16
Position 1069: 3.690209829788257e-16
Position 1367: 3.590255161149688e-16
Position 154: 3.40283298444177e-16
Position 1464: 2.716260108186922e-16
Position 1657: 2.574224423637843e-16
Position 533: 2.206385521641919e-16
Position 186: 2.196375262787528e-16
Position 644: 1.802029405505836e-16
Position 331: 1.0892676675987848e-16
Position 526: 6.496222428478162e-17
Position 1278: 5.941138775075817e-17
Position 1382: 5.710295726111462e-17
Position 884: 5.583145708942358e-17
Position 68: 4.929667878715007e-17
Position 224: 3.0670063829874116e-17
Position 1625: 3.0478331432013984e-17
Position 357: 2.6177885801812784e-17
Position 1120: 2.4469158745357443e-17
Position 680: 2.193734713373711e-17
Position 476: 2.1385186668418596e-17
Position 1518: 2.1251934185752204e-17
Position 170: 2.070906859480629e-17
Position 239: 1.2008331158469027e-17
Position 74: 1.1551480381937901e-17
Position 1073: 8.7071086992157e-18
Position 1027: 7.36286244394941e-18
Position 1308: 7.315315576935511e-18
Position 858: 6.726332981748072e-18
Position 779: 5.512129623050752e-18
Position 376: 4.401906493270042e-18
Position 157: 2.733446401182133e-18
Position 1190: 2.3820953914946593e-18
Position 190: 1.4068932962297869e-18
Position 11: 1.2175416827393951e-18
Position 420: 4.1874350807335093e-19
Position 651: 5.95580868163636e-21
Position 704: 3.848651535898507e-21
Position 649: 1.2876878210468503e-21
Position 181: 1.937017912661053e-23
Position 38: 1.0472219396099128e-23
Position 5: 9.9210539244544e-24
Position 46: 8.723432437851956e-24
Position 48: 3.0439741421013468e-24

Sorted 3' Splice Sites (High to Low Probability):
Position 25482: 0.9879035990957477
Position 23459: 0.7817826096853302
Position 17386: 0.18017678310045085
Position 24046: 0.0770014333497293
Position 23197: 0.057089862199343235
Position 3295: 0.017079272636361085
Position 16125: 0.013886463614659221
Position 3427: 0.00056664767344323
Position 1623: 0.0004270858526051405
Position 22077: 0.000358966333615893
Position 2575: 0.00034456371261384113
Position 1736: 0.00020558794474547653
Position 2506: 0.00018828205968987946
Position 2773: 0.00012753268966450234
Position 3312: 0.00012037636134042006
Position 2846: 0.00010076542695147434
Position 3131: 8.186421877848453e-05
Position 19494: 2.9054063063081697e-05
Position 17702: 2.725682037537096e-05
Position 17765: 3.7860833673869403e-06
Position 18071: 2.835379754923315e-06
Position 16286: 3.435766579445013e-07
Position 15440: 2.1009256733491716e-07
Position 9875: 6.918921932274377e-08
Position 9287: 2.0008059873541e-08
Position 13021: 1.238876195019559e-08
Position 9377: 1.2361420456575278e-08
Position 9196: 9.879632608029826e-09
Position 13686: 7.330822272893253e-09
Position 13614: 7.1552744773646526e-09
Position 13100: 4.636088043464975e-09
Position 11062: 3.811048071957309e-09
Position 12184: 3.3776676651909983e-09
Position 12123: 3.2853209067290083e-09
Position 10686: 2.980286363331637e-09
Position 12490: 2.230919115183058e-09
Position 11596: 4.3699879971085614e-10
Position 10273: 3.171934330599333e-10
Position 5857: 1.494399687083893e-11
Position 4577: 6.427348393017525e-12
Position 4160: 5.2697992580244626e-12
Position 4787: 4.162944137674607e-12
Position 5906: 3.5113685472254438e-12
Position 3974: 3.345789830189872e-12
Position 4300: 2.2373224004794022e-12
Position 4523: 2.1040684990698692e-12
Position 4297: 1.984348745582613e-12
Position 3660: 1.5201753813341384e-12
Position 3663: 1.3768795736661893e-12
Position 6446: 1.129668566976444e-12
Position 5103: 8.483475516141931e-13
Position 4376: 7.581100154226711e-13
Position 3626: 6.34425769996709e-13
Position 3472: 2.587379307899485e-13
Position 3796: 2.559190377369833e-13
Position 4804: 1.9965917744686877e-13
Position 3478: 1.6870883361641515e-13
Position 4256: 1.5576524842147566e-13
Position 3731: 9.771674226702604e-14
Position 572: 6.511223163268358e-14
Position 1208: 4.7997740910255366e-14
Position 2278: 4.493272753313791e-14
Position 267: 4.318251596761583e-14
Position 230: 3.764062774826981e-14
Position 3987: 3.731683709225785e-14
Position 3455: 3.334551674142273e-14
Position 692: 3.1890294293289234e-14
Position 1311: 3.156178080034029e-14
Position 365: 2.6874967247522535e-14
Position 893: 2.477985376301236e-14
Position 746: 2.1378623680621822e-14
Position 1400: 2.005977136638876e-14
Position 680: 1.4059560371917565e-14
Position 190: 9.508740024830844e-15
Position 1956: 8.770233912198766e-15
Position 2874: 8.706490213134382e-15
Position 1377: 8.227366541220124e-15
Position 1554: 7.233242065659114e-15
Position 1026: 6.277917538335175e-15
Position 2714: 6.031432367493765e-15
Position 466: 5.963297165277335e-15
Position 1859: 5.416985492461702e-15
Position 1753: 5.356575196995485e-15
Position 370: 4.8196620070425505e-15
Position 1259: 4.4476609216669586e-15
Position 1959: 4.0545876541588896e-15
Position 1566: 3.439143093526906e-15
Position 404: 3.0245670915573687e-15
Position 1981: 2.4602034653333795e-15
Position 577: 2.419548602537156e-15
Position 1367: 2.3475715023555905e-15
Position 224: 2.3243368381359536e-15
Position 239: 2.0555305700348337e-15
Position 1004: 1.868174618824339e-15
Position 2996: 1.7001424074022355e-15
Position 851: 1.2846403203361749e-15
Position 273: 1.0131669147458586e-15
Position 779: 7.520302842238063e-16
Position 409: 6.2141856090630495e-16
Position 1020: 2.92239905097684e-16
Position 863: 2.5090362991611103e-16
Position 1104: 1.5122861101271862e-16
Position 493: 3.042123138040847e-17
Position 308: 2.804440414482306e-17
Position 428: 1.2815036663218178e-17
Position 146: 7.536685518825362e-18
Position 342: 6.6634405501983816e-18
Position 447: 6.3253946314010315e-18
