Gene = cype
index = 1662
Annotated 5SS: [ 60 450]
Annotated 3SS: [275 516]
SMsplice 5SS: [ 60 450]
SMsplice 3SS: [275 516]
top_k =  500
Partition function (log Z): -3.137519990314225

Sorted 5' Splice Sites (High to Low Probability):
Position 450: 0.9858374990652639
Position 60: 0.7980780045045328
Position 124: 0.06869816181408273
Position 76: 0.010907966067918768
Position 227: 0.00482087839892317
Position 385: 0.0015807781109115416
Position 603: 0.0012726247391820597
Position 96: 0.0006532151433368266
Position 64: 0.000572995051016276
Position 186: 0.0005444276175674204
Position 677: 0.00042502104510307355
Position 25: 0.00036119575350303907
Position 647: 0.0003550535664614258
Position 105: 0.0002797343588025281
Position 409: 0.0002599894453747631
Position 606: 0.00018943318456946342
Position 636: 0.00018429859812492985
Position 196: 0.00013066977362347727
Position 382: 7.263918388116728e-05
Position 612: 3.895906638197621e-05
Position 625: 1.3014227652556024e-05
Position 18: 1.2724745200971201e-05
Position 143: 1.0640547072151685e-05
Position 361: 1.0504770835051005e-05
Position 622: 9.543262074555181e-06
Position 586: 8.182412222357068e-06
Position 520: 7.912214975536267e-06
Position 564: 6.60587450941076e-06
Position 561: 3.628656855425182e-06
Position 256: 6.54595752144163e-07
Position 571: 4.6629951883866266e-07
Position 671: 2.0000492837717692e-07
Position 681: 1.136903631238455e-07
Position 535: 5.417037883842315e-08
Position 316: 3.4748697725142236e-11
Position 323: 7.932562527056271e-12
Position 495: 9.015315124471144e-14
Position 480: 5.285641439316546e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 516: 0.9900726545981317
Position 275: 0.8777796023355862
Position 143: 0.0017622569809058162
Position 295: 0.0015974179341905269
Position 664: 0.001297548706535637
Position 207: 0.0007483893244559204
Position 704: 0.0006847219057208079
Position 348: 0.0003514767867194372
Position 729: 0.0002709430915734088
Position 723: 0.0002071511312569105
Position 124: 0.0001967300684279747
Position 671: 8.821156104861947e-05
Position 186: 8.615987627642443e-05
Position 238: 8.054971335121325e-05
Position 102: 7.198540293874812e-05
Position 459: 2.0379997466133605e-05
Position 628: 1.2289718400851062e-05
Position 520: 1.1273332702673917e-05
Position 580: 1.7534041593548555e-06
Position 690: 1.4201660621749908e-06
Position 571: 7.916305118674189e-07
Position 423: 6.820974405793982e-07
Position 426: 5.853206076963522e-07
Position 606: 5.705438150295506e-07
Position 176: 5.283999084436289e-07
Position 535: 4.996044510451812e-07
Position 553: 4.1145900723531084e-07
Position 603: 3.79122702994744e-07
Position 75: 3.274581399366687e-07
Position 634: 9.80821226158567e-08
Position 218: 2.376289916407642e-10
Position 64: 1.1477696943814664e-11
