Gene = Muc26B
index = 1291
Annotated 5SS: [95]
Annotated 3SS: [157]
SMsplice 5SS: [95]
SMsplice 3SS: [157]
top_k =  500
Partition function (log Z): -4.548252642886717

Sorted 5' Splice Sites (High to Low Probability):
Position 95: 0.9985549455764654
Position 1124: 0.025976275463935657
Position 267: 0.004713973396841017
Position 341: 0.004378564730772238
Position 332: 0.0037453493828053246
Position 451: 0.002629991458663352
Position 1225: 0.0014358988027775718
Position 1471: 0.0012642548903788841
Position 106: 0.0011738868676095424
Position 544: 0.0008339413413132883
Position 479: 0.0006384638635568927
Position 392: 0.00034441639706836983
Position 1273: 0.00020841118996030457
Position 1142: 0.00019869065139075
Position 1115: 0.0001702916004438817
Position 16: 0.00012568846011353112
Position 321: 9.173510610521358e-05
Position 1467: 8.020575544714873e-05
Position 1303: 7.508736356737889e-05
Position 265: 6.684683795164491e-05
Position 336: 5.306578211231422e-05
Position 1113: 4.641189230638877e-05
Position 472: 3.2945229546029026e-05
Position 1291: 1.823127156465946e-05
Position 110: 9.105102687642772e-06
Position 311: 7.91574295543993e-06
Position 530: 7.717598163747852e-06
Position 1168: 7.036954042389517e-06
Position 1067: 5.266847206322899e-06
Position 20: 4.579349469671181e-06
Position 358: 4.061502595907212e-06
Position 1381: 3.766093748136713e-06
Position 37: 3.098491889319617e-06
Position 1625: 3.078730384827973e-06
Position 1540: 2.5148695525630185e-06
Position 271: 1.7961342451247092e-06
Position 397: 1.7918980015863467e-06
Position 1332: 1.707163249503174e-06
Position 1263: 1.6262333852471683e-06
Position 423: 1.1294709287011253e-06
Position 1267: 1.0262660866658416e-06
Position 1535: 8.414852966879759e-07
Position 1234: 7.635301687303526e-07
Position 229: 7.518590323572835e-07
Position 1410: 7.475671716888295e-07
Position 70: 3.2008922858097183e-08
Position 352: 1.948152248761666e-08
Position 51: 1.8807841904291912e-08
Position 203: 1.5470474082147804e-08
Position 1091: 1.5392609915056117e-08
Position 217: 1.5124516207858923e-08
Position 1043: 1.0121955409026518e-08
Position 205: 9.19331227878051e-09
Position 395: 5.7010449602262514e-09
Position 1019: 3.966963168040949e-09
Position 330: 3.5527087168059255e-09
Position 301: 2.6210553018918462e-09
Position 995: 2.41079500366101e-09
Position 971: 2.1963483728702242e-09
Position 214: 2.090925899558186e-09
Position 827: 1.8614040654283547e-09
Position 923: 1.85006856498788e-09
Position 260: 8.578681075406016e-10
Position 157: 8.468095323268641e-10
Position 181: 3.189035165388001e-12
Position 343: 3.600641964304087e-13
Position 167: 2.194123186165522e-13
Position 947: 1.8298468816890583e-13
Position 683: 1.7191312395437124e-13
Position 635: 1.670109332638448e-13
Position 779: 1.6508072580692946e-13
Position 731: 1.6104373858831576e-13
Position 875: 1.5273715411190216e-13
Position 755: 1.520429395164129e-13
Position 803: 1.4710597550281746e-13
Position 707: 1.4610222641266215e-13
Position 851: 1.434548313744791e-13
Position 899: 1.4283251667360687e-13
Position 500: 1.3068533928689443e-13
Position 659: 1.2424037097748068e-13
Position 563: 9.322776372337036e-14
Position 611: 8.534068454231439e-14
Position 587: 8.006483178524772e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 157: 0.9996843268360227
Position 1174: 0.015564005377110446
Position 1213: 0.008433807159748783
Position 1724: 0.008022537010406956
Position 1123: 0.004690684652524971
Position 1176: 0.00156486908579182
Position 538: 0.001333906954130467
Position 454: 0.0011724504874105987
Position 1187: 0.0011358885747136437
Position 1150: 0.0010559302341115566
Position 429: 0.0008818092905322438
Position 1425: 0.000485843876656186
Position 321: 0.0004605302449357652
Position 1506: 0.0004331639998485647
Position 384: 0.00025528907076780114
Position 1345: 0.00024086718323209857
Position 340: 0.0002237941304950122
Position 390: 0.00019919518019171864
Position 1251: 0.0001904954499381029
Position 1545: 0.00016901409562951835
Position 1395: 0.00013557721398984132
Position 1706: 0.0001261495885193557
Position 1676: 9.82128107366196e-05
Position 1527: 9.728181776948858e-05
Position 330: 5.5533416541321595e-05
Position 1229: 4.267060998179882e-05
Position 542: 3.8467867683793274e-05
Position 472: 3.053554110852255e-05
Position 336: 2.1715175015984183e-05
Position 457: 1.974682007850912e-05
Position 1282: 1.2882765560310183e-05
Position 1273: 1.0259811856750307e-05
Position 188: 7.412797504236047e-06
Position 1686: 6.630320190371943e-06
Position 443: 6.268385178814673e-06
Position 311: 6.171004468408796e-06
Position 122: 4.817749862403527e-06
Position 1461: 4.392028675657925e-06
Position 210: 2.6228672082923936e-06
Position 279: 2.2910948452039505e-06
Position 203: 7.775978108169367e-09
Position 222: 1.6761854680451034e-09
Position 94: 1.1342024721939517e-09
Position 77: 3.1488385754934993e-10
Position 233: 2.5848093802176714e-10
Position 67: 1.9891052325477982e-11
Position 133: 5.032320157741267e-12
Position 59: 2.6350017985533587e-13
Position 61: 2.274167434118107e-13
