Gene = l(2)35Be
index = 1744
Annotated 5SS: [226]
Annotated 3SS: [274]
SMsplice 5SS: [226]
SMsplice 3SS: [274]
top_k =  500
Partition function (log Z): -5.008761598043101

Sorted 5' Splice Sites (High to Low Probability):
Position 226: 0.9994104655872421
Position 44: 0.007291372329270067
Position 164: 0.0002304349422972669
Position 168: 0.0001224652536495204
Position 230: 9.51660581694998e-05
Position 17: 6.74265386587642e-05
Position 559: 3.5544431723616394e-05
Position 700: 3.331071248688507e-05
Position 435: 2.1204800727710722e-05
Position 328: 1.8910052254253577e-05
Position 52: 1.4991474518527367e-05
Position 447: 4.380688730246247e-06
Position 361: 4.284495376026969e-06
Position 741: 1.9141417234041654e-06
Position 304: 1.9010127936759344e-06
Position 510: 1.4572140960211226e-06
Position 713: 1.2272421639258445e-06
Position 297: 8.582430043722091e-07
Position 421: 7.320636377525165e-07
Position 710: 6.488001732676386e-07
Position 126: 6.371526712767288e-07
Position 253: 5.75012466989469e-07
Position 150: 5.538791654453969e-07
Position 725: 1.274492484782429e-07
Position 637: 1.1153516914188972e-07
Position 546: 7.86989236042784e-08
Position 612: 7.178942532192085e-09
Position 620: 5.524488404586379e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 274: 0.6038442525839716
Position 278: 0.3750564434376458
Position 355: 0.01133309060072969
Position 125: 0.007346789033150368
Position 323: 0.0040959023408151315
Position 546: 0.002041588110655833
Position 447: 0.0017401259385321037
Position 820: 0.0006483307675843755
Position 327: 0.0003306707995091981
Position 312: 0.00022945330694935947
Position 435: 0.00022330978537452956
Position 510: 0.00018243820012589374
Position 585: 9.66745721137567e-05
Position 372: 3.76412059209844e-05
Position 797: 3.7571709016977714e-05
Position 477: 3.456673788035688e-05
Position 663: 3.452709944361096e-05
Position 134: 1.0301302148360199e-05
Position 672: 8.404265108026223e-06
Position 582: 6.577725397049781e-06
Position 150: 6.351253019989878e-06
Position 245: 5.097040454879889e-06
Position 403: 4.374978749441237e-06
Position 675: 1.8877422919462192e-06
Position 741: 1.8364388826720018e-06
Position 253: 1.3890170428133297e-06
Position 131: 8.2566571612804e-07
Position 781: 1.6359970384051502e-07
Position 247: 8.680216605255258e-08
Position 725: 8.484949455677907e-08
Position 687: 1.845585780634203e-08
Position 207: 1.027962068935296e-08
Position 215: 6.8529965922651854e-09
Position 172: 1.0643382805322372e-11
Position 226: 2.3349492840049687e-12
Position 209: 1.8069105601612199e-12
Position 233: 6.400377758932604e-13
Position 230: 2.778012723415208e-13
