Gene = CycJ
index = 1114
Annotated 5SS: [195 445 945]
Annotated 3SS: [257 521 997]
SMsplice 5SS: [195 945]
SMsplice 3SS: [ 257 1004]
top_k =  500
Partition function (log Z): -5.574920414966533

Sorted 5' Splice Sites (High to Low Probability):
Position 945: 0.9011667643505337
Position 195: 0.8861258667087838
Position 445: 0.2979855741204358
Position 503: 0.017854044280574324
Position 1297: 0.008739230187658207
Position 1063: 0.006480658101160471
Position 207: 0.00455384604339922
Position 1134: 0.002773008987424796
Position 454: 0.0022408949045794567
Position 969: 0.0018539617923278007
Position 940: 0.0015800607502538303
Position 1083: 0.0013665803098975378
Position 1096: 0.0013528129953549667
Position 1190: 0.0011821547023312135
Position 1126: 0.0007168921828591385
Position 1089: 0.00041047023474550094
Position 694: 0.0003665127837594243
Position 1273: 0.0002923065885947697
Position 189: 0.00023627311759480432
Position 6: 0.00023256570919978726
Position 835: 0.00021697881953797722
Position 747: 0.00015354685584568063
Position 489: 0.00013959385723744295
Position 545: 0.00013776196699303585
Position 1072: 0.00010656063673943064
Position 721: 9.974849769050383e-05
Position 430: 9.141309121612598e-05
Position 1288: 4.8303304663409065e-05
Position 1464: 4.6141910455315385e-05
Position 949: 4.427245515289976e-05
Position 510: 3.8929082658938924e-05
Position 584: 3.6100904079648835e-05
Position 1448: 3.154901351179944e-05
Position 37: 2.8539833276558125e-05
Position 78: 2.5456596365390554e-05
Position 524: 2.3545799681123277e-05
Position 239: 2.270946889099722e-05
Position 21: 2.235966062589875e-05
Position 1144: 2.01613812021263e-05
Position 1276: 1.9727510657779862e-05
Position 762: 1.757649750503421e-05
Position 704: 1.3881147159645946e-05
Position 389: 1.2421684267476013e-05
Position 668: 6.726874352111492e-06
Position 334: 6.653291427903663e-06
Position 60: 5.958070869646407e-06
Position 564: 5.077738406381766e-06
Position 862: 5.060334438001449e-06
Position 254: 4.919591482329092e-06
Position 767: 4.059085031680517e-06
Position 344: 3.454383187718719e-06
Position 123: 3.3773588218406612e-06
Position 150: 3.1403224514003413e-06
Position 424: 1.939735090364225e-06
Position 634: 1.6515911809112691e-06
Position 147: 1.6483105731302039e-06
Position 55: 7.250633530568027e-07
Position 597: 3.765946998825729e-07
Position 910: 2.228008506164288e-07
Position 826: 1.3752356588206197e-08
Position 1217: 5.05311234762832e-09
Position 1321: 2.4223131600730555e-09
Position 1054: 1.6744756222180686e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 257: 0.8718125045370666
Position 1004: 0.5286572579331665
Position 997: 0.36111575826138353
Position 608: 0.16302154252916493
Position 521: 0.07294811775863322
Position 811: 0.04173040306545315
Position 1179: 0.02956903845016668
Position 651: 0.02263948608849285
Position 1369: 0.011002268655014556
Position 786: 0.008626217308951892
Position 762: 0.00705919856325289
Position 362: 0.005981394201036878
Position 1326: 0.004712684491400352
Position 1054: 0.002693316279756008
Position 616: 0.002296559487510434
Position 1206: 0.0022773788322604355
Position 1332: 0.00035892549940502955
Position 1215: 0.00035302128857326497
Position 316: 0.0002912377011931139
Position 910: 0.00022845329861451757
Position 1062: 0.0002129709084877337
Position 269: 0.00020966779407521072
Position 87: 0.00017059703578329005
Position 968: 0.00013938634004332547
Position 1541: 0.0001131677452630314
Position 673: 0.0001110210801369534
Position 700: 9.597437104565701e-05
Position 60: 9.016006095293225e-05
Position 945: 8.31883068953209e-05
Position 1222: 6.11916931813766e-05
Position 1371: 5.1779706070836374e-05
Position 859: 4.7383717948797943e-05
Position 1193: 4.365972211730169e-05
Position 1511: 4.180353182834391e-05
Position 324: 2.9636139551507037e-05
Position 119: 1.9836796566301887e-05
Position 868: 1.7827928509501196e-05
Position 1441: 1.4510395469083174e-05
Position 715: 6.131131162047472e-06
Position 887: 4.032456742916839e-06
Position 475: 3.844505016439293e-06
Position 739: 3.554978160703681e-06
Position 409: 3.2270115272434442e-06
Position 879: 2.373463235402759e-06
Position 116: 2.0070356565603743e-06
Position 841: 1.8154502459810904e-06
Position 711: 1.7095205398551335e-06
Position 459: 1.6756865701633563e-06
Position 424: 1.387611788641644e-06
Position 137: 9.67202013824264e-07
Position 823: 9.538779069579544e-07
Position 331: 2.3908230225469516e-07
Position 186: 1.3083744745923009e-07
Position 320: 6.346864385911046e-08
Position 379: 5.438595756631206e-08
Position 389: 4.2000400320712185e-08
Position 167: 1.6296766442960894e-08
Position 183: 6.9752233234971345e-09
Position 419: 6.470374710290973e-09
Position 371: 3.210770790249661e-09
Position 134: 1.615792143072998e-09
Position 123: 1.0966793087857628e-09
Position 194: 9.996780930084786e-15
