Gene = baf
index = 1620
Annotated 5SS: [272]
Annotated 3SS: [353]
SMsplice 5SS: [272]
SMsplice 3SS: [353]
top_k =  500
Partition function (log Z): -3.1675723981190833

Sorted 5' Splice Sites (High to Low Probability):
Position 272: 0.9323393716682211
Position 627: 0.1348599539454463
Position 497: 0.12107049716661865
Position 280: 0.043621939198108715
Position 50: 0.018043345632336942
Position 730: 0.017439624702216522
Position 631: 0.015514017581488208
Position 276: 0.013634359131099654
Position 525: 0.012611662134815585
Position 482: 0.009058150762443689
Position 299: 0.00900120868147922
Position 874: 0.0022733048125920907
Position 504: 0.0017299014299905033
Position 426: 0.00160552637852499
Position 202: 0.0006948933450403916
Position 725: 0.0006225835171837687
Position 736: 0.0005908802247745682
Position 734: 0.0004640747111481365
Position 635: 0.0004200048806569492
Position 206: 0.00010573773871740038
Position 6: 8.597315646774876e-05
Position 833: 8.131172821926295e-05
Position 8: 6.992344061842306e-05
Position 618: 5.9167970733421066e-05
Position 240: 4.2035099616323816e-05
Position 590: 4.037474573306056e-05
Position 54: 3.255317862977752e-05
Position 278: 2.842428051727237e-05
Position 643: 2.3664636127868384e-05
Position 491: 1.889145443857043e-05
Position 650: 1.4278598673714967e-05
Position 620: 1.129091326450443e-05
Position 866: 9.505568934306296e-06
Position 120: 9.06293704812699e-06
Position 880: 5.980465176130638e-06
Position 11: 1.1929724206948825e-06
Position 325: 5.680010743442768e-07
Position 469: 5.126569817348522e-07
Position 148: 1.1147494608190247e-07
Position 580: 1.0842281175312225e-07
Position 320: 2.5135745324142174e-08
Position 179: 2.3857340383713303e-08
Position 381: 1.117595673746856e-08
Position 428: 1.0373053933709445e-08
Position 648: 6.704911698554018e-09
Position 374: 2.81769127315561e-09
Position 404: 4.6371938565063926e-10
Position 347: 1.2546744697694918e-10
Position 363: 3.1949806200447226e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 353: 0.9964654599031809
Position 682: 0.19898020725541352
Position 580: 0.053558098208003266
Position 796: 0.02667547138978936
Position 553: 0.015960626467780868
Position 97: 0.014309767504428455
Position 930: 0.009642240555455364
Position 540: 0.008611345852807319
Position 125: 0.0023037004900047
Position 374: 0.0021984721059429
Position 640: 0.0015490184990504673
Position 824: 0.0013108763973202916
Position 128: 0.001061047820346247
Position 821: 0.000932659776578587
Position 631: 0.0008725193082579206
Position 392: 0.00035422560822177454
Position 163: 0.0002831953876041436
Position 646: 0.00025472146901654957
Position 725: 0.0001827620158847133
Position 877: 0.00017747855195323657
Position 874: 0.00012356204577248367
Position 102: 0.00010789339435569727
Position 1006: 9.003429537267163e-05
Position 64: 8.589543910146972e-05
Position 325: 2.4112811070661624e-05
Position 730: 2.3433206772096292e-05
Position 604: 1.784111260206607e-05
Position 880: 1.634850148887222e-05
Position 320: 1.3321119146831954e-05
Position 901: 1.1478892814927152e-05
Position 171: 8.837752303817917e-06
Position 733: 7.65936388973581e-06
Position 1053: 6.464380232987628e-06
Position 766: 4.6739832349400495e-06
Position 401: 4.509550077346203e-06
Position 253: 3.0292532533560623e-06
Position 449: 8.781271194517697e-07
Position 439: 6.90016029798413e-07
Position 488: 3.987635563053435e-07
Position 491: 3.1691131968313087e-07
Position 590: 2.6032269424421037e-07
Position 398: 2.0803023944172041e-07
Position 422: 1.759596000627449e-07
Position 133: 4.5463930228127274e-08
Position 609: 4.421920184139676e-08
Position 202: 2.636596207424164e-08
Position 410: 1.4086010330996464e-08
Position 425: 1.9106215936592134e-09
Position 501: 1.4295463646610187e-10
Position 187: 1.4648138682503654e-11
