Gene = Gem2
index = 1186
Annotated 5SS: [ 20 310]
Annotated 3SS: [ 86 360]
SMsplice 5SS: [310]
SMsplice 3SS: [360]
top_k =  500
Partition function (log Z): -3.552787493843675

Sorted 5' Splice Sites (High to Low Probability):
Position 310: 0.9991123543473267
Position 20: 0.015544634742382837
Position 461: 0.009713110241254364
Position 965: 0.009372197509497245
Position 883: 0.0032030423028320733
Position 649: 0.002779137689391597
Position 847: 0.002119765615565817
Position 48: 0.0018782111484152665
Position 88: 0.0018136870179863126
Position 1140: 0.000709176061353677
Position 687: 0.0006165510475544429
Position 300: 0.00031539946513638113
Position 244: 0.00031514263850157927
Position 799: 0.0002817405898919977
Position 448: 0.0002589340235581327
Position 25: 0.0002323009176780945
Position 1041: 0.00019062178640858206
Position 86: 6.624292586407523e-05
Position 146: 6.317859793546863e-05
Position 700: 5.9146102842645525e-05
Position 314: 5.8908405668243774e-05
Position 1113: 2.5394203555974747e-05
Position 241: 2.2434187867541764e-05
Position 897: 1.700820584086916e-05
Position 418: 1.6818908254257567e-05
Position 198: 1.5188314100920008e-05
Position 1126: 1.3014455483709438e-05
Position 381: 9.308794435320191e-06
Position 624: 9.244850174124594e-06
Position 454: 9.058831850343274e-06
Position 937: 8.55582426215225e-06
Position 186: 7.532564251643783e-06
Position 1089: 5.816667447043335e-06
Position 732: 5.0099272326159494e-06
Position 213: 4.518410348750953e-06
Position 468: 2.771571331391198e-06
Position 730: 2.757492508003566e-06
Position 973: 2.482684087623522e-06
Position 667: 8.028278198877145e-08
Position 841: 6.085426676601141e-08
Position 492: 4.723601959480172e-08
Position 233: 3.095953281610893e-08
Position 161: 8.00375145609799e-09
Position 338: 1.8082185626575958e-09
Position 375: 7.918463125289659e-10
Position 366: 1.0268507929351119e-10
Position 992: 5.592928965059117e-11
Position 354: 8.988413430650335e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 360: 0.9952476083293926
Position 1045: 0.010153668509578107
Position 522: 0.009371604987408107
Position 99: 0.007183357857890732
Position 86: 0.007044797075356199
Position 132: 0.004557690404493075
Position 381: 0.002300657683178374
Position 997: 0.0015123989446133247
Position 1012: 0.0014442633785031042
Position 1197: 0.0014276239641597018
Position 436: 0.0013265343599058593
Position 902: 0.0010721064936765163
Position 1109: 0.0008257538380056613
Position 846: 0.000817082266561887
Position 949: 0.0006614300620926763
Position 737: 0.0006187077278516578
Position 174: 0.00048733560176885825
Position 918: 0.00042116416157110314
Position 858: 0.0003989993268104028
Position 366: 0.0003897029157890639
Position 897: 0.00037691985147253395
Position 789: 0.0003478910476158655
Position 1052: 0.0002768965806394291
Position 161: 9.764884228845219e-05
Position 1168: 7.609828240245261e-05
Position 177: 5.9678011863641315e-05
Position 158: 5.451982657603785e-05
Position 555: 4.814125271547966e-05
Position 433: 3.1507777898063254e-05
Position 1140: 2.9241033838645912e-05
Position 1171: 2.558153769183132e-05
Position 882: 2.501386490663007e-05
Position 492: 2.0269496536476078e-05
Position 620: 2.0062364792094198e-05
Position 1076: 1.9851206567613126e-05
Position 447: 1.909688809244081e-05
Position 295: 1.843405653549624e-05
Position 1126: 1.6749585007799353e-05
Position 525: 1.0654297300307484e-05
Position 652: 7.303777627582493e-06
Position 465: 5.942562905643111e-06
Position 792: 5.596522871011889e-06
Position 269: 5.150700687172946e-06
Position 956: 4.879132527166447e-06
Position 338: 3.06523146847694e-06
Position 141: 2.6946103806787757e-06
Position 117: 2.5541593991783706e-06
Position 552: 2.1394558709252986e-06
Position 633: 1.5430669740272636e-06
Position 254: 1.109665426579153e-06
Position 112: 1.0248130562487095e-06
Position 238: 3.4226677372113966e-07
Position 224: 9.080617147512418e-08
Position 811: 7.106578702565962e-08
Position 228: 6.831830787771705e-08
Position 870: 6.643538008687351e-08
Position 184: 6.110814819505348e-08
Position 105: 5.4625053887446777e-08
Position 196: 4.76054258821763e-08
Position 222: 3.602121684480223e-08
Position 297: 2.0257409086163674e-08
Position 198: 1.9366716989763918e-08
Position 454: 1.310796012135136e-09
Position 418: 9.768177493013468e-10
Position 600: 7.98292872572339e-10
Position 186: 6.716330554430983e-10
Position 534: 1.3500074763799657e-10
Position 150: 4.534279268712368e-12
