Gene = Cpr65Au
index = 1098
Annotated 5SS: [162]
Annotated 3SS: [503]
SMsplice 5SS: [162]
SMsplice 3SS: [503]
top_k =  500
Partition function (log Z): -4.475234230286846

Sorted 5' Splice Sites (High to Low Probability):
Position 162: 0.47720246708997277
Position 166: 0.4234696997473064
Position 397: 0.2483380905813687
Position 425: 0.09151294768357732
Position 364: 0.014694973563564072
Position 205: 0.012029405690814286
Position 418: 0.004810437819593211
Position 95: 0.0030357682193779116
Position 415: 0.0010291196186706668
Position 704: 0.00036444467715837636
Position 778: 0.00018698277849698853
Position 427: 0.00015684565204155909
Position 753: 0.00013484212636504485
Position 278: 0.0001063089107975796
Position 442: 9.877288439871748e-05
Position 71: 8.911163288025438e-05
Position 249: 8.890508118166469e-05
Position 672: 8.712888837179211e-05
Position 290: 6.920959741974259e-05
Position 606: 6.0206658128538855e-05
Position 542: 4.800877132503407e-05
Position 52: 3.205095403731773e-05
Position 547: 2.9878855338802543e-05
Position 682: 1.065148106458097e-05
Position 77: 5.6415747830856435e-06
Position 337: 4.37934871018968e-06
Position 733: 1.48214412585546e-06
Position 575: 1.257018433757475e-06
Position 314: 8.31412164521517e-07
Position 582: 5.711446050196324e-07
Position 638: 4.720394517812938e-07
Position 764: 3.904601056078441e-07
Position 45: 2.38279965636436e-07
Position 793: 1.0955382417305369e-07
Position 323: 1.4698072817674623e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 503: 0.9708212586143937
Position 314: 0.20263095353269409
Position 252: 0.09461274915687233
Position 510: 0.006496766374225956
Position 361: 0.0011369879858450364
Position 591: 0.0005195218786590937
Position 546: 0.0002470599247631113
Position 165: 0.00022659077625398498
Position 836: 0.00022049755350117436
Position 759: 0.00021787548380838558
Position 767: 0.0001642686652342143
Position 805: 0.00015263812995284205
Position 773: 6.941355271115067e-05
Position 672: 4.952615249371473e-05
Position 424: 4.6096676657820786e-05
Position 230: 3.7425095393677754e-05
Position 363: 2.4931533528898838e-05
Position 809: 1.5424329399181204e-05
Position 677: 4.921169881809826e-06
Position 415: 1.7091282156438277e-06
Position 638: 1.579179024127885e-06
Position 380: 1.2608525703248725e-06
Position 537: 1.004889144860782e-06
Position 785: 3.2911685267957177e-07
Position 393: 2.466000910560886e-07
Position 176: 1.822777463164236e-07
Position 733: 1.5580932559885052e-07
Position 108: 1.2307432181548444e-07
Position 370: 1.0221999025291263e-07
Position 99: 2.2205602620821707e-08
Position 400: 7.175211152601216e-09
Position 395: 1.4699688087870607e-09
Position 129: 1.1520297430928695e-09
Position 114: 2.044925646108321e-10
Position 568: 3.232790097993582e-14
Position 131: 3.606807077443681e-18
