Gene = Cpr64Ac
index = 1096
Annotated 5SS: [54]
Annotated 3SS: [115]
SMsplice 5SS: [54]
SMsplice 3SS: [115]
top_k =  500
Partition function (log Z): -5.383468914104474

Sorted 5' Splice Sites (High to Low Probability):
Position 54: 0.9983351744502751
Position 717: 0.0333172373510429
Position 311: 0.011667718609432004
Position 277: 0.009752844863357917
Position 341: 0.00880278293985633
Position 714: 0.007121484634144177
Position 214: 0.0011225301798347554
Position 388: 0.0005135911218574376
Position 657: 0.0004476685452778356
Position 789: 0.00035617185055583205
Position 682: 0.0003449283367039715
Position 645: 0.0003219433907690219
Position 524: 0.0003187954473044364
Position 376: 0.0002881015211418577
Position 414: 0.00016059444476871037
Position 121: 0.00010279711299941846
Position 725: 9.738299344214021e-05
Position 326: 9.003203317505519e-05
Position 395: 4.889930156377486e-05
Position 503: 2.6971080237989884e-05
Position 443: 2.3447612234518854e-05
Position 651: 2.2737507680422023e-05
Position 762: 2.0723047265673364e-05
Position 728: 8.453129128001611e-06
Position 58: 6.070374761398967e-06
Position 736: 5.317180785334286e-06
Position 569: 4.998997943759619e-06
Position 596: 2.833591819667151e-06
Position 71: 2.452473090304281e-06
Position 142: 2.4088368298967214e-06
Position 455: 2.2988880738211035e-06
Position 605: 2.2273016112152445e-06
Position 545: 1.8358896532485069e-06
Position 452: 1.1609922055816973e-06
Position 83: 1.863220967682246e-08
Position 149: 1.8619732100564435e-08
Position 332: 1.6373298386336342e-08
Position 560: 1.1038059378821722e-09
Position 152: 9.907845408736569e-11
Position 125: 6.72573861170737e-11
Position 347: 2.279146139686438e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 115: 0.9371280996232204
Position 376: 0.06298437206031404
Position 766: 0.05479050230009453
Position 310: 0.00751966995549781
Position 427: 0.004996174348338187
Position 381: 0.0015057498378335194
Position 842: 0.0012871271280295617
Position 785: 0.00123511975392105
Position 502: 0.0003649719116554067
Position 465: 0.00027846410368375144
Position 214: 0.0002489828016254647
Position 424: 0.00021671567589875784
Position 340: 0.0002154579099711587
Position 433: 0.0001657408798958775
Position 523: 9.858797412862413e-05
Position 622: 8.358457288078662e-05
Position 553: 7.458771086002775e-05
Position 856: 3.596639488449466e-05
Position 867: 2.768489682461857e-05
Position 430: 2.5823045288697468e-05
Position 714: 1.6011939386497114e-05
Position 942: 1.2714609119335361e-05
Position 911: 9.546198649092779e-06
Position 556: 9.450582515269498e-06
Position 670: 4.785173318988091e-06
Position 587: 3.9402051223191854e-06
Position 736: 2.4925860299194023e-06
Position 720: 2.346749434973723e-06
Position 395: 4.215640002764628e-14
Position 355: 1.8310130759262543e-14
