Gene = Aef1
index = 15
Annotated 5SS: [ 280 2588]
Annotated 3SS: [1602 2650]
SMsplice 5SS: [ 280 2588]
SMsplice 3SS: [1602 2650]
top_k =  500
Partition function (log Z): -5.366897356737692

Sorted 5' Splice Sites (High to Low Probability):
Position 2588: 0.997796175094791
Position 280: 0.7183808310489742
Position 1461: 0.34846214058271885
Position 1225: 0.15436851184474268
Position 626: 0.11300955731390182
Position 3363: 0.10761672349254592
Position 3377: 0.1053560668451016
Position 1709: 0.07139370750854487
Position 1506: 0.052840531449432716
Position 1086: 0.040602499804423896
Position 851: 0.02731413775243339
Position 3381: 0.02394564564810646
Position 41: 0.02366628610651384
Position 1675: 0.01799402851540387
Position 3397: 0.016480329621104604
Position 455: 0.016094561418363625
Position 1679: 0.01396475489275961
Position 1513: 0.011428658436566114
Position 315: 0.011358223615266548
Position 678: 0.011008388315769592
Position 827: 0.008989295518529469
Position 29: 0.008147450015228177
Position 461: 0.006451581051354231
Position 1853: 0.0051765181595415
Position 3555: 0.00507573546002281
Position 831: 0.004681794902933443
Position 957: 0.003011313428761251
Position 562: 0.002558710289379942
Position 3495: 0.0017447326313767512
Position 3103: 0.001581308183529546
Position 1465: 0.0012750872540003022
Position 3499: 0.0011803362811210775
Position 1501: 0.0009271933448518606
Position 465: 0.0008830057405278121
Position 3852: 0.0008456682033941449
Position 4402: 0.0007312925325862994
Position 1262: 0.0005876214057453586
Position 3372: 0.000580855910252402
Position 220: 0.0005690817622128471
Position 1220: 0.0004312797261746217
Position 3801: 0.00035680941319513125
Position 869: 0.00020774787771597292
Position 3591: 0.00016377114975027872
Position 65: 0.00011438607797908254
Position 3391: 7.915514895228684e-05
Position 425: 6.436903330259666e-05
Position 284: 5.4694254754091285e-05
Position 2600: 4.0304780016726284e-05
Position 10: 3.906925513348818e-05
Position 377: 3.588858788983896e-05
Position 720: 3.402691386192496e-05
Position 206: 3.353328144298814e-05
Position 20: 2.4253786651684015e-05
Position 469: 2.266275820996744e-05
Position 790: 1.3025673087973429e-05
Position 2252: 1.2715553381940031e-05
Position 1078: 1.2274237251544724e-05
Position 2572: 1.1124183374486916e-05
Position 126: 1.0479568403795935e-05
Position 81: 1.027742434687067e-05
Position 2784: 8.283415054040628e-06
Position 2404: 6.859488566375975e-06
Position 290: 4.959515965741562e-06
Position 309: 4.714009722944832e-06
Position 327: 4.428158287191038e-06
Position 2314: 3.993948785576098e-06
Position 379: 3.535432725979506e-06
Position 467: 2.5675003615715735e-06
Position 292: 2.48298640246956e-06
Position 3412: 2.278762175071986e-06
Position 3316: 2.0211951321064042e-06
Position 1324: 1.573630885187825e-06
Position 2443: 1.3111126747667614e-06
Position 367: 1.259251671410673e-06
Position 560: 1.1801658949531728e-06
Position 459: 1.0475603088672854e-06
Position 3424: 8.678141226558898e-07
Position 3401: 4.4397878312661746e-07
Position 477: 3.232461441849969e-07
Position 490: 1.6265484433707876e-07
Position 506: 1.0530832846753531e-07
Position 319: 1.9035098374015567e-08
Position 317: 8.366493623439283e-09
Position 341: 7.224545329050793e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 2650: 0.9977846529930796
Position 1602: 0.6514226076727636
Position 1296: 0.3305047681144326
Position 2082: 0.12842041902858528
Position 1739: 0.12289796916078577
Position 3438: 0.09290078575764381
Position 522: 0.07614657463244502
Position 1770: 0.0731632888251779
Position 1555: 0.06363348168602805
Position 1078: 0.029051121888948664
Position 3739: 0.02473224365076323
Position 996: 0.024711977369025362
Position 105: 0.022627179948597916
Position 365: 0.02233797696306852
Position 455: 0.01956780411484619
Position 3457: 0.018335105832298065
Position 4567: 0.015786092658208278
Position 3480: 0.015167679120443665
Position 3612: 0.013684380249383973
Position 3848: 0.012721057834000179
Position 1785: 0.012651907040147388
Position 1031: 0.012365118500453057
Position 1375: 0.012133779708463186
Position 4796: 0.012108203905021295
Position 3761: 0.008331791442782578
Position 4207: 0.0074413831863756235
Position 1210: 0.007434349560882352
Position 3415: 0.007301895797577111
Position 4471: 0.006812183002526661
Position 1152: 0.005719874256259877
Position 327: 0.005664731946812617
Position 1128: 0.005385340771376043
Position 1814: 0.0053444070669398614
Position 111: 0.004902215795221368
Position 3893: 0.00478430785417912
Position 4799: 0.003927860453951144
Position 3902: 0.003810923790857076
Position 2409: 0.003304529547354789
