Gene = Wbp2
index = 1601
Annotated 5SS: [ 167  633  989 1558 2552]
Annotated 3SS: [ 332  749 1143 2450 2615]
SMsplice 5SS: [ 167  633  989 1558 2357 2552]
SMsplice 3SS: [ 332  749 1143 2066 2450 2615]
top_k =  500
Partition function (log Z): 14.04768436258768

Sorted 5' Splice Sites (High to Low Probability):
Position 2552: 0.9945351551365931
Position 1558: 0.9925457464888309
Position 633: 0.9911183449714955
Position 989: 0.9851345802184875
Position 167: 0.9125123573602035
Position 2357: 0.4303516139688682
Position 2379: 0.18076342181918878
Position 2364: 0.17705916917042658
Position 2113: 0.07341006373561228
Position 1384: 0.045218127812217415
Position 1301: 0.02990443551346709
Position 1964: 0.02890998115630451
Position 2377: 0.028032957751125985
Position 2314: 0.024304606719250523
Position 2344: 0.022111111054983566
Position 407: 0.016482694312830858
Position 1361: 0.015744653407179624
Position 1917: 0.015122532304588973
Position 1340: 0.013566070838660233
Position 2173: 0.012620558533612703
Position 164: 0.009587245905015668
Position 25: 0.009505128985272891
Position 1369: 0.009419417406918911
Position 231: 0.007722576598009056
Position 1780: 0.007686350925345845
Position 1398: 0.005493957077649658
Position 1900: 0.00492398017361964
Position 983: 0.0023488706849151284
Position 2176: 0.0018977013554321031
Position 2395: 0.0018621104057964222
Position 556: 0.0012854960856742337
Position 49: 0.001078693267293909
Position 1208: 0.0010206495867273397
Position 2318: 0.0010087090864724644
Position 1898: 0.0008621522155765276
Position 1877: 0.0008527703133325296
Position 637: 0.0007779879449569779
Position 1744: 0.0007239864401012026
Position 685: 0.0006708177885971753
Position 1279: 0.0006410441040987459
Position 1823: 0.0006267996037355807
Position 171: 0.0005973769687057888
Position 2213: 0.0005930699911248138
Position 2068: 0.0005722653716334093
Position 975: 0.0004897933273145801
Position 2181: 0.00047874468464592727
Position 374: 0.0003442803106752651
Position 1562: 0.00031115551363316646
Position 2327: 0.0003040202657667413
Position 183: 0.00028564465032545564
Position 55: 0.0002553071763126958
Position 2783: 0.0002431868352949948
Position 2571: 0.00023860995609271846
Position 949: 0.00018209805467054942
Position 2261: 0.00014398492593533898
Position 489: 0.0001438592263842814
Position 597: 0.0001351275906633065
Position 2709: 0.0001348108151016644
Position 592: 0.0001270682459116061
Position 1723: 0.00011904219395673807
Position 2776: 0.00011860376998346067
Position 117: 0.00011168533852727281
Position 583: 6.569578970841002e-05
Position 243: 6.418152842387095e-05
Position 222: 6.375657922846404e-05
Position 1698: 5.799148123515717e-05
Position 2561: 5.630059552815613e-05
Position 644: 5.4097584049897496e-05
Position 2321: 5.370868593223424e-05
Position 1213: 4.847235201311328e-05
Position 1312: 4.760577153973287e-05
Position 2316: 4.643649510953627e-05
Position 456: 4.586548539287196e-05
Position 2754: 4.260624242420399e-05
Position 277: 3.800009799879035e-05
