Gene = fs(2)ltoPP43
index = 1709
Annotated 5SS: [ 312 1269 2628]
Annotated 3SS: [ 807 2448 2692]
SMsplice 5SS: [ 312 1269 2628]
SMsplice 3SS: [ 807 2448 2692]
top_k =  500
Partition function (log Z): 5.3176864127044565

Sorted 5' Splice Sites (High to Low Probability):
Position 2628: 0.9988317866647646
Position 1269: 0.9790475398209288
Position 312: 0.7372727539447678
Position 735: 0.6372096730976635
Position 554: 0.2972230717941445
Position 2953: 0.037296714933949135
Position 1842: 0.015119822524543008
Position 728: 0.008383238042040424
Position 1282: 0.00727056244443369
Position 340: 0.0047529653092808445
Position 1543: 0.0036362137949950473
Position 1582: 0.003009591726691878
Position 696: 0.002390425218355509
Position 438: 0.001067613811944052
Position 1527: 0.0009754902462251684
Position 287: 0.0007944610472867018
Position 1641: 0.0007878770162607144
Position 1782: 0.0007623211665823238
Position 645: 0.00067756299892606
Position 1729: 0.0006548950634866248
Position 1411: 0.000650800227064128
Position 40: 0.0005051557504440679
Position 1423: 0.0003927718215825405
Position 593: 0.00036813469451236314
Position 623: 0.00036568450518675226
Position 723: 0.00036461152847307404
Position 2187: 0.00034938983742177756
Position 1417: 0.00033359742551364107
Position 1323: 0.00032701843341816984
Position 1719: 0.0002570923488015085
Position 2617: 0.00025182425216755365
Position 1639: 0.00022253615430946683
Position 1437: 0.0002221850708365173
Position 1427: 0.00020735079787288937
Position 640: 0.0001952407713993261
Position 249: 0.0001720530645076086
Position 2596: 0.0001582215448693181
Position 2258: 0.00014858306279408394
Position 515: 0.00014541283663188238
Position 1431: 0.00013771080571762782
Position 364: 0.00012734960397176539
Position 1421: 0.00011157387170034683
Position 1376: 0.0001090040867084908
Position 567: 0.00010421293543489503
Position 2583: 8.975014371586897e-05
Position 279: 6.859133146633688e-05
Position 408: 6.685312997366531e-05
Position 412: 5.439221094196206e-05
Position 2637: 3.494722532877847e-05
Position 57: 3.1929131881048615e-05
Position 1186: 2.9701493839225168e-05
Position 237: 2.8844171190186416e-05
Position 1040: 2.2306110678715748e-05
Position 2882: 1.7376128691883997e-05
Position 597: 1.6616953149865812e-05
Position 225: 1.347988059328384e-05
Position 976: 1.297207052141496e-05
Position 965: 1.2682171084412159e-05
Position 871: 1.254038667395549e-05
Position 1007: 1.0746895036803848e-05
Position 77: 7.476037709309008e-06
Position 616: 7.157090669256149e-06
Position 444: 6.982653763677429e-06
Position 824: 5.394964051915622e-06
Position 2639: 5.372381402610068e-06
Position 28: 5.027716486426015e-06
Position 863: 4.251394448114171e-06
Position 2790: 4.1980748822355444e-06
Position 74: 4.116609824494543e-06
Position 908: 4.08840135171519e-06
Position 2646: 3.909829215954025e-06
Position 1415: 2.67714858457748e-06
Position 569: 2.1631661075996738e-06
Position 2599: 2.0114681836908896e-06
Position 600: 9.72172677847425e-07
Position 114: 8.317998005167523e-07
Position 117: 7.674780629995826e-07
Position 2761: 7.279648642425901e-07
Position 791: 5.02512442191128e-07
Position 84: 3.16689536456073e-07
Position 1299: 2.9652937721591017e-07
Position 162: 1.5286120960120257e-07
Position 421: 1.2992514350480756e-07
Position 390: 1.0576314200588715e-07
Position 633: 7.682509380309077e-08
Position 1457: 4.6506643301851906e-08
Position 81: 7.517727642488386e-09
Position 2803: 4.428204820234971e-09
Position 1441: 2.541607027631311e-09
Position 1384: 1.99613746642269e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2692: 0.9996506421900907
Position 807: 0.9933758335210051
Position 2448: 0.9715432244241282
Position 616: 0.29604951214240083
Position 421: 0.14990577455493642
Position 593: 0.11063620985859189
Position 622: 0.0878319604710744
Position 3046: 0.034741796974426344
Position 683: 0.01848136272213185
Position 437: 0.013689741987136907
