Gene = Pdxk
index = 1365
Annotated 5SS: [456 627]
Annotated 3SS: [526 692]
SMsplice 5SS: [456 627]
SMsplice 3SS: [526 692]
top_k =  500
Partition function (log Z): -0.2704523619659702

Sorted 5' Splice Sites (High to Low Probability):
Position 627: 0.9980580819775939
Position 456: 0.7858567835412477
Position 140: 0.1127458570609905
Position 788: 0.067191228656796
Position 435: 0.04657474209930508
Position 980: 0.017007280238430674
Position 835: 0.015991923479087452
Position 361: 0.005862354994775419
Position 867: 0.0053670443509789955
Position 423: 0.005299691749075144
Position 31: 0.002878858236922447
Position 632: 0.0017737609869980687
Position 1376: 0.0016520472023185996
Position 239: 0.001343770757752622
Position 387: 0.00125028440995911
Position 1468: 0.0012477760357662473
Position 172: 0.0011254470586076085
Position 13: 0.0010807563699232782
Position 1046: 0.0009356905312161418
Position 258: 0.0008703122981244334
Position 74: 0.0008261551557685277
Position 858: 0.0007775713092525201
Position 1043: 0.0006976133278918024
Position 159: 0.000597574566860474
Position 260: 0.000580356018270753
Position 262: 0.0005550697939329434
Position 264: 0.0004971885489843572
Position 266: 0.0003614941598453706
Position 736: 0.00027103697842460316
Position 1143: 0.00023353800380956143
Position 408: 0.0002326476180440541
Position 10: 0.00020486571680644256
Position 901: 0.00019515786692499243
Position 26: 0.00018039624264506285
Position 108: 0.00017984404675040815
Position 411: 0.0001474382125350689
Position 28: 0.00013178188628505997
Position 186: 0.00012228053526354575
Position 1018: 0.00011009331475309084
Position 48: 8.515131881147547e-05
Position 1015: 5.4617052924082484e-05
Position 1157: 5.098996621934277e-05
Position 1086: 3.517642742175541e-05
Position 1029: 3.489538716908857e-05
Position 1571: 2.853575279911636e-05
Position 1059: 1.9909972282285863e-05
Position 843: 1.9339149797151048e-05
Position 839: 1.833629609055794e-05
Position 851: 1.6566015838183508e-05
Position 270: 1.4900534578848801e-05
Position 268: 9.58044135369007e-06
Position 330: 7.870994462459149e-06
Position 1527: 3.1787184958260765e-06
Position 277: 2.4501773774706097e-06
Position 313: 1.4717592108871333e-06
Position 708: 4.290512796303516e-07
Position 600: 3.599363863323993e-07
Position 605: 3.1843152725704174e-07
Position 833: 1.808417713208627e-07
Position 486: 1.572556040395446e-07
Position 956: 1.5060366514530034e-07
Position 813: 7.82082330357827e-08
Position 775: 4.552468381973293e-08
Position 899: 2.0837025033862152e-08
Position 878: 5.129621072397732e-09
Position 534: 7.555539949982111e-10
Position 998: 6.390762551027921e-10
Position 542: 2.9618399608352773e-10
Position 560: 8.870891871545472e-11
Position 565: 4.461840115507311e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 692: 0.9801451273159372
Position 526: 0.8579734529669758
Position 280: 0.10822282107422028
Position 1206: 0.03726634753908096
Position 1098: 0.028706738175488987
Position 1141: 0.017989526261458232
Position 679: 0.01679743731873664
Position 1516: 0.00745483808775825
Position 1254: 0.002914742628081416
Position 871: 0.002249944233500553
Position 956: 0.0021089358716007995
Position 1562: 0.0018616886198901186
Position 1261: 0.0016804045492866087
Position 1059: 0.0015266930758203018
Position 787: 0.0014968630588678155
Position 1703: 0.001393716205190586
Position 1056: 0.0012794548143481965
Position 706: 0.0012394171841145082
Position 1530: 0.0010131836612617903
Position 1027: 0.0009118405483790717
Position 889: 0.000861072923262282
Position 1105: 0.0008257412858157053
Position 289: 0.0008106800828436606
Position 476: 0.0008080139617196485
Position 565: 0.0007253019233750149
Position 1138: 0.0005321296046134642
Position 886: 0.0003941337035411359
Position 961: 0.0002912003746220716
Position 926: 0.0002653456748318112
Position 486: 0.00022828011339387903
Position 179: 0.0002026548006930578
Position 1433: 0.00016144114646857218
Position 1598: 0.00014903286398848536
Position 345: 0.0001453337916600565
Position 330: 0.00011765247885714619
Position 1102: 9.537301021774846e-05
Position 156: 8.726404985329757e-05
Position 246: 7.146679983890649e-05
Position 401: 6.044565571099332e-05
Position 1657: 5.899546590227737e-05
Position 183: 4.332461249429754e-05
Position 1322: 4.3238048079163936e-05
Position 455: 3.521245430834914e-05
Position 1039: 3.1603818968087596e-05
Position 86: 1.9398658934930284e-05
Position 1521: 1.875295280658615e-05
Position 1602: 1.7275721437712555e-05
Position 976: 1.7028325468206605e-05
Position 1240: 1.5670574004228752e-05
Position 348: 1.3130569067121589e-05
Position 360: 8.495259979528103e-06
Position 186: 6.148079469397954e-06
Position 193: 6.082688455232793e-06
Position 199: 4.531329635225173e-06
Position 197: 2.777851240125724e-06
Position 383: 2.7745585470792088e-06
Position 434: 2.7572144113487136e-06
Position 589: 2.6655213740166755e-06
Position 342: 2.0626377735472943e-06
Position 619: 9.254286143216524e-07
Position 202: 8.402160060158202e-07
Position 55: 3.537600760221378e-07
Position 206: 3.519041536807313e-07
Position 715: 1.3876386086068506e-07
Position 598: 9.411883870084457e-08
Position 724: 8.105887042009338e-08
Position 808: 6.378690416886921e-08
Position 805: 6.435181520132742e-11
Position 718: 2.377865802744749e-11
