Gene = NaPi-III
index = 1308
Annotated 5SS: [  119  5397  6533  7202  9677 10250]
Annotated 3SS: [ 5343  5463  6604  9299  9746 10318]
SMsplice 5SS: [  119  5397  6533  7202  9677 10250]
SMsplice 3SS: [ 5343  5463  6604  9299  9746 10318]
top_k =  500
Partition function (log Z): 10.04252990893881

Sorted 5' Splice Sites (High to Low Probability):
Position 10250: 0.999392514665868
Position 9677: 0.9988439847942762
Position 6533: 0.9914442883632194
Position 7202: 0.9627673956189318
Position 5397: 0.906569613604262
Position 119: 0.7343185218957228
Position 1794: 0.24434286758450457
Position 5768: 0.13427536145107996
Position 8678: 0.08885381277235697
Position 1944: 0.08349135259989361
Position 333: 0.07129447685344396
Position 1788: 0.06961453512173205
Position 7916: 0.06679897178679256
Position 9816: 0.06390838761175663
Position 87: 0.056666707106255314
Position 10431: 0.05469577317286201
Position 10607: 0.050067325342655546
Position 9153: 0.04095308334362768
Position 329: 0.03881011882472418
Position 5788: 0.02526698835113958
Position 1732: 0.021333832796163268
Position 1403: 0.01953153046125662
Position 1585: 0.01637169255470805
Position 10642: 0.014815688159502568
Position 9819: 0.013333628165951366
Position 10687: 0.013299806556093781
Position 726: 0.011424495356040072
Position 10404: 0.01062121761900901
Position 309: 0.009863715530002929
Position 8193: 0.009371480913596353
Position 5659: 0.008659529485802528
Position 520: 0.007759348040058578
Position 8991: 0.006997251981189688
Position 7823: 0.006787869601089151
Position 7198: 0.005964023825488564
Position 10783: 0.00527192131909257
Position 9949: 0.004959474566501424
Position 7254: 0.004937145300668802
Position 6886: 0.00490855924638414
Position 576: 0.004507766707776184
Position 1017: 0.0044223943048409715
Position 8908: 0.0043291939456756474
Position 243: 0.003697718723684707
Position 245: 0.0036221290173337885
Position 247: 0.003583591003201379
Position 560: 0.003528655422761794
Position 992: 0.00343012590355974
Position 9138: 0.0032867814773819247
Position 9072: 0.0031993819543155756
Position 11093: 0.002946249691339099
Position 911: 0.002912379254303053
Position 249: 0.0028614515298220743
Position 1374: 0.0025489189718731252
Position 239: 0.0022836472552052824
Position 457: 0.0022251677924263152
Position 5934: 0.0021722160947820197
Position 241: 0.001608658240626564
Position 10059: 0.0015989455468968408
Position 8099: 0.0014959277618015589
Position 461: 0.0012670889970079107
Position 10422: 0.0011456974556452305
Position 7221: 0.0011229803589753798
Position 8740: 0.0009581413251744852
Position 313: 0.0008680571685558794
Position 188: 0.0008427097225855768
Position 8453: 0.0008384128805393187
Position 39: 0.0008042444648686113
Position 880: 0.0007889312580384006
Position 1407: 0.0006629684705267792
Position 10877: 0.0005934593421259548
Position 9686: 0.0005105018413836333
Position 7790: 0.00043813090239021416
Position 7117: 0.00036098871870055027
Position 6707: 0.0003578603612487775
Position 6980: 0.0003547101826353246
Position 6727: 0.00034894293826204605
Position 10881: 0.00033145872534346386
Position 918: 0.00032964150788818527
Position 9882: 0.00032631598117548313
Position 1365: 0.00031461268937853085
Position 231: 0.00030467721547642945
Position 419: 0.00029581070987452497
Position 10254: 0.0002910367641195693
Position 6673: 0.0002865192321662585
Position 10780: 0.0002461204732782375
Position 1144: 0.00023063637339507207
Position 7000: 0.00020801751735065332
Position 7179: 0.00019768176718488835
Position 7261: 0.00018214395724502653
Position 6982: 0.00013315498000646256
Position 6855: 0.00013239962341078182
Position 10176: 0.00013165956676974806
Position 10989: 0.00011339190813281776
Position 1189: 9.816472556028258e-05
Position 581: 9.543571407267069e-05
Position 251: 8.535697155226973e-05
Position 9964: 8.217865189051871e-05
Position 6744: 7.174460382549175e-05
Position 2284: 6.880750036588683e-05
Position 6811: 6.574945554086974e-05
Position 315: 6.262462790168392e-05
Position 6858: 6.185956631997047e-05
Position 489: 6.050492013581756e-05
Position 7395: 5.4958226354167504e-05
Position 2710: 2.4294838423122858e-05
Position 10413: 1.3913094334003085e-05
Position 606: 1.2746287067888357e-05
Position 565: 8.627697846645288e-06
Position 9350: 6.5679135032230625e-06
Position 9484: 4.527478719185218e-06
Position 2030: 4.193437642295693e-06
Position 620: 4.0642719284712985e-06
Position 196: 3.7938577449036527e-06
Position 10261: 3.7625222082218676e-06
Position 2523: 3.527654771165997e-06
Position 10408: 3.364497077935823e-06
Position 1069: 2.846896241410536e-06
Position 10416: 1.8846185621046856e-06
Position 626: 1.7028371929836e-06
Position 10180: 1.6465752470001202e-06
Position 9433: 1.4187079117638506e-06
Position 478: 1.3228472989500138e-06
Position 2033: 1.2434527689467976e-06
Position 502: 8.792175385848661e-07
Position 10444: 7.572177083883221e-07
Position 7379: 6.138668084441856e-07
Position 10524: 5.878846685967383e-07
Position 42: 4.5948037818218025e-07
Position 10459: 4.1754587954747144e-07
Position 10500: 3.775424491901499e-07
Position 123: 3.691930757429006e-07
Position 10714: 3.303576853357436e-07
Position 175: 2.8575123145389345e-07
Position 10190: 2.5445410526291756e-07
Position 10353: 1.752836221715852e-07
Position 105: 1.590496355246394e-07
Position 331: 1.4123823583883996e-07
Position 481: 1.1102408438999705e-07
Position 504: 8.353006171202418e-08
Position 253: 3.583399932057885e-08
Position 271: 3.000189872723887e-08
Position 10203: 2.4865860704250963e-08
Position 628: 2.337525737869078e-08
Position 10116: 1.0935877163329492e-08
Position 337: 8.842270589895436e-09
Position 10004: 7.550844981333278e-09
Position 298: 5.445454517480598e-09
Position 282: 3.3168213251397304e-09
Position 4: 2.4385135196332468e-09
Position 10335: 1.6564941474262997e-09
Position 57: 1.6020713405308845e-09
Position 300: 7.551233740516885e-10
Position 9853: 6.786354813516586e-10
Position 10036: 1.8997992309118254e-10
Position 152: 1.5535413080070825e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 10318: 0.9988344632961358
Position 9746: 0.997925968312961
Position 6604: 0.9939131722290124
Position 9299: 0.9913062545071144
Position 5463: 0.8601943587341
Position 5343: 0.8589759611923988
Position 1651: 0.397566504877292
Position 5855: 0.18379401512393578
Position 9877: 0.0775216651874565
Position 11029: 0.07295647280065974
Position 7474: 0.056591772159469984
Position 8730: 0.05255576086606988
Position 5580: 0.04028023773194533
Position 4785: 0.03666335519090581
Position 5597: 0.035947529848764946
Position 8594: 0.03190480890949464
Position 10829: 0.01871678423707909
Position 8059: 0.016815103456654646
Position 3953: 0.016019070168572184
Position 676: 0.015924579431720508
Position 10936: 0.01521048445263642
Position 4136: 0.014694036833796172
Position 8547: 0.014546641290499533
Position 5822: 0.01297200631433628
Position 10764: 0.010839884250838932
Position 8028: 0.010649241075802481
Position 11283: 0.007941308249108135
Position 8249: 0.007457955381351705
Position 10890: 0.007378507842581757
Position 7247: 0.007158237171688065
Position 10487: 0.00648915079103883
Position 10013: 0.005924463947199618
Position 5968: 0.005848433984268078
Position 7253: 0.00523322995964126
Position 7533: 0.004938892870797715
Position 10594: 0.004583645871355524
Position 1602: 0.00392372365149397
Position 1340: 0.003683649480445615
Position 778: 0.0035622855271309015
Position 5723: 0.003492583075717021
Position 10817: 0.002805328519700752
Position 7582: 0.0026865193772672063
Position 11182: 0.0021387641452610753
Position 8326: 0.00203656654518431
Position 8123: 0.001946267969494785
Position 8602: 0.001824052681438609
