Gene = fwe
index = 1710
Annotated 5SS: [ 137  475 2992 3165]
Annotated 3SS: [ 353 2783 3056 5561]
SMsplice 5SS: [ 475 2992 3165]
SMsplice 3SS: [2783 3056 5561]
top_k =  500
Partition function (log Z): 1.3951750348092276

Sorted 5' Splice Sites (High to Low Probability):
Position 2992: 0.9872835449119469
Position 3165: 0.9624255041454528
Position 475: 0.9100982839254728
Position 5482: 0.06693311552332229
Position 5347: 0.04598637596738558
Position 796: 0.038824917534492354
Position 2151: 0.03816216679195862
Position 705: 0.037877109648242945
Position 694: 0.03335268571505342
Position 2518: 0.030236081002574623
Position 4076: 0.02718138724130271
Position 5234: 0.02701778969805324
Position 84: 0.023061159710467558
Position 3874: 0.021543389624889622
Position 3963: 0.020179570349035125
Position 5218: 0.019836648787119437
Position 137: 0.019775450966216086
Position 3671: 0.016477374577744838
Position 4307: 0.01155027682737639
Position 5339: 0.011464545225871769
Position 894: 0.00994110383028857
Position 3976: 0.009692208822004585
Position 248: 0.008866797118478938
Position 3362: 0.00811474622845556
Position 428: 0.007800654520216479
Position 2996: 0.007750184113393406
Position 3581: 0.007156690818466547
Position 5758: 0.0065333217293262365
Position 4924: 0.0063906410949339494
Position 3403: 0.006290647969505422
Position 2509: 0.004130906798291844
Position 3169: 0.0041015437189383126
Position 843: 0.003805282514386741
Position 221: 0.0033856520408432245
Position 37: 0.003286573412937271
Position 1049: 0.0031348306597755557
Position 482: 0.0029676023810615054
Position 1110: 0.0028523487456471666
Position 2948: 0.0026426007603974236
Position 2219: 0.002493765572522744
Position 3816: 0.002247062169327857
Position 75: 0.002075176655170359
Position 2612: 0.002007037882516967
Position 2498: 0.0018874624351159271
Position 4334: 0.001803314110324715
Position 2927: 0.0017486041300260058
Position 1903: 0.001720452750304583
Position 2652: 0.0016266984896763017
Position 4376: 0.0015789671791743773
Position 5099: 0.0014550876397878404
Position 1898: 0.0014523472943973256
Position 425: 0.0014080386960282016
Position 1284: 0.0013121804602773772
Position 202: 0.0013099213731911942
Position 838: 0.001279056069266322
Position 4144: 0.0011361337198487543
Position 68: 0.0011236902642194938
Position 5751: 0.0010687191713393569
Position 715: 0.0010438343099678305
Position 1330: 0.0009105084893194616
