Gene = l(3)76BDm
index = 1754
Annotated 5SS: [ 242  698 1682 1988 2505 3512 3998]
Annotated 3SS: [ 535  756 1738 2041 2598 3571 4127]
SMsplice 5SS: [ 242  698 1682 1988 2505 3512 3998]
SMsplice 3SS: [ 535  756 1738 2041 2598 3571 4127]
top_k =  500
Partition function (log Z): 22.795309007368328

Sorted 5' Splice Sites (High to Low Probability):
Position 698: 0.9983864801590367
Position 2505: 0.9939443261828793
Position 1988: 0.9829215982318431
Position 1682: 0.9780580133910893
Position 3998: 0.9741921265621896
Position 242: 0.9472290343880302
Position 3512: 0.934943183537756
Position 3337: 0.06643526102001303
Position 3699: 0.06519211016686915
Position 2228: 0.050104498629896424
Position 2894: 0.025925535425356593
Position 3516: 0.022001477487633717
Position 294: 0.018853859598164803
Position 3014: 0.017087424350133457
Position 1146: 0.016318194660679422
Position 1965: 0.013723245966898326
Position 441: 0.01369460500201865
Position 1921: 0.009493496946993224
Position 2332: 0.008686362062149216
Position 808: 0.008366047310553387
Position 3823: 0.008224542524917665
Position 4763: 0.007817305852677063
Position 977: 0.007293465843286698
Position 265: 0.007012760299142734
Position 1631: 0.006804517126129631
Position 3221: 0.0058738137819990405
Position 3055: 0.0051930119252801814
Position 3769: 0.0051004670328594365
Position 3018: 0.004341231312076382
Position 3509: 0.004021633267703779
Position 289: 0.0035182364426688336
Position 1135: 0.0032803955175960933
Position 273: 0.003159483231633526
Position 3703: 0.00262250592363587
Position 2513: 0.002183615487587731
Position 2653: 0.0021572465441701744
Position 6: 0.002125670782331695
Position 1189: 0.002012145171349403
Position 2509: 0.0018383972615990622
Position 996: 0.0017712356115277973
Position 3990: 0.0015870690804888
Position 2260: 0.001475073883241159
Position 2794: 0.0014643379638310642
Position 2668: 0.0014473883122236234
Position 4995: 0.0013560179024358354
Position 1011: 0.0012034846965163278
Position 1296: 0.0010898376195014868
Position 1006: 0.0010171642996564317
Position 3374: 0.0010045838648732855
Position 794: 0.0009207606631385243
Position 4382: 0.000889306515725716
Position 1980: 0.0008633306889113655
Position 437: 0.0007475134611349206
Position 3682: 0.0007135290187417806
Position 362: 0.0007128740524734117
Position 386: 0.0006719049937138347
Position 934: 0.0006535460000558043
Position 980: 0.0006500610719936854
Position 3936: 0.0006000074991573016
Position 2202: 0.0005772291822904188
Position 258: 0.0005659509041597465
Position 327: 0.0005318306978419771
Position 462: 0.0005160295738895976
Position 704: 0.0004939069754127792
Position 1399: 0.000468987854343883
Position 1097: 0.00046402514332076624
Position 3194: 0.00046217942751384096
Position 2319: 0.0004425509416818235
Position 34: 0.0004086513488114336
Position 1775: 0.00040109160079995206
Position 269: 0.00036565899805138756
Position 246: 0.00033400009992466055
Position 1166: 0.00033390398490039115
Position 2486: 0.000312982043945808
Position 1258: 0.0003107781690841275
Position 409: 0.0003074610855181
Position 2998: 0.00028640473071740263
Position 4064: 0.00028033368661008667
Position 2244: 0.00027627745878797794
Position 2939: 0.00025804760286502246
Position 3175: 0.0002544235454762414
