Gene = Cnb
index = 1082
Annotated 5SS: [ 221 1459 1679 2079]
Annotated 3SS: [ 281 1516 1740 2142]
SMsplice 5SS: [ 221 1459 1679 2079]
SMsplice 3SS: [ 281 1516 1740 2142]
top_k =  500
Partition function (log Z): 2.9293054563025276

Sorted 5' Splice Sites (High to Low Probability):
Position 2079: 0.9984287746631704
Position 221: 0.9581103133197929
Position 1679: 0.8297974180272716
Position 1459: 0.7323588682169028
Position 1438: 0.09213229778441903
Position 1918: 0.09145429893583089
Position 1635: 0.06327767090425927
Position 620: 0.03111164715552709
Position 2523: 0.01938052670711815
Position 5: 0.013738010848959098
Position 218: 0.011213588687529327
Position 559: 0.009414401309289678
Position 581: 0.005431387387500201
Position 55: 0.003064331259644792
Position 431: 0.0030601455767934552
Position 624: 0.0019528119960009575
Position 2171: 0.0011587199721307432
Position 1892: 0.001016521863749772
Position 1218: 0.0010063452344356387
Position 902: 0.0005746659110408145
Position 1090: 0.0005648982433447194
Position 225: 0.0004799658033837578
Position 1269: 0.0004671029410930843
Position 10: 0.00031068891681449036
Position 438: 0.00030215805166676377
Position 2571: 0.00019892336133843836
Position 2360: 0.0001983171941649845
Position 2259: 0.00017500126446956448
Position 1156: 0.00013364468410683296
Position 1428: 0.00011014442265625396
Position 2586: 9.810575291085474e-05
Position 86: 7.203960546405143e-05
Position 601: 6.502929214455509e-05
Position 393: 6.186701291085238e-05
Position 1252: 5.9222300268393045e-05
Position 865: 5.508505104246152e-05
Position 2244: 4.522522147327453e-05
Position 943: 4.043810922547806e-05
Position 785: 2.9361060031885146e-05
Position 2436: 2.929164440940475e-05
Position 2484: 2.8483479859242116e-05
Position 79: 2.4757682116617378e-05
Position 1813: 2.3982476169006563e-05
Position 2220: 2.1741339586632303e-05
Position 1030: 2.114849203631032e-05
Position 2428: 1.758147156303316e-05
Position 1993: 1.6688619151327915e-05
Position 444: 1.4152235154253567e-05
Position 8: 1.2731248112416987e-05
Position 2595: 4.338236284776801e-06
Position 2063: 3.515573962087489e-06
Position 1135: 2.9876304859193792e-06
Position 2542: 2.9128228066164e-06
Position 256: 2.6354810755802155e-06
Position 1097: 2.2215892225219893e-06
Position 2357: 1.7247339810361123e-06
Position 236: 1.4100405900654391e-06
Position 628: 3.34694808985746e-07
Position 844: 1.2488814131982483e-07
Position 198: 5.3935427861808636e-08
Position 181: 4.3508659883025213e-08
Position 2185: 2.361011935819561e-08
Position 2001: 1.791999042763604e-08
Position 2290: 1.2160034263949514e-08
Position 135: 1.078305535699837e-08
Position 281: 2.1266705995120464e-09
Position 111: 1.7685362438349925e-09
Position 149: 1.367429333305197e-09
Position 117: 9.597584016205356e-10
Position 299: 7.773263095587465e-10
Position 156: 7.646085765237056e-10
Position 1836: 7.351689890255091e-11
Position 710: 2.7874932127760295e-11
Position 2514: 1.6825103360646927e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 2142: 0.9975660812353789
Position 1740: 0.9891762587693066
Position 281: 0.9077497492615939
Position 1516: 0.6707895237733053
Position 1974: 0.09100311098708427
Position 1523: 0.06573966236102875
Position 717: 0.016173260329194125
Position 980: 0.014627649298216647
Position 1573: 0.013175947593943358
Position 2586: 0.01313946917954951
Position 691: 0.012288736820598297
Position 292: 0.01065906656809538
Position 79: 0.009241734698839632
Position 1316: 0.006908168247097237
Position 498: 0.0058388582284496235
Position 1800: 0.005151722362189946
Position 2598: 0.004846953148597813
Position 135: 0.004832099358563701
Position 1233: 0.003504325841511518
Position 265: 0.0033461658613768734
Position 1044: 0.0027747737271891803
Position 746: 0.0021008480923437114
Position 1980: 0.0019214228450758913
Position 2244: 0.0016107682047261974
Position 1532: 0.001482850876713569
Position 149: 0.0014292167208463421
Position 299: 0.0013768597367870348
Position 1068: 0.0011994209505473382
Position 2607: 0.0009962532704527209
Position 1600: 0.0009198579038652585
Position 859: 0.0008262295807666098
Position 1373: 0.0007366367611145869
Position 1376: 0.0006665865069138428
Position 2649: 0.0005475081515193467
Position 1268: 0.0005357252131929849
Position 812: 0.0005236232229063853
Position 111: 0.0005152817078649222
Position 91: 0.00047663790002127715
Position 1603: 0.00046905207360722044
Position 2297: 0.0004605319573400719
Position 1065: 0.00042031216534667304
Position 1586: 0.0002878337382800733
Position 458: 0.00027901313212386317
Position 1597: 0.00027363577235407565
Position 1956: 0.00026157563241832295
Position 618: 0.0002083961494782175
Position 2323: 0.00019244504643653636
Position 1785: 0.0001735629260342612
Position 1298: 0.00017051605842716754
Position 994: 0.0001284366339084949
Position 1010: 0.00012227609059658153
Position 2448: 0.00012104379712239472
Position 563: 0.00011940908431967218
