Gene = tow
index = 1915
Annotated 5SS: [ 151 1914 3592 3703 5060 5254]
Annotated 3SS: [1575 3407 3644 4391 5114 5421]
SMsplice 5SS: [ 246 3592 3703 5060 5254]
SMsplice 3SS: [3407 3644 4391 5129 5421]
top_k =  500
Partition function (log Z): 4.645082119142089

Sorted 5' Splice Sites (High to Low Probability):
Position 5254: 0.9995299515387072
Position 5060: 0.9858950510470843
Position 3592: 0.9746216076343674
Position 3703: 0.8233415734131786
Position 1914: 0.30732487211706727
Position 246: 0.2551318495706936
Position 3114: 0.18464066215762567
Position 324: 0.17470818810748764
Position 151: 0.14185989688354375
Position 4042: 0.10164186250447708
Position 6091: 0.06904832991618892
Position 6265: 0.029958879371132455
Position 688: 0.029404325423921327
Position 990: 0.029278087734071374
Position 3845: 0.027135949494596568
Position 2371: 0.024662989717294068
Position 652: 0.02228190360202607
Position 2519: 0.013688847985782312
Position 4296: 0.012773672448779517
Position 969: 0.011719283681788673
Position 1187: 0.008296052738168311
Position 4998: 0.007946109734513335
Position 1985: 0.007831498614760951
Position 4213: 0.007626871100734564
Position 3880: 0.00680285760432614
Position 218: 0.005984000624578011
Position 2685: 0.004920517176154542
Position 949: 0.004573225008723325
Position 2393: 0.004499593117873429
Position 4258: 0.004283165342292362
Position 633: 0.00425962562267504
Position 1272: 0.004256868559969211
Position 1299: 0.0041094842123423
Position 6050: 0.0036936022879372928
Position 5805: 0.0029798211571311507
Position 2403: 0.0027816695321361464
Position 5485: 0.0027471869199225964
Position 5541: 0.002247605471474919
Position 2359: 0.002228103350938489
Position 5064: 0.002158483615477383
Position 4: 0.002090159597109423
Position 1884: 0.002039566300726597
Position 1413: 0.001845829335279414
Position 1192: 0.001714444924123797
Position 2395: 0.0015332120612112686
Position 1315: 0.0014849972923488915
Position 5661: 0.0014616287006352007
Position 2397: 0.0014531323609088627
Position 128: 0.0014228631431103913
Position 2399: 0.00138893487705194
Position 3772: 0.0012632131951979104
Position 2017: 0.0012409395609125557
Position 106: 0.0012378739805297017
Position 3596: 0.0011158650894512914
Position 1918: 0.0010549859886654024
Position 1135: 0.0007644488009888984
Position 216: 0.0007309247351156382
Position 4132: 0.000689992844949193
Position 645: 0.0006807399153729543
Position 1232: 0.0006321244976084593
Position 1662: 0.0006092137516063673
Position 3108: 0.0006053075835353647
Position 342: 0.0005734916618932784
Position 234: 0.0005428219240781602
Position 258: 0.0005123273716481543
