Gene = Nufip
index = 1335
Annotated 5SS: [251 592]
Annotated 3SS: [310 648]
SMsplice 5SS: [251 592]
SMsplice 3SS: [310 648]
top_k =  500
Partition function (log Z): -3.050334452996456

Sorted 5' Splice Sites (High to Low Probability):
Position 251: 0.9905572325394714
Position 592: 0.8928639050678887
Position 797: 0.1031103548977735
Position 533: 0.041380665522294705
Position 1158: 0.019665829617909008
Position 43: 0.006503819240771723
Position 47: 0.00505282891443024
Position 1142: 0.004985677261964736
Position 1122: 0.0014464732332519002
Position 873: 0.0011898602642026117
Position 103: 0.0009331663540018051
Position 1057: 0.0008648253606743154
Position 527: 0.0007202031422257373
Position 71: 0.0006865660580737751
Position 1411: 0.00029538870339666817
Position 869: 0.0002765150021381969
Position 199: 0.0002400942571748318
Position 86: 0.00023652710813599858
Position 1063: 0.00014295129207719635
Position 1239: 0.00012510527182769417
Position 1083: 0.00010872893520419213
Position 542: 7.776223769745659e-05
Position 34: 7.621959722130504e-05
Position 1016: 7.476551811619104e-05
Position 1283: 7.412358494010094e-05
Position 596: 6.872364728803906e-05
Position 1660: 6.255121597699931e-05
Position 831: 5.4051504592821575e-05
Position 867: 5.022009362036604e-05
Position 1258: 3.277807725792589e-05
Position 1095: 3.256735898825886e-05
Position 938: 2.966749175968635e-05
Position 204: 2.9103534731466096e-05
Position 547: 2.754023805971589e-05
Position 269: 1.6545638243782723e-05
Position 7: 1.6297440193790842e-05
Position 94: 9.64906079193709e-06
Position 386: 9.385569094687522e-06
Position 221: 6.386430987945114e-06
Position 255: 5.989357802321503e-06
Position 320: 4.708377326091391e-06
Position 439: 3.4276394342722115e-06
Position 279: 5.05981687042395e-07
Position 604: 3.9798958893431897e-07
Position 17: 3.406876760685253e-07
Position 994: 2.9773116429519876e-07
Position 492: 1.8912527573206804e-07
Position 384: 1.4278579813827381e-07
Position 344: 3.457965882191973e-08
Position 326: 2.0006168222168776e-08
Position 1071: 6.627193648779455e-09
Position 645: 6.091755335717896e-09
Position 619: 5.433129002680811e-09
Position 375: 2.5854533007808928e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 310: 0.854315960542457
Position 648: 0.7409482618963097
Position 1331: 0.2503362861577119
Position 315: 0.0912640951423606
Position 344: 0.034119280214463865
Position 636: 0.01555713560199757
Position 1244: 0.013586583838531563
Position 103: 0.011404332657352176
Position 681: 0.010916705778632067
Position 1178: 0.009148775404162273
Position 1044: 0.004915955464556147
Position 1277: 0.0042699261485022715
Position 697: 0.004172971978840779
Position 1067: 0.0037002478225024314
Position 1308: 0.0031703803487879564
Position 1556: 0.002306789935176674
Position 156: 0.0020980180813409605
Position 518: 0.0019153885730449683
Position 409: 0.0014171371656904858
Position 932: 0.0013832667347903347
Position 1473: 0.0010322995921692919
Position 1594: 0.0010105545511874389
Position 904: 0.0009390222076498849
Position 633: 0.0007492298106524378
Position 1283: 0.0006512492627652902
Position 500: 0.0005882895759751447
Position 430: 0.0005558997803395877
Position 1409: 0.0005300194561690929
Position 1136: 0.0004983884030599655
Position 1364: 0.0004981081467878569
Position 884: 0.0004482543612851814
Position 755: 0.00038830138396444544
Position 859: 0.0003512337277346311
Position 686: 0.00027141079460966933
Position 929: 0.00021353531169597423
Position 394: 0.00019271752194023465
Position 1391: 0.00018252526982756736
Position 1453: 0.00017616628658255446
Position 673: 0.0001724452505090343
Position 1717: 0.0001630314859877057
Position 532: 0.00016044293062605723
Position 1578: 0.00013402048625318355
Position 1009: 0.00010070435759996946
Position 1729: 9.148695408984453e-05
Position 1415: 9.126866026608678e-05
Position 320: 8.85902078341848e-05
Position 856: 8.624268025111387e-05
Position 820: 8.362702822111292e-05
Position 1342: 8.072919761160368e-05
Position 607: 7.896339877812335e-05
Position 1105: 6.946692997098359e-05
Position 1478: 6.530342664515941e-05
Position 1299: 6.23009221872142e-05
Position 901: 5.5867206752513167e-05
Position 1115: 5.495707633210804e-05
Position 893: 3.318884904911585e-05
Position 1510: 3.161490392563988e-05
Position 1142: 2.9904064249030033e-05
Position 1190: 2.562873505396354e-05
Position 312: 2.019745392933332e-05
Position 713: 1.8974258834505852e-05
Position 1640: 1.6885898970023932e-05
Position 1751: 1.5261035927935745e-05
Position 1000: 1.3984473718124098e-05
Position 691: 1.2731374813007634e-05
Position 839: 1.1624725994347324e-05
Position 826: 1.1391944851122272e-05
Position 112: 6.852376371006819e-06
Position 578: 6.7296351429482344e-06
Position 1725: 6.5835560004492565e-06
Position 538: 5.059808126064013e-06
Position 1739: 4.437545020040736e-06
Position 269: 4.344047208422851e-06
Position 1748: 3.872152872699124e-06
Position 439: 3.55850392799307e-06
Position 184: 9.489004676611833e-07
Position 70: 7.372111273221959e-07
Position 245: 7.296566782922748e-07
Position 553: 7.121383073710233e-07
Position 65: 3.760514686493057e-07
Position 585: 3.3222058276222567e-07
Position 542: 1.6670850322118784e-07
Position 251: 7.542494877920077e-08
Position 557: 2.027566213621077e-08
Position 573: 2.015545354233518e-08
Position 604: 1.4630309847192779e-08
Position 221: 1.142159856893637e-08
Position 227: 2.8186863970757515e-09
Position 596: 1.6263500864621953e-09
Position 212: 8.464357043632278e-10
Position 592: 7.956158133146043e-11
Position 275: 2.9867173254745455e-11
Position 255: 2.917829624936609e-11
Position 324: 4.1806935397219695e-16
