Gene = Vta1
index = 1599
Annotated 5SS: [211 334 569]
Annotated 3SS: [271 417 635]
SMsplice 5SS: [211 334 569]
SMsplice 3SS: [271 417 635]
top_k =  500
Partition function (log Z): -1.2079686966024248

Sorted 5' Splice Sites (High to Low Probability):
Position 211: 0.9608541352088509
Position 334: 0.9398356741314641
Position 569: 0.9294990779094577
Position 776: 0.0382105865377886
Position 1260: 0.019275916002376867
Position 729: 0.0043115600334130795
Position 1254: 0.0023428127116284507
Position 530: 0.002045336378712146
Position 57: 0.0016514322098679323
Position 582: 0.0008411580431797416
Position 573: 0.0005896216139339336
Position 282: 0.000584294095454427
Position 738: 0.0005257717741618578
Position 483: 0.0005057751013387916
Position 982: 0.0003291749545135004
Position 215: 0.0003241553385533285
Position 1267: 0.00014849017580738884
Position 310: 0.00012339176343515124
Position 383: 0.00010705229788690457
Position 338: 0.00010111710871103106
Position 1123: 7.530213423632131e-05
Position 622: 5.309113870947007e-05
Position 452: 3.987468201598822e-05
Position 1108: 3.817407617317166e-05
Position 695: 2.0145595120114925e-05
Position 4: 1.6837281075932035e-05
Position 32: 1.6828689476443148e-05
Position 182: 1.3177313627017542e-05
Position 1170: 1.0373524815117949e-05
Position 185: 7.725144145321936e-06
Position 14: 5.0942157274253175e-06
Position 1380: 2.8431574527256527e-06
Position 20: 2.7125240647920613e-06
Position 380: 1.7437273556876404e-06
Position 229: 1.4944082292496555e-06
Position 35: 1.3357901074664792e-06
Position 247: 6.555339611745578e-07
Position 106: 3.2581694440782145e-07
Position 958: 2.1725005052449359e-07
Position 238: 8.22944155563805e-08
Position 640: 6.162755486831454e-08
Position 133: 5.961702697970095e-08
Position 387: 3.4352941646479846e-08
Position 392: 1.0274189804193176e-08
Position 665: 8.107747926618142e-09
Position 398: 4.27163735960096e-09
Position 271: 1.3072739967197836e-09
Position 117: 5.46364598962228e-10
Position 643: 5.046124775729259e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 417: 0.9414975563022027
Position 271: 0.9159815633253904
Position 635: 0.8390327011873074
Position 687: 0.05053919472544105
Position 281: 0.03435159116061486
Position 856: 0.02683800893376717
Position 618: 0.023999977122995342
Position 1314: 0.020114846338837186
Position 662: 0.010853167577786888
Position 805: 0.008050480444562113
Position 1161: 0.007556831681879053
Position 1158: 0.004559788670657627
Position 648: 0.0042581913435137085
Position 1063: 0.004076259925785653
Position 1010: 0.0025221636530315646
Position 1320: 0.002078170857995719
Position 133: 0.0014996653418196133
Position 1181: 0.001292284545862808
Position 440: 0.0010877709538844632
Position 585: 0.0005693230181796007
Position 1294: 0.0004919771215649155
Position 365: 0.0002557160185316429
Position 545: 0.00024190931254425505
Position 1325: 0.00015710690886816138
Position 154: 0.00012756542985501557
Position 771: 0.00010834113189435127
Position 467: 6.381178826245428e-05
Position 315: 4.7742065581973674e-05
Position 725: 4.7009353330628614e-05
Position 709: 3.324774139263133e-05
Position 452: 2.8603121375866233e-05
Position 1395: 2.7052193332533608e-05
Position 106: 1.729306471086708e-05
Position 981: 1.696118625047931e-05
Position 494: 1.4609493743776364e-05
Position 52: 1.4501014532714132e-05
Position 906: 1.1563940835644849e-05
Position 819: 1.0958875534558222e-05
Position 437: 1.0631784247439391e-05
Position 711: 9.300841097403954e-06
Position 482: 3.3448350653233648e-06
Position 461: 2.8659291327977405e-06
Position 1435: 2.8431574527256438e-06
Position 446: 2.824421619695159e-06
Position 70: 2.4033168726606075e-06
Position 294: 1.5831766501559847e-06
Position 78: 1.4116214193085458e-06
Position 65: 6.316640377686876e-07
Position 84: 5.632967241912532e-07
Position 224: 3.835005552415159e-07
Position 163: 2.430139070353935e-07
Position 554: 9.139666971629628e-08
Position 506: 6.952811109288103e-08
Position 229: 3.938215208610322e-08
Position 211: 1.0053108077596027e-08
Position 338: 5.420611952643456e-13
Position 204: 6.6711227466083325e-15
Position 215: 9.054063320719123e-19
