Gene = Nulp1
index = 1336
Annotated 5SS: [ 287  739 1677 2071 2347]
Annotated 3SS: [ 361  809 1743 2125 2643]
SMsplice 5SS: [ 287  739 1677 2071 2347]
SMsplice 3SS: [ 361  809 1743 2125 2643]
top_k =  500
Partition function (log Z): 7.273175436509509

Sorted 5' Splice Sites (High to Low Probability):
Position 1677: 0.9988222341133114
Position 739: 0.9736639699705966
Position 2347: 0.9346903691692275
Position 287: 0.9190444627701102
Position 2071: 0.9129651258530376
Position 1434: 0.06346069864310842
Position 1869: 0.04927956002371086
Position 2095: 0.02429251172765436
Position 728: 0.02027080713645779
Position 1503: 0.016925264908102967
Position 981: 0.015678167672080037
Position 2351: 0.012767958378537076
Position 1123: 0.008568169486997903
Position 2804: 0.008277701265031879
Position 393: 0.006612463809781384
Position 1438: 0.0036306021395785667
Position 1817: 0.002798551492869536
Position 1883: 0.002784267705888969
Position 1852: 0.0025842575797846313
Position 42: 0.0024929076602975987
Position 1455: 0.0019419324859797796
Position 948: 0.0014329511204001042
Position 1828: 0.0013668999726500336
Position 2485: 0.0012513826203073702
Position 2808: 0.0012136767895200276
Position 2099: 0.0011875909779779504
Position 734: 0.0011153613534057888
Position 2788: 0.0009574396680959355
Position 1355: 0.0009252965387538329
Position 1393: 0.000783343504996989
Position 563: 0.0007812265235110748
Position 2054: 0.0007188127017139533
Position 743: 0.0006728444117932863
Position 619: 0.0006519975881651122
Position 1015: 0.000642469036739202
Position 2828: 0.0005706929699935921
Position 725: 0.0005301174167164935
Position 2266: 0.0005221945062475758
Position 39: 0.0005205501156718298
Position 73: 0.00045478571793823596
Position 623: 0.0003615026856652562
Position 2301: 0.0003485294085868719
Position 2650: 0.0003037353354567889
Position 1841: 0.0002939295784346414
Position 2328: 0.0002264333871868388
Position 2836: 0.00018859071165835655
Position 1026: 0.0001864073456327803
Position 1614: 0.00018448515922487414
Position 1108: 0.0001471035661146603
Position 507: 0.0001422863652846558
Position 1681: 0.00013239550246935694
Position 1891: 0.00011860080652174064
Position 1777: 0.00011350120647585701
Position 856: 0.00010426919867268365
Position 705: 9.602089512830555e-05
Position 1296: 9.423238972854333e-05
Position 973: 8.90886181723917e-05
Position 2442: 8.33905612778737e-05
Position 1686: 8.203195695836825e-05
Position 584: 8.161134964845331e-05
Position 939: 7.965452200896225e-05
Position 1920: 7.510396509411548e-05
Position 112: 6.539415889588487e-05
Position 2078: 5.935159761772805e-05
Position 1425: 5.879506666168783e-05
Position 937: 5.7951923873020995e-05
Position 750: 5.168647585355497e-05
Position 2174: 4.960018394481099e-05
Position 2555: 4.908730465032804e-05
Position 1850: 4.797245659217354e-05
Position 1806: 4.28022205903768e-05
Position 25: 4.070515644548908e-05
Position 1443: 4.047226375908777e-05
Position 550: 2.5355057118490185e-05
Position 2612: 2.3326662890523347e-05
Position 2445: 2.2875627779395607e-05
Position 540: 2.187798776242015e-05
Position 596: 2.026019113084835e-05
Position 2180: 2.015914196351198e-05
Position 1991: 1.8974357619764726e-05
Position 502: 1.8305708936608943e-05
Position 1711: 1.7428048675784726e-05
Position 1979: 1.7292032199022545e-05
Position 668: 1.6594879267620034e-05
Position 1586: 1.4235134203763072e-05
Position 1618: 1.1414062457435417e-05
Position 1221: 9.329852655561897e-06
Position 2812: 9.167915152542015e-06
Position 607: 8.745061574296933e-06
Position 2172: 7.452393909253128e-06
Position 1697: 6.935921619443186e-06
Position 1538: 6.552791485707728e-06
Position 459: 6.1842686694526984e-06
Position 2116: 5.620944412622962e-06
Position 2075: 4.493476272374098e-06
Position 375: 3.287063674297373e-06
Position 1650: 2.1380982175330625e-06
Position 1214: 7.457125016399504e-07
Position 2468: 3.1146106040440835e-07
Position 397: 1.5404306663206313e-07
Position 2505: 1.1446469609453607e-07
Position 2536: 1.0755314924901513e-07
Position 2615: 3.772864715139445e-08
Position 1668: 3.3784465988269106e-08
Position 1666: 1.2248992011187505e-08
Position 1636: 9.976755723095863e-09
Position 1708: 5.60278276992286e-09
Position 430: 1.7771857729463676e-09
Position 381: 1.0820555460236151e-09
Position 133: 2.1334208211429515e-10
Position 843: 6.50459430853517e-11
Position 343: 1.0032419507988897e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 809: 0.995203338915089
Position 1743: 0.9922544040888535
Position 361: 0.9175991432433681
Position 2125: 0.8314577184481824
Position 2643: 0.5458847325009119
Position 2413: 0.1800311592789788
Position 2718: 0.16179098117618565
Position 2223: 0.09835531518488701
Position 1554: 0.096909312511837
Position 2646: 0.03405815182730139
Position 1920: 0.020323543189819444
Position 1972: 0.02002225210261116
Position 2594: 0.014396231217865235
Position 2998: 0.01424259739880649
Position 2116: 0.010720199109729513
Position 2615: 0.008984344647766273
Position 1214: 0.006296752801648138
Position 1935: 0.006149503869025634
Position 1663: 0.005357493686736197
Position 459: 0.005018002586399982
Position 1765: 0.0034988812791674805
Position 2853: 0.0032583683169805384
Position 2143: 0.0027311986443680505
Position 1118: 0.002413140382343156
Position 1418: 0.0021548822944874604
Position 694: 0.002008965475050802
Position 2493: 0.001941200959073767
Position 2897: 0.0018618190361853072
Position 109: 0.0018058099080730775
Position 1393: 0.0016663844456929109
Position 2603: 0.0013626198809311549
Position 1482: 0.0011521783432284307
Position 2237: 0.0008589890614075686
Position 2140: 0.0007833865991110262
Position 118: 0.0007008625110923125
Position 3004: 0.0006450410628295392
Position 2660: 0.0005625767707145678
Position 2657: 0.0005584765124059585
Position 371: 0.0005299157203606258
Position 1287: 0.0005136336693697407
Position 1296: 0.0005097646295386083
Position 3010: 0.0005056595138779955
Position 1897: 0.000349124280036647
Position 2526: 0.0003291894243215801
Position 129: 0.0002737156136797117
Position 583: 0.00027100172218682314
Position 2427: 0.0002620638607274488
Position 2247: 0.00023759116088377852
Position 1441: 0.00022749788362427087
Position 2146: 0.00022267829674872192
Position 1011: 0.00018076952217074176
Position 1044: 0.00016452931692023662
Position 1873: 0.00013727690195415018
Position 2008: 0.00013339486562885685
Position 96: 0.0001333525795042251
Position 619: 0.00013070392501382723
Position 607: 0.00012389017972140587
Position 1015: 0.00012007285070583413
Position 562: 0.00011337061203689506
Position 2005: 0.00010411194066134619
Position 1903: 8.807926489816706e-05
Position 525: 8.67200173231279e-05
Position 2011: 8.442223681652521e-05
Position 475: 7.973967691023976e-05
Position 1794: 7.60668701028139e-05
Position 1123: 7.51630024375054e-05
Position 154: 7.396578081019736e-05
Position 1975: 6.915513396625851e-05
Position 2052: 5.783364977744326e-05
Position 671: 5.766608383508391e-05
Position 998: 5.632037440971791e-05
Position 522: 5.600460157286534e-05
Position 603: 5.287150085240882e-05
Position 1254: 4.742995734416786e-05
Position 1796: 4.579415762466181e-05
Position 2938: 4.3220454783948005e-05
Position 2244: 4.315591100437397e-05
Position 816: 3.933462588677643e-05
Position 1455: 3.928012479855258e-05
Position 1422: 3.602380949459913e-05
Position 391: 3.366859108885963e-05
Position 867: 3.3419833746012584e-05
Position 958: 3.3042394570646894e-05
Position 1020: 2.857080184389525e-05
Position 2902: 2.8223331433795174e-05
Position 160: 2.805165825669316e-05
Position 824: 2.4666456824148934e-05
Position 151: 2.287344665446464e-05
Position 1131: 1.557459950371364e-05
Position 550: 1.4372173468633459e-05
Position 481: 1.4272754499342188e-05
Position 407: 1.4088340002450022e-05
Position 484: 1.1972082749147984e-05
Position 828: 1.1666516846053158e-05
Position 2250: 1.1373856566960737e-05
Position 1170: 1.1251817769509794e-05
Position 1850: 1.094543015427489e-05
Position 1362: 1.0538621262470435e-05
Position 655: 9.52134117616909e-06
Position 1816: 9.446766224851589e-06
Position 948: 9.251350462913273e-06
Position 472: 7.827638538076751e-06
Position 404: 7.1460388493701336e-06
Position 2095: 7.126557761639596e-06
Position 1856: 7.071274192366368e-06
Position 1810: 5.82597585282047e-06
Position 1979: 5.765579683109197e-06
Position 290: 5.5073294254949104e-06
Position 2253: 5.123974644820467e-06
Position 496: 5.00370268298679e-06
Position 700: 4.4065014532471695e-06
Position 1141: 4.2531316741177565e-06
Position 3018: 3.816662175134346e-06
Position 530: 3.184552429184829e-06
Position 381: 2.3734938891661997e-06
Position 493: 1.661442530692719e-06
Position 544: 1.2183632054657462e-06
Position 175: 7.955969187668492e-07
Position 507: 6.238613507849855e-07
Position 397: 3.6232868326025387e-07
Position 490: 2.598324864563535e-07
Position 308: 1.0875596514715543e-07
Position 312: 7.645743397111419e-08
Position 1900: 2.1849307203985913e-08
Position 211: 5.579910314240276e-09
Position 199: 4.468031189725494e-09
Position 235: 3.580791398140591e-09
Position 240: 8.920692728326561e-10
Position 208: 6.848293897744476e-10
Position 216: 8.607634587576718e-14
Position 393: 8.983050548692229e-19
Position 424: 5.6340997385251886e-21
