Gene = qua
index = 1852
Annotated 5SS: [ 5407  7516  7778  8752  9807 10069]
Annotated 3SS: [ 7305  7574  7826  8807  9870 10133]
SMsplice 5SS: [  474  7516  7778  8752  9807 10069]
SMsplice 3SS: [ 7305  7574  7838  8807  9870 10133]
top_k =  500
Partition function (log Z): 6.90676288797277

Sorted 5' Splice Sites (High to Low Probability):
Position 8752: 0.9926496618704926
Position 10069: 0.9898639348810531
Position 7516: 0.9859680686172017
Position 9807: 0.980225304804199
Position 7778: 0.974253108093973
Position 474: 0.9068877055457594
Position 1356: 0.20594044196004221
Position 7004: 0.1760474371307818
Position 831: 0.13462242898366947
Position 9301: 0.10504926661740091
Position 9421: 0.08909629548213273
Position 10328: 0.07762992519562305
Position 9061: 0.044775031732281347
Position 9436: 0.030380311519709963
Position 274: 0.022893288272740894
Position 1092: 0.013330950599144785
Position 8957: 0.011692965679566018
Position 8359: 0.009275296098653005
Position 7481: 0.00805423337735084
Position 918: 0.007003103501425062
Position 8455: 0.00567255843086183
Position 8167: 0.0045146805406753214
Position 9522: 0.0036161791578122396
Position 8739: 0.0035340134962913456
Position 9433: 0.003335190074696938
Position 5407: 0.003312748430545474
Position 4217: 0.0030822095622101077
Position 202: 0.002950471363972944
Position 603: 0.00217142057726824
Position 7596: 0.001764668639965469
Position 114: 0.0016526971584418422
Position 308: 0.0016466527458495544
Position 318: 0.0016372726969669227
Position 5925: 0.0014158803257427032
Position 8180: 0.0011648277195512294
Position 598: 0.0009850423030099364
Position 9034: 0.0009117864742797663
Position 10331: 0.0008772292468882516
Position 7771: 0.0005966825407932128
Position 8355: 0.000430243398386853
Position 131: 0.0004267311894641153
Position 10271: 0.000395114582866363
Position 9099: 0.00039443460869006584
Position 7963: 0.00038215541873943366
Position 7420: 0.0003136199282069414
Position 8562: 0.00029201243729267833
Position 7741: 0.0002468728092009628
Position 666: 0.00024412490548576105
Position 10073: 0.00018767376192657323
Position 7757: 0.00018000430424702844
Position 10287: 0.0001598699325751746
Position 8961: 0.00015663579941703555
Position 7638: 0.00013589298235194033
Position 7924: 0.00011340608790876377
Position 9738: 0.00010663027251593252
Position 7893: 9.854771261293407e-05
Position 28: 9.614312907761399e-05
Position 811: 9.526269250689849e-05
Position 7782: 8.824950366574289e-05
Position 9916: 8.593730375354804e-05
Position 33: 8.511455452304528e-05
Position 299: 8.350716255921175e-05
Position 1187: 7.860419086100259e-05
Position 9040: 7.734069281949782e-05
Position 10278: 7.703331308132071e-05
Position 9685: 6.207042145636351e-05
Position 209: 6.176725239460398e-05
Position 330: 6.154776966863949e-05
Position 8036: 5.991517065145705e-05
Position 7788: 5.279324045072321e-05
Position 8915: 5.231879228590687e-05
Position 8188: 3.522779483594176e-05
Position 9999: 3.506474163549702e-05
Position 696: 3.472738858122572e-05
Position 821: 3.289856498679882e-05
Position 8184: 3.131658900823343e-05
Position 8677: 3.109585497955407e-05
Position 8746: 3.0225852828742755e-05
Position 7941: 2.890042886261295e-05
Position 7908: 2.874122174498574e-05
Position 1209: 2.873727623315973e-05
Position 625: 2.432999777200984e-05
Position 658: 1.9569647007300613e-05
Position 1184: 1.9019333558008022e-05
Position 86: 1.629997806878206e-05
Position 104: 1.61569125790714e-05
Position 1054: 1.4891031483491668e-05
Position 8686: 1.24408672830057e-05
Position 957: 1.2080478352550981e-05
Position 8704: 9.618881255566349e-06
Position 343: 9.209274667763742e-06
Position 8875: 8.588227657888936e-06
Position 40: 8.413043405676725e-06
Position 9206: 8.231666801502822e-06
Position 418: 7.749513350286965e-06
Position 122: 7.727286620230704e-06
Position 144: 6.491211906517172e-06
Position 497: 6.469003226878769e-06
Position 10160: 6.435380368868146e-06
Position 8889: 6.261802767623191e-06
Position 1046: 5.159311462554235e-06
Position 174: 4.817817881798509e-06
Position 678: 4.7356260858070594e-06
Position 8650: 2.2604255355245353e-06
Position 10259: 1.6295767844537442e-06
Position 8511: 1.3542789867618054e-06
Position 8975: 1.3225351876930467e-06
Position 9329: 1.176415403271054e-06
Position 164: 8.87389804661862e-07
Position 727: 6.861923956436078e-07
Position 150: 6.599847147544791e-07
Position 10337: 5.855875600821393e-07
Position 10269: 4.984582414785447e-07
Position 8642: 4.5768901808970164e-07
Position 663: 4.258754512404581e-07
Position 10134: 3.8613681523759415e-07
Position 8015: 2.7298496628623807e-07
Position 8734: 2.5081797033520774e-07
Position 7662: 2.2323234099504088e-07
Position 6: 1.7619880634732315e-07
Position 7691: 1.6694574261031713e-07
Position 176: 1.4680327068097174e-07
Position 8518: 1.4297698451574499e-07
Position 836: 1.2886330568235966e-07
Position 8929: 1.2743248799795656e-07
Position 8726: 2.0188498884539257e-08
Position 13: 1.4523303530187706e-08
Position 8817: 1.210194342347183e-08
Position 455: 4.058387433877797e-09
Position 9201: 8.682570985957607e-10
Position 478: 6.688072945998701e-10
Position 8345: 2.6177058469941486e-11
Position 10012: 1.2140184858457766e-12
Position 8352: 2.3792072081538255e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 9870: 0.9948222268004674
Position 7574: 0.9948065497406222
Position 10133: 0.983162570944543
Position 7838: 0.9718978045553591
Position 8807: 0.8389584124218068
Position 7305: 0.5348457867232614
Position 7338: 0.4297069538905782
Position 892: 0.19021487231522416
Position 8829: 0.14199236922626046
Position 6842: 0.09145683856671384
Position 10375: 0.07860376807225705
Position 9481: 0.06382012876536376
Position 9348: 0.05636401120766788
Position 9715: 0.053432528492024886
Position 6918: 0.039819961383702626
Position 6894: 0.027514938189906583
Position 9536: 0.026598216381062943
Position 547: 0.023258966221607103
Position 810: 0.023233477132083055
Position 421: 0.01942478537773041
Position 9160: 0.014771810667879824
Position 9115: 0.013134626645866569
Position 9575: 0.012575937774587456
Position 9379: 0.011954305930512808
Position 9578: 0.01100019199133462
Position 7395: 0.010802019969201954
Position 9002: 0.010765067026370265
Position 636: 0.01049117152720706
Position 5818: 0.010040782761405681
Position 8526: 0.008836221683551422
Position 8614: 0.008797578794931187
Position 645: 0.008538819850698856
Position 7308: 0.007612482633026591
Position 5994: 0.0067323743577307055
Position 534: 0.005664110381424651
Position 983: 0.005593296286613276
Position 7250: 0.0047178445654014285
Position 10164: 0.004343225967507202
Position 9457: 0.003879140814341532
Position 9647: 0.0036660956023563734
Position 8867: 0.0035550410337318295
Position 6982: 0.003507352026278547
Position 602: 0.003477709332850716
Position 5460: 0.0034703959497026753
Position 6541: 0.0031690992011414987
Position 10386: 0.002696477145873959
Position 7544: 0.0025080558925434154
Position 8430: 0.0020824374452835703
Position 9382: 0.002072335406279721
Position 3463: 0.0019091786989714596
Position 658: 0.0018912397892439506
Position 1023: 0.0018615052532923943
Position 8235: 0.001802850825420954
Position 676: 0.0016436948171716507
Position 3487: 0.0015167370685970007
Position 663: 0.0014839135634092363
Position 390: 0.001277753700071893
Position 7679: 0.001270189235067126
Position 8005: 0.001215885524983459
Position 9672: 0.0010489020258504182
Position 9971: 0.0009275040950268206
Position 5356: 0.0009156852206651749
Position 910: 0.0008356598979802351
Position 1240: 0.0008347846312420348
Position 7586: 0.0006657126087316826
Position 8213: 0.0006487255923169556
Position 9128: 0.0006159204629637998
Position 9028: 0.000574879976246265
Position 1167: 0.0005252321336798415
Position 9685: 0.0005128494302833784
Position 4456: 0.0004546709984204703
Position 1122: 0.0004319529219670145
Position 830: 0.00043013515102002743
Position 10247: 0.00041862477312820315
Position 8676: 0.00039987641716772736
Position 8086: 0.0003795880520829056
Position 1071: 0.0003723144907975077
Position 5219: 0.00036950982091841155
Position 1265: 0.0003286541775401174
Position 7826: 0.0002545843500909881
Position 707: 0.000251395682788743
Position 5185: 0.0002493390836445809
Position 273: 0.00024134394291818617
Position 8427: 0.00023723582701482433
Position 5052: 0.00022575430083830793
Position 4505: 0.00022550140169537647
Position 7872: 0.00020939082221683455
Position 8157: 0.0001998995006604368
Position 3896: 0.00018369016766000946
Position 4587: 0.0001813615165331419
Position 8058: 0.00015878454261844063
Position 1217: 0.00015819039021694784
Position 245: 0.00015002812089025063
Position 8529: 0.00013290149409393793
Position 8020: 0.0001191731394735188
Position 10023: 0.00010906812065829796
Position 426: 0.00010473238106277178
Position 3936: 9.946865980735485e-05
Position 343: 9.352712542872031e-05
Position 496: 8.063425273495495e-05
Position 7589: 7.394886152201566e-05
Position 9946: 6.659139948039797e-05
Position 2901: 6.40610550042928e-05
Position 1270: 6.359023738572588e-05
Position 326: 6.182231162091198e-05
Position 598: 5.3774648105490964e-05
Position 7649: 4.9608734096447106e-05
Position 576: 4.87117748498912e-05
Position 9941: 4.3608154763752845e-05
Position 8293: 4.100507701615164e-05
Position 821: 3.945861132987344e-05
Position 473: 3.914839696943363e-05
Position 8966: 2.614423149470882e-05
Position 8015: 2.367606598196529e-05
Position 9099: 2.1864225643513764e-05
Position 9291: 2.050987439834504e-05
Position 10325: 1.790095153413029e-05
Position 686: 1.510231343525149e-05
Position 10045: 4.8056416066972815e-06
Position 582: 4.751105513333233e-06
Position 10331: 4.4798630995965434e-06
Position 470: 3.8445132627562745e-06
Position 10238: 3.06542375333576e-06
Position 692: 3.062442375039352e-06
Position 847: 2.7993211663099606e-06
Position 10062: 1.918751380147408e-06
Position 259: 1.8889423025548656e-06
Position 299: 1.783769568604887e-06
Position 854: 1.2090001552028278e-06
Position 10196: 7.074929469017408e-07
Position 216: 4.897626848601356e-07
Position 159: 4.061043034905892e-07
Position 150: 3.792149430044535e-07
Position 219: 3.4905063333837604e-07
Position 935: 1.0744873471692301e-07
Position 397: 9.8497007451253e-08
Position 280: 9.760120262152958e-08
Position 308: 3.785022333502829e-08
Position 918: 2.8151284263474654e-08
Position 144: 2.20706603829112e-08
Position 318: 1.6268574725760833e-08
Position 131: 1.1463728777686456e-08
Position 229: 5.241218786232797e-11
Position 57: 3.697607075508402e-11
