Gene = CNMa
index = 1044
Annotated 5SS: [ 879 3540 3930 4107]
Annotated 3SS: [3344 3619 4094 4172]
SMsplice 5SS: [ 879 3540 3930]
SMsplice 3SS: [3344 3619 4172]
top_k =  500
Partition function (log Z): -4.986837087010773

Sorted 5' Splice Sites (High to Low Probability):
Position 879: 0.988909189811799
Position 3930: 0.8744482343819137
Position 3540: 0.711594494980444
Position 4107: 0.16697481485489712
Position 1261: 0.09001455932555369
Position 1474: 0.04735251721140699
Position 3563: 0.04489991636406956
Position 3210: 0.024210804170872496
Position 49: 0.015134475832136628
Position 2412: 0.011127790272721604
Position 3878: 0.010610492631544106
Position 1760: 0.00966884283938778
Position 249: 0.007453851099462532
Position 617: 0.0068706952508772005
Position 3957: 0.00507475655481292
Position 263: 0.005041983616990494
Position 294: 0.004507253356807365
Position 3934: 0.004294691912041326
Position 2290: 0.003393157672570142
Position 3566: 0.0030482608605254635
Position 18: 0.0030158375333893934
Position 4258: 0.0029451227308144256
Position 3835: 0.002300102087453727
Position 1363: 0.0021057878376318606
Position 1722: 0.0020034879092958265
Position 2377: 0.0013529478200826244
Position 46: 0.0012819737303565947
Position 2212: 0.0011878517419147098
Position 3009: 0.0011572727539537783
Position 32: 0.0008453961283838814
Position 3536: 0.0007310503159939328
Position 1119: 0.000596762452613172
Position 3928: 0.0005381111048693113
Position 62: 0.00048050072060373675
Position 2541: 0.00045917054252145507
Position 3937: 0.0004298471857618914
Position 4536: 0.0003109238167808229
Position 749: 0.0002845795573965481
Position 504: 0.0001090414372986381
Position 500: 8.08038510967898e-05
Position 239: 7.6775000936907e-05
Position 426: 6.783884276430955e-05
Position 1268: 6.467085869272958e-05
Position 887: 5.784409022823621e-05
Position 883: 4.38255227103061e-05
Position 4375: 3.651691150008971e-05
Position 306: 3.545922159188212e-05
Position 741: 3.521454979469124e-05
Position 1864: 2.88599852178118e-05
Position 120: 2.7615215799551903e-05
Position 919: 2.731196189664456e-05
Position 4295: 2.4814204698783948e-05
Position 1095: 2.109333541312351e-05
Position 543: 2.0662842731501085e-05
Position 767: 1.7742380774513835e-05
Position 1006: 1.7027199619837856e-05
Position 324: 1.664138621331639e-05
Position 1271: 1.4417764760057579e-05
Position 2372: 1.2250296385218917e-05
Position 497: 1.1895240846091338e-05
Position 1860: 1.1832368607442405e-05
Position 994: 1.0799723311466316e-05
Position 243: 1.0248369590575715e-05
Position 4422: 1.0074539010212663e-05
Position 267: 9.452224166906732e-06
Position 760: 9.164985133065913e-06
Position 1246: 9.026696397294938e-06
Position 1748: 8.488971313997186e-06
Position 1672: 7.0610711653263435e-06
Position 937: 5.931649625620909e-06
Position 863: 5.760056261726135e-06
Position 684: 4.329885509687186e-06
Position 547: 3.684101048981704e-06
Position 1618: 3.611057812591237e-06
Position 289: 3.2551205054551783e-06
Position 371: 2.974988458783064e-06
Position 689: 2.1735970996015035e-06
Position 489: 2.161545992305078e-06
Position 1854: 1.1952344839480019e-06
Position 846: 1.1557150550464196e-06
Position 1581: 7.575890033242892e-07
Position 1519: 5.662289793416637e-07
Position 785: 4.488683155485633e-07
Position 1427: 2.687312587033468e-07
Position 1367: 2.6763709955345465e-07
Position 112: 2.2258109825513817e-07
Position 1057: 7.511179349234532e-08
Position 3764: 7.079359860511587e-08
Position 778: 4.945988209744126e-10
Position 820: 3.1563285365175813e-10
Position 171: 2.3457939912254945e-11
Position 818: 2.0175611349872763e-11
Position 840: 1.0234281737224633e-11
Position 188: 9.366241578000444e-12
Position 856: 8.719661575577136e-12
Position 590: 7.880827311695333e-12
Position 772: 6.058308751322541e-12
Position 107: 4.202321273104747e-12
Position 377: 3.0874234902182898e-12
Position 179: 2.892161231422297e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 4172: 0.9497595628750928
Position 3344: 0.760583383067304
Position 3619: 0.7522950804949387
Position 4094: 0.12482663312401905
Position 3622: 0.09989069279467266
Position 959: 0.08775521626260724
Position 2583: 0.04157522932991213
Position 1172: 0.03944038997602367
Position 1023: 0.0315390388877919
Position 1043: 0.024391753981407163
Position 3230: 0.022498712506468274
Position 2593: 0.019314208451646428
Position 107: 0.017117769521598106
Position 4019: 0.012746708856855698
Position 1333: 0.009979856980737722
Position 3111: 0.009421507506944036
Position 937: 0.006968506419367685
Position 371: 0.004469827247150693
Position 684: 0.003871173046261745
Position 4323: 0.0032058558895276183
Position 3592: 0.0031138773799296317
Position 1777: 0.0030494738197416153
Position 83: 0.0024012537493546633
Position 2682: 0.0023678660840237157
Position 1916: 0.00236185852974826
Position 3748: 0.0020577710804767658
Position 4129: 0.0018178251838655115
Position 4195: 0.001452390804579769
Position 3801: 0.001410023602324815
Position 754: 0.001263581558492574
Position 697: 0.0011601864658058374
Position 741: 0.0011423147005257884
Position 1519: 0.0010322600541655409
Position 2970: 0.001012201854315213
Position 4630: 0.0008059819325014387
Position 1807: 0.0008032716758199601
Position 804: 0.0007696629542837901
Position 115: 0.0007058132773324351
Position 778: 0.0006357516374592331
Position 1395: 0.0006263673846913167
Position 1668: 0.000571728883378756
Position 1197: 0.0005692166329321426
Position 1116: 0.0005494664431973145
Position 1314: 0.0004494451400457736
Position 4398: 0.0003615987672778167
Position 4344: 0.0003414263355887505
Position 4135: 0.00029416973291230376
Position 672: 0.0002316876239932334
Position 663: 0.0002136395376022012
Position 1585: 0.00020641257798327016
Position 489: 0.0001747179117476194
