Gene = CkIIalpha-i1
index = 1075
Annotated 5SS: [195]
Annotated 3SS: [252]
SMsplice 5SS: [195]
SMsplice 3SS: [252]
top_k =  500
Partition function (log Z): -5.9000487138029385

Sorted 5' Splice Sites (High to Low Probability):
Position 195: 0.9612935134385637
Position 1385: 0.0760491491624707
Position 433: 0.056235601576142984
Position 208: 0.03126036274802802
Position 412: 0.026702702117757243
Position 182: 0.005634000728381049
Position 1433: 0.0028663275187676474
Position 1409: 0.0019473374287820122
Position 704: 0.0016032735940713014
Position 333: 0.0015024063546002612
Position 405: 0.0004541372305537221
Position 813: 0.00027707199689439585
Position 991: 0.00019954069383033344
Position 1056: 0.00016284829103597486
Position 1359: 0.00015798976488188077
Position 1186: 0.00013942851186775533
Position 667: 0.00010602146427449818
Position 743: 9.538323036513874e-05
Position 1046: 8.136279603188e-05
Position 1437: 7.020183348340793e-05
Position 910: 6.839247574034197e-05
Position 1158: 6.431889199825686e-05
Position 490: 4.582116926559267e-05
Position 558: 3.8138040537752896e-05
Position 656: 3.7888336252644246e-05
Position 354: 3.610767435144739e-05
Position 532: 3.562828186508443e-05
Position 1054: 3.391336001945748e-05
Position 1268: 3.349309138552454e-05
Position 38: 2.565572229705552e-05
Position 1552: 1.844987537057362e-05
Position 577: 1.5106942221962342e-05
Position 199: 1.0782009900440071e-05
Position 746: 1.0407606065163474e-05
Position 1082: 1.6624336635918213e-06
Position 840: 1.57102654598399e-06
Position 612: 1.1607947586707338e-06
Position 1020: 1.0750449070769418e-06
Position 753: 4.6765856291854086e-07
Position 901: 3.135573353160925e-07
Position 648: 3.0432638959064894e-07
Position 244: 2.4966097950206033e-07
Position 535: 2.783256519486131e-09
Position 724: 1.5452017841090378e-09
Position 223: 1.3641044294056463e-09
Position 212: 6.908962053621775e-10
Position 562: 3.389516549017842e-10
Position 880: 1.1363024755616624e-10
Position 604: 2.6803198778246832e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 252: 0.9688033746027251
Position 1455: 0.081365161319978
Position 1490: 0.023170527246975145
Position 848: 0.021719668028477395
Position 575: 0.014477088065415299
Position 1134: 0.013429491622688446
Position 399: 0.012179325731536088
Position 1112: 0.007204924571553699
Position 751: 0.0058983167056343355
Position 474: 0.005631092856999702
Position 1609: 0.0035986184955218332
Position 1459: 0.002021534994196576
Position 958: 0.0014121395597930257
Position 1005: 0.0006574517181142496
Position 1239: 0.0005338391071810998
Position 333: 0.00045486008227232705
Position 604: 0.00045048149663904616
Position 1317: 0.0004358399503801086
Position 1243: 0.0004226040467255469
Position 899: 0.0004084828503182808
Position 968: 0.00035188719457047833
Position 825: 0.00034543400646564246
Position 1469: 0.0003130405817961743
Position 1032: 0.00029161966967225316
Position 789: 0.00027111564662951404
Position 1532: 0.0002679009897591625
Position 858: 0.00016751415706124225
Position 1206: 0.00015329667414382768
Position 1008: 0.0001431735518029959
Position 1623: 9.968303163687281e-05
Position 807: 9.883689687202935e-05
Position 1117: 9.103307480250565e-05
Position 1046: 6.931789101062627e-05
Position 495: 4.729919036119264e-05
Position 753: 4.5992576453618796e-05
Position 1226: 4.104645416052394e-05
Position 535: 3.7145480130070885e-05
Position 621: 3.1604828507904654e-05
Position 101: 2.557363869740814e-05
Position 933: 2.395169661555465e-05
Position 490: 2.216894786507412e-05
Position 317: 2.0749547607341936e-05
Position 1221: 1.8719007569571223e-05
Position 1352: 1.4595515715839418e-05
Position 612: 1.3708296198485606e-05
Position 405: 1.3322916829506205e-05
Position 436: 4.834180287152187e-06
Position 541: 4.72557455802777e-06
Position 379: 4.4623825520422e-06
Position 235: 4.36127794203406e-06
Position 430: 3.751610622653155e-06
Position 330: 2.8185164409144137e-06
Position 348: 2.602049227961696e-08
Position 134: 1.6774636585454144e-08
Position 528: 9.253101317040107e-09
Position 627: 2.708061134450827e-09
Position 354: 2.602842410200031e-09
Position 519: 1.880177024288067e-09
Position 111: 1.8745033292277783e-09
Position 456: 1.4303677465108066e-09
Position 365: 1.3453685866450431e-09
Position 459: 1.3399570546289777e-09
Position 131: 8.190957826481537e-10
Position 169: 6.058733565082252e-10
Position 427: 2.9888708053285766e-10
Position 301: 1.6387348906182748e-10
Position 288: 1.0512094218528664e-10
Position 411: 1.7035347247526556e-11
Position 119: 1.4926484191348345e-12
Position 208: 3.3158553965910755e-13
Position 303: 1.272432871932045e-13
Position 199: 1.1061079520729717e-13
Position 447: 7.302451976217705e-18
Position 212: 2.711299345635094e-18
