Gene = ND-B17.2
index = 1301
Annotated 5SS: [ 33 313 554 690]
Annotated 3SS: [101 375 604 745]
SMsplice 5SS: [158 313 554 690]
SMsplice 3SS: [216 375 604 745]
top_k =  500
Partition function (log Z): 16.29535237576254

Sorted 5' Splice Sites (High to Low Probability):
Position 313: 0.9997118446760421
Position 690: 0.9979832046975255
Position 554: 0.9770921543617453
Position 158: 0.9129344792048647
Position 33: 0.4012239252578078
Position 532: 0.02242536532465769
Position 37: 0.002520244155850261
Position 4: 0.0010570433877045615
Position 529: 0.00014540663474991837
Position 558: 0.0001019332424448836
Position 317: 5.7521189788743485e-05
Position 643: 4.278684127132916e-05
Position 418: 2.9587460627824383e-05
Position 813: 2.766668863048808e-05
Position 649: 2.3939129728052477e-05
Position 151: 1.9207239169664987e-05
Position 105: 1.56844929268785e-05
Position 295: 1.5303347763817942e-05
Position 850: 1.5182459963634529e-05
Position 714: 1.234056758860481e-05
Position 887: 9.473071389421984e-06
Position 781: 8.544912219848968e-06
Position 145: 5.184875763277235e-06
Position 162: 3.984981466410571e-06
Position 430: 2.7142707083277853e-06
Position 92: 2.3373925780661755e-06
Position 404: 2.0451907730728823e-06
Position 816: 1.748819568325423e-06
Position 491: 1.6074334201207928e-06
Position 52: 1.2764653316896567e-06
Position 445: 8.723100021329357e-07
Position 478: 8.061955526023393e-07
Position 266: 3.859478527516738e-07
Position 818: 3.1215149957436996e-07
Position 187: 5.5282840038314744e-09
Position 204: 4.3778316567362765e-09
Position 583: 2.587800238441175e-09
Position 226: 1.2129613611544455e-09
Position 256: 1.4581138352688142e-10
Position 574: 4.862384408527506e-18

Sorted 3' Splice Sites (High to Low Probability):
Position 604: 0.9997612549004965
Position 375: 0.9996554923005109
Position 745: 0.9980896691890152
Position 216: 0.9154264850549579
Position 92: 0.23759123346374147
Position 101: 0.1632068453063468
Position 71: 0.0005352608413295717
Position 158: 0.00041226181560872187
Position 135: 0.00031052003896814403
Position 226: 0.00015124250266577242
Position 391: 0.00013482026997754007
Position 262: 9.413149025741386e-05
Position 923: 3.89626143450159e-05
Position 934: 2.3578727528512867e-05
Position 850: 1.9945953352891263e-05
Position 781: 1.6903115315291103e-05
Position 253: 7.517006546877231e-06
Position 430: 6.212836786224206e-06
Position 944: 3.245801233047178e-06
Position 714: 3.0003215877121916e-06
Position 643: 2.8101188293242103e-06
Position 688: 1.209218949588826e-06
Position 418: 9.938661981600705e-07
Position 747: 6.040550192992283e-07
Position 168: 5.558752838964052e-07
Position 666: 3.007078652019676e-07
Position 887: 1.4932611496693661e-07
Position 949: 1.1889664004748121e-07
Position 275: 1.0792223163417948e-07
Position 281: 9.026986691827364e-08
Position 304: 8.956563098259195e-08
Position 786: 7.700282904946709e-08
Position 801: 7.410663405760331e-08
Position 529: 7.278089742610488e-08
Position 439: 7.056435710185518e-08
Position 718: 6.546668970402513e-08
Position 649: 3.564526882494266e-08
Position 873: 3.272362751887461e-08
Position 334: 2.2073464322049236e-08
Position 656: 1.869464659072567e-08
Position 810: 1.1287295801219463e-08
Position 813: 9.949519314232994e-09
Position 478: 6.898806044568086e-09
Position 312: 4.596270656383985e-09
Position 954: 4.385733946213733e-09
Position 807: 4.237318256234295e-09
Position 553: 1.1382422293193637e-09
Position 826: 9.725430635757465e-10
Position 293: 9.41627116379447e-10
Position 289: 4.848647417185418e-10
Position 816: 4.693845686199418e-10
Position 670: 1.9824603320131417e-10
Position 563: 1.7144578521870565e-10
Position 162: 6.875027363210311e-11
