Gene = nvd
index = 1826
Annotated 5SS: [  337 23857 41197 76101 76329]
Annotated 3SS: [23462 40892 75988 76154 76388]
SMsplice 5SS: [  337  1059  5579  5766 76101 76329]
SMsplice 3SS: [  401  5438  5642 75831 76154 76388]
top_k =  500
Partition function (log Z): -84.2953552302971

Sorted 5' Splice Sites (High to Low Probability):
Position 5766: 0.9788452355995417
Position 5579: 0.9600863552484211
Position 337: 0.8700672231900589
Position 1059: 0.4366187501493923
Position 6170: 0.41204356255575464
Position 6016: 0.2588438523533462
Position 651: 0.17240392819753628
Position 1099: 0.08020282791683433
Position 554: 0.04193097869029129
Position 2022: 0.015791216437789836
Position 16510: 0.01558705089082715
Position 20: 0.014333968137551202
Position 5811: 0.011025519618668713
Position 409: 0.0018736869573632393
Position 5781: 0.0014319719118250347
Position 353: 0.0012221594436534911
Position 341: 0.0009590280479506216
Position 1980: 0.0005684881860319437
Position 5711: 0.0005298370972690958
Position 1807: 0.0004557454886783313
Position 5972: 0.0004500487513131929
Position 370: 0.00044512587496629277
Position 5900: 0.00040712776346465594
Position 141: 0.0003662949875993755
Position 357: 0.0003544747049836342
Position 381: 0.0002888552579563516
Position 122: 0.00022570651558530383
Position 12563: 0.00022551359478972254
Position 136: 0.000218419896809619
Position 899: 0.00016398031943493734
Position 97: 0.00013224468233268558
Position 595: 0.00012154778143803291
Position 402: 0.00011953796873370735
Position 248: 9.656540069018095e-05
Position 25: 8.436496320227644e-05
Position 826: 7.887333588325457e-05
Position 879: 7.314181942581321e-05
Position 27: 5.956703648922841e-05
Position 120: 5.024321363427288e-05
Position 470: 3.9851482673388124e-05
Position 459: 3.4119064600904795e-05
Position 9394: 2.531543659376925e-05
Position 149: 2.5146792445196325e-05
Position 48: 2.269894936375652e-05
Position 103: 1.8047459644881955e-05
Position 517: 1.800382652267944e-05
Position 339: 1.6593405630457566e-05
Position 9550: 1.2575964363413763e-05
Position 283: 9.300609331435729e-06
Position 266: 7.592901602721463e-06
Position 429: 5.7740270773817704e-06
Position 1323: 5.66660816195799e-06
Position 1120: 5.438653335519243e-06
Position 1286: 5.361741028687012e-06
Position 1785: 4.511727168643479e-06
Position 630: 2.7959901708371838e-06
Position 903: 2.794898964951541e-06
Position 7215: 2.758331794062491e-06
Position 146: 2.534911497593835e-06
Position 316: 2.0227974694259648e-06
Position 621: 1.598072759441715e-06
Position 1063: 7.551169928434776e-07
Position 6177: 7.365548064408156e-07
Position 7049: 7.120713513621335e-07
Position 7726: 5.91196911697992e-07
Position 7164: 5.264392957349147e-07
Position 989: 4.763777490324309e-07
Position 1478: 4.748680056663281e-07
Position 771: 3.619501396067458e-07
Position 259: 3.331757307999749e-07
Position 203: 2.508673283162028e-07
Position 6952: 1.609300695774523e-07
Position 6265: 1.5684819546486703e-07
Position 6188: 1.474532961097389e-07
Position 507: 1.332263451016694e-07
Position 6376: 1.9045788031688498e-08
Position 216: 1.639791353953266e-08
Position 6761: 1.4489610998861136e-08
Position 270: 5.6635743566526955e-09
Position 1682: 2.134559372792685e-09
Position 1647: 1.564227355714057e-09
Position 2828: 6.955986942743182e-10
Position 1402: 3.1306376475254155e-10
Position 1043: 2.766495510058163e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 5642: 0.9600312241030193
Position 17782: 0.9263590405078889
Position 5438: 0.7222487741364209
Position 401: 0.5467843761879477
Position 5882: 0.43526165731221517
Position 5298: 0.24685390739640667
Position 5836: 0.10630074251178985
Position 5839: 0.1003903727328438
Position 15569: 0.0709000044198479
Position 937: 0.04153899099116463
Position 5461: 0.01729666114087585
Position 16584: 0.01558705089082715
Position 528: 0.01020162401422587
Position 5863: 0.009723403658343857
Position 850: 0.00819626308279298
Position 5253: 0.007600270963037606
Position 6071: 0.0071611601008055095
Position 902: 0.005053233100737779
Position 6090: 0.004908403491772464
Position 558: 0.004032639001902821
Position 1834: 0.003934612757019785
Position 1182: 0.0037247825904380217
Position 992: 0.003424881725536321
Position 5662: 0.002924847243423669
Position 5971: 0.0029233191264070317
Position 1019: 0.0024843926440812117
Position 771: 0.0022456853331096842
Position 1866: 0.0016134759082436082
Position 12608: 0.0015284692144073944
Position 12454: 0.0011991172896429524
Position 174: 0.0009202528938845241
Position 879: 0.0008076559682918237
Position 1311: 0.0007173398826406476
Position 1473: 0.0005674702271068547
Position 564: 0.0005281939464628372
Position 459: 0.00036652653352102905
Position 650: 0.0003657689956967071
Position 914: 0.0003652305483924824
Position 749: 0.00036477552352416853
Position 429: 0.00030824571376548504
Position 1766: 0.00030565383340868925
Position 413: 0.0002427541194865038
Position 962: 0.00021051652386127833
Position 989: 0.00016085490919955206
Position 5012: 0.00010666458739011346
Position 8611: 3.2834555124514036e-05
Position 11480: 2.812624236777768e-05
Position 9849: 2.8050289155478997e-05
Position 9444: 2.531543659376925e-05
Position 1535: 2.140628665850855e-05
Position 11102: 1.8565269273816704e-05
Position 6256: 1.8088847698843297e-05
Position 203: 1.483634189052814e-05
Position 10850: 1.2762513048899506e-05
Position 9611: 1.2575964363413763e-05
Position 10817: 1.221008889324791e-05
Position 1373: 9.485415339138992e-06
Position 1217: 9.374776891464924e-06
Position 10342: 7.421723976926716e-06
Position 7287: 5.107941970126866e-06
Position 228: 4.058467739782265e-06
Position 280: 3.938344696845576e-06
Position 248: 3.5881822215226147e-06
Position 9672: 2.9544033614321446e-06
Position 141: 2.3028543587021503e-06
Position 6223: 2.228184127281013e-06
Position 7145: 1.9982178823854064e-06
Position 325: 1.610203517752248e-06
Position 7582: 1.5773584531102984e-06
Position 436: 1.3456433928219823e-06
Position 7377: 9.610410397308491e-07
Position 7237: 9.104108888448238e-07
Position 492: 7.245767448336663e-07
Position 6681: 7.075763294671438e-07
Position 7819: 5.911969116979927e-07
Position 6802: 5.054118700305689e-07
Position 6774: 4.152372743172388e-07
Position 381: 3.2714792797494865e-07
Position 7449: 2.6361233013331324e-07
Position 7258: 1.6199858620777083e-07
Position 146: 1.3022964944685437e-07
Position 500: 8.519527384631302e-08
Position 6777: 8.233532188574868e-08
Position 826: 7.835982496287277e-08
Position 595: 7.162849925814352e-08
Position 6482: 6.976459717329947e-08
Position 6702: 6.715405163809933e-08
Position 6112: 6.056355461564535e-08
Position 1043: 5.122580572178175e-08
Position 6049: 3.5253975550064554e-08
Position 1025: 2.678292450639613e-08
Position 6122: 9.813427017332018e-09
Position 2185: 6.7263005377430015e-09
Position 6097: 4.516861852623751e-09
Position 2891: 6.955986942743142e-10
Position 589: 4.633313015060773e-10
Position 2220: 3.711061006073272e-10
Position 197: 2.5099886393079065e-10
Position 2492: 5.191425312440317e-11
Position 370: 4.90100526368009e-11
Position 796: 1.9195334354857297e-11
Position 1134: 1.3948345560425742e-11
Position 336: 8.681462094226913e-12
Position 378: 1.6310317155829778e-18
