Gene = Pi3K21B
index = 1379
Annotated 5SS: [ 524 2039]
Annotated 3SS: [1152 4145]
SMsplice 5SS: [ 524 2039 4823]
SMsplice 3SS: [1152 4145 4883]
top_k =  500
Partition function (log Z): -7.854413447019796

Sorted 5' Splice Sites (High to Low Probability):
Position 2039: 0.9705180550173446
Position 524: 0.5920007985144061
Position 190: 0.3290748758640192
Position 3252: 0.2867859265325554
Position 194: 0.2528972805318169
Position 995: 0.06835332437019617
Position 365: 0.05763046104899247
Position 4776: 0.046614693769407696
Position 304: 0.04457516942701099
Position 3134: 0.04389779855534431
Position 75: 0.025626948785691245
Position 2670: 0.024878097359225446
Position 3224: 0.014942417471940977
Position 688: 0.01347772657790775
Position 1412: 0.012367585340479662
Position 278: 0.008149020185705798
Position 2030: 0.0075495804613941505
Position 90: 0.0071404917792479445
Position 1247: 0.005994622917450788
Position 1027: 0.005874190922554162
Position 2686: 0.004579583926526343
Position 4998: 0.003932134450893921
Position 3095: 0.0031358248845384283
Position 1317: 0.002619850728048624
Position 3494: 0.0015672730832016319
Position 2847: 0.001533755521352959
Position 669: 0.001163421638688568
Position 286: 0.0011049298126622551
Position 1704: 0.0010621989834367772
Position 243: 0.0008403525717586566
Position 565: 0.0008133477873225695
Position 3521: 0.0008073885460403987
Position 881: 0.000589184803655701
Position 1006: 0.0005774662514229835
Position 404: 0.00047709238940754113
Position 3899: 0.0004681158745532223
Position 362: 0.00044619246685908886
Position 582: 0.0004190387542287871
Position 528: 0.00035537598281719574
Position 1346: 0.0002918282116793301
Position 2781: 0.00028254113723395595
Position 3754: 0.0002535652923888548
Position 818: 0.00023748246422427226
Position 2085: 0.00022608979817820296
Position 1519: 0.00021700443610346679
Position 77: 0.00021639801782249313
Position 594: 0.00019444074066261665
Position 1446: 0.00017549037518866677
Position 2469: 0.00016249704799732579
Position 282: 0.0001401757259589907
Position 407: 0.0001387142184388053
Position 1042: 0.00011303996502930357
Position 255: 0.00011187771707044632
Position 136: 0.00010475947454625442
Position 1490: 9.477885527890983e-05
Position 672: 9.229612519606662e-05
Position 728: 8.726786255060865e-05
Position 268: 8.224911831915354e-05
Position 2100: 7.397705802824066e-05
Position 1530: 5.854050726430063e-05
Position 274: 3.837666554372003e-05
Position 656: 3.360961042326675e-05
Position 18: 3.179653200941284e-05
Position 302: 3.142760379994632e-05
Position 1449: 3.0450578936619224e-05
Position 432: 1.977698610387612e-05
Position 40: 1.74686396230673e-05
Position 290: 1.5093037393282238e-05
Position 347: 1.3438111843920671e-05
Position 250: 1.1943144604719567e-05
Position 799: 6.200498014839772e-06
Position 259: 5.779202189598726e-06
Position 3289: 5.3758403051790164e-06
Position 2302: 2.43330407128749e-06
Position 2043: 1.364099216038879e-06
Position 2601: 8.686338956452831e-07
Position 2607: 8.639238220065084e-07
Position 113: 4.894061233316858e-07
Position 110: 3.1781129491679696e-07
Position 284: 7.320520178867516e-08
Position 1861: 5.472708143048187e-08
Position 315: 3.901236763892555e-08
