Gene = jv
index = 1737
Annotated 5SS: [   88  5352 17872 18602 18982 24089 24753]
Annotated 3SS: [ 5160 17356 18285 18921 20478 24505 25107]
SMsplice 5SS: [   88  4825  5352 17872 18602 24089 24753]
SMsplice 3SS: [ 4497  5160 17356 18285 23981 24505 25107]
top_k =  500
Partition function (log Z): 4.060714929711944

Sorted 5' Splice Sites (High to Low Probability):
Position 5352: 0.9915504633230317
Position 24753: 0.9706369730155501
Position 17872: 0.9391507102442687
Position 18602: 0.8979825226940529
Position 24089: 0.7057060680580375
Position 4825: 0.5619503843481907
Position 1731: 0.4964120513593671
Position 887: 0.404074991820057
Position 23107: 0.37137895283494626
Position 88: 0.3428960767306402
Position 21264: 0.2853639868343186
Position 5650: 0.1818841221484113
Position 21587: 0.18139153755957188
Position 5861: 0.1622370162752767
Position 1188: 0.14822561069374418
Position 17613: 0.1403894447297578
Position 19720: 0.1397312189414624
Position 226: 0.1069168073177903
Position 18606: 0.09493014881792378
Position 2300: 0.08443040504718637
Position 4816: 0.0784726957707517
Position 9402: 0.07588502811671259
Position 1033: 0.0577254356132143
Position 25215: 0.05616776896825993
Position 2365: 0.05603281269721145
Position 12319: 0.049470884285212346
Position 1329: 0.04766617937381173
Position 20727: 0.04598113185929627
Position 875: 0.030548991879466445
Position 5674: 0.028480753967889783
Position 5452: 0.02664128722898215
Position 18922: 0.0261564276225098
Position 4545: 0.025961537925043375
Position 321: 0.025795134951454336
Position 21554: 0.022095453652151542
Position 918: 0.01957796652600784
Position 2207: 0.0181504470614834
Position 20395: 0.017816841311389015
Position 5626: 0.017637695688637975
Position 5785: 0.01628552813040381
Position 20667: 0.014833317488801102
Position 21114: 0.014692439561993563
Position 4820: 0.01447733982685296
Position 21869: 0.01412933262694434
Position 9606: 0.013088077348448609
Position 184: 0.012500627612065654
Position 21003: 0.012323645857936766
Position 20510: 0.012122035634963816
Position 24757: 0.012011080790969924
Position 329: 0.01141065910984669
Position 5693: 0.011358054023023643
Position 5884: 0.010357061552337846
Position 530: 0.009654033138693398
Position 20514: 0.009050597629463766
Position 4244: 0.009014995132962188
Position 1785: 0.008856929253837588
Position 641: 0.008220375371087173
Position 6137: 0.00792634417890286
Position 20356: 0.007691358238752883
Position 84: 0.00766743768085377
Position 4957: 0.007086280127986937
Position 21123: 0.006681807819980472
Position 18986: 0.005876808568098832
Position 25200: 0.005224957641114726
Position 20864: 0.00508076742773519
Position 804: 0.0046183232611018595
Position 19182: 0.004318717214740841
Position 44: 0.003875238298247907
Position 19098: 0.0030214369859998145
Position 23291: 0.0028549024919663473
Position 643: 0.0024862632784088054
Position 18982: 0.002418898892681337
Position 9116: 0.0023200179391415334
Position 25012: 0.00226468709257585
Position 22782: 0.0021787453803618437
Position 24627: 0.0021290254781793656
Position 19036: 0.0016319651270245458
Position 25249: 0.001617563363518765
Position 19679: 0.0016161298651942058
Position 506: 0.0014969941804235188
Position 8807: 0.001447089836376085
Position 18633: 0.0012391972284980732
Position 5558: 0.0011625693545147572
Position 5442: 0.0010553984652323222
Position 25341: 0.0008812322182187107
Position 1771: 0.000830317794826361
Position 3630: 0.0007870044181197023
Position 750: 0.0007656523694987628
Position 2040: 0.0007142388616476471
Position 1169: 0.0005585688804921658
Position 429: 0.0005477315414350129
Position 22529: 0.0005104501145434685
Position 415: 0.0004956544922719176
Position 18651: 0.00048578043430165085
Position 738: 0.000441621991965399
Position 9148: 0.00038743754093574257
Position 25203: 0.00035249916093709046
Position 285: 0.0002804609357187556
Position 1907: 0.00026612072341166386
Position 647: 0.0002604423894740733
Position 18885: 0.0002235449398453001
Position 894: 0.00018714279887213528
Position 250: 0.00018634759390040507
Position 704: 0.00015542130492225177
Position 19151: 0.00013917073566941906
Position 1524: 0.0001381085313765535
Position 5416: 0.00013471915282301346
Position 18382: 0.0001314969783516675
Position 213: 0.00012988706418413007
Position 310: 0.00012601916199549645
Position 181: 0.00011878097971932038
Position 654: 0.00010971605134598553
Position 248: 9.989824863229402e-05
Position 513: 7.800295859726727e-05
Position 5487: 7.293529997967537e-05
Position 801: 5.795551786902965e-05
Position 727: 5.1091767387593204e-05
Position 5995: 3.591294295997884e-05
Position 5446: 2.4953026299240417e-05
Position 24894: 1.6694819321130875e-05
Position 70: 1.3061045974941814e-05
Position 444: 1.0737606899133712e-05
Position 42: 8.527563544956878e-06
Position 5356: 7.205565641165435e-06
Position 24671: 6.348347281808164e-06
Position 86: 5.5524442744392356e-06
Position 230: 5.31896027995938e-06
Position 434: 3.6810167650576212e-06
Position 178: 2.7339295676063985e-06
Position 48: 2.620554043650919e-06
Position 1019: 2.4357784924386864e-06
Position 92: 2.2208624604587517e-06
Position 12: 1.974690568457008e-06
Position 21030: 1.731193991523436e-06
Position 484: 7.314772558575417e-08
Position 176: 5.4556922003355334e-08
Position 413: 3.56982376536767e-08
Position 144: 2.6773743460647145e-08
Position 432: 2.117538885923758e-08
Position 207: 1.7269776901952052e-08
Position 333: 1.3704535191399151e-08
Position 159: 1.10104874856207e-09
Position 437: 1.1697709752136681e-10
Position 341: 3.928170116190758e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 24505: 0.9925787438331346
Position 17356: 0.9809910257864725
Position 18285: 0.9766513996253684
Position 5160: 0.9676634016024606
Position 25107: 0.9596984658264778
Position 20478: 0.7466120394376291
Position 4497: 0.6491498955655673
Position 1267: 0.3681378326252804
Position 23160: 0.3567357389692149
Position 5623: 0.26226887133005183
Position 23009: 0.19943357242969276
Position 144: 0.19612382386656388
Position 22258: 0.1649046035659525
Position 22510: 0.12066922882247838
Position 956: 0.11152131770108906
Position 17660: 0.10755221929912412
Position 5519: 0.08947286035777433
Position 5445: 0.0878713947701194
Position 18759: 0.0804886442666007
Position 1228: 0.07587184137113634
Position 21646: 0.060229046538840335
Position 1961: 0.05791067438322079
Position 9320: 0.05463818922035796
Position 12089: 0.04763318021348165
Position 25276: 0.0383354897162257
Position 4893: 0.03176578183628557
Position 8905: 0.030372202276374136
Position 21341: 0.025759253140753533
Position 20190: 0.025508199550141906
Position 2099: 0.024139062286546623
Position 21617: 0.02278819208674847
Position 4657: 0.02212265344109992
Position 18818: 0.018784471918369648
Position 4544: 0.01719042804102261
Position 18846: 0.01565963691224887
Position 18686: 0.015362656212393104
Position 18737: 0.014418530683710046
Position 5714: 0.01321371600151984
Position 1992: 0.013208532148216247
Position 966: 0.01156444549123761
Position 18742: 0.01152910256863216
Position 25998: 0.010779186977004113
Position 1123: 0.01025684868760418
Position 25040: 0.008263531705462832
Position 25803: 0.008019114757638172
Position 25765: 0.007854559478183722
Position 596: 0.007546425792193902
Position 18769: 0.00740389636294115
Position 3502: 0.00739522551773418
Position 432: 0.006358446024877252
Position 25121: 0.006270793890914167
Position 18186: 0.00551990504143626
Position 697: 0.005206762409910603
Position 18036: 0.004565170264381897
Position 19399: 0.004385659846008623
Position 19351: 0.004176111059484003
Position 18650: 0.0038733169652359787
Position 1934: 0.0035798941893564217
Position 24414: 0.0035042111804832856
Position 18810: 0.0033678583829114895
Position 24960: 0.0032515122653289227
Position 21073: 0.003103091986167674
Position 149: 0.0030002150283642676
Position 641: 0.002917303437959953
Position 21344: 0.0027545538949370085
Position 2114: 0.0026398183439482713
Position 19330: 0.0026040443867588587
Position 510: 0.002596479616873875
Position 8872: 0.0025448994131876523
Position 2032: 0.002544226931228919
Position 9520: 0.00243888776398408
Position 3752: 0.0024286640114331137
Position 1187: 0.0022794508433784735
Position 24938: 0.002177742388999782
Position 25138: 0.002069070384363414
Position 25304: 0.001980950710196468
Position 20809: 0.0019244884617760799
Position 11967: 0.0018377040717306957
Position 9285: 0.0016863822713346758
Position 8144: 0.0014470898363760849
Position 5752: 0.0013137472712547401
Position 20863: 0.0011892989977315164
Position 6015: 0.0011659007347599238
Position 24146: 0.0011039110619678698
Position 5402: 0.0010552777124938366
