Gene = lok
index = 1759
Annotated 5SS: [ 299  642  884 1232 1750 2191]
Annotated 3SS: [ 359  725 1122 1311 1955 2249]
SMsplice 5SS: [ 591  884 1232 2191]
SMsplice 3SS: [ 725 1122 1955 2249]
top_k =  500
Partition function (log Z): 10.5735509274413

Sorted 5' Splice Sites (High to Low Probability):
Position 2191: 0.9988376307272055
Position 591: 0.7943504136791387
Position 1232: 0.6563162091551745
Position 884: 0.6233820979093072
Position 1011: 0.3608513443221453
Position 299: 0.2690660725788774
Position 1750: 0.23724750183047894
Position 1251: 0.21819124731243467
Position 1419: 0.14214184581811581
Position 1897: 0.11594584042036332
Position 642: 0.07651308088401168
Position 559: 0.06556055821164282
Position 827: 0.04312827580901177
Position 1826: 0.04034034848951173
Position 141: 0.027629688969208945
Position 2729: 0.02351773604585247
Position 1277: 0.019678808642506266
Position 1409: 0.009656209497539142
Position 322: 0.007420362048986384
Position 518: 0.0054376166694640946
Position 97: 0.005288200526349799
Position 638: 0.0032845334665017917
Position 1733: 0.0032678232730764464
Position 333: 0.00307956091982483
Position 1201: 0.0023541990249130672
Position 2894: 0.001793092869227055
Position 1571: 0.0017007461284912686
Position 303: 0.001626506966428639
Position 2864: 0.0012175718171688475
Position 132: 0.0011438376451203282
Position 2046: 0.0011122312827509789
Position 211: 0.001065674510520411
Position 2325: 0.0009512223628490725
Position 1774: 0.000904495606336363
Position 1383: 0.0007673385890251019
Position 888: 0.0006845548922030011
Position 319: 0.000618535263837372
Position 552: 0.0005980279759469112
Position 1057: 0.0005839646089605937
Position 545: 0.000526544350460391
Position 597: 0.0005222308977250701
Position 1623: 0.00034364146224822375
Position 1454: 0.00032533760843157463
Position 1428: 0.0003058379254206932
Position 195: 0.0003053294710444344
Position 2177: 0.00030517740784761767
Position 2674: 0.00027690875416499394
Position 1616: 0.0002663723251644777
Position 1068: 0.00022796243265590731
Position 112: 0.00019933749872736388
Position 2875: 0.00017229886154817697
Position 2606: 0.000164713669664893
Position 2554: 0.0001602543435388229
Position 1578: 0.00016011743367998655
Position 305: 0.0001515912290338841
Position 297: 0.0001493123874393334
Position 492: 0.00014588978512184003
Position 976: 0.0001414729533618649
Position 1376: 0.00013945269656521578
Position 1718: 0.00012128656849648614
Position 2584: 0.0001100875530254866
Position 660: 9.705930217654295e-05
Position 2174: 8.596189569064816e-05
Position 151: 8.590671301756976e-05
Position 1224: 8.021275474901064e-05
Position 1842: 6.977287017747913e-05
Position 1530: 5.8759033119393036e-05
Position 2195: 5.8678712377496154e-05
Position 992: 5.467467395807547e-05
Position 2690: 4.804556480061987e-05
Position 894: 4.1873811058002745e-05
Position 678: 4.154946553777263e-05
Position 1470: 4.143438864132556e-05
Position 1516: 4.0880895878374376e-05
Position 1504: 3.8176757694497844e-05
Position 2280: 3.6628704776503856e-05
Position 987: 3.0813269323375225e-05
Position 2887: 2.9400528441510937e-05
Position 1078: 2.8782156718536802e-05
Position 1575: 2.702134766539065e-05
Position 387: 2.643390390927075e-05
Position 667: 2.638327290143634e-05
Position 2870: 2.356011148650011e-05
Position 2348: 2.3254993498233234e-05
Position 872: 2.21350635813843e-05
Position 2702: 1.8713861296339278e-05
Position 2752: 1.8147649645882883e-05
Position 129: 1.5832735816233258e-05
