Gene = eIF2beta
index = 1683
Annotated 5SS: [143 746]
Annotated 3SS: [ 345 1053]
SMsplice 5SS: [241 746]
SMsplice 3SS: [ 345 1053]
top_k =  500
Partition function (log Z): -3.182145325508222

Sorted 5' Splice Sites (High to Low Probability):
Position 746: 0.8358896535820055
Position 241: 0.29733371584750856
Position 143: 0.22522458795135397
Position 235: 0.21131325871276885
Position 941: 0.12958800604881054
Position 245: 0.07397315931125126
Position 1406: 0.057230476405371454
Position 290: 0.04553986527195187
Position 166: 0.03697687241517782
Position 265: 0.018924453952324304
Position 751: 0.01850421359161906
Position 219: 0.013397382488392453
Position 213: 0.012284921182431466
Position 785: 0.00504033217753947
Position 473: 0.004234653890799553
Position 1178: 0.001985886281099454
Position 912: 0.0018212266885760504
Position 249: 0.0018009850100664112
Position 1200: 0.0014388050506430857
Position 170: 0.001032138979169707
Position 1309: 0.000994202107966835
Position 295: 0.0007762467064571717
Position 509: 0.00045274995087243083
Position 953: 0.0004449383703305901
Position 239: 0.000399430101495552
Position 945: 0.00034307024355698367
Position 869: 0.0002438092135636952
Position 867: 0.0002245295448435303
Position 76: 0.00018771514813994926
Position 1304: 0.00016466448653511698
Position 1209: 0.00013751960838542297
Position 919: 0.0001368683096233258
Position 192: 0.00011508016052982407
Position 229: 8.98435044873192e-05
Position 247: 8.776877076510795e-05
Position 27: 7.072276889837005e-05
Position 263: 5.909548322903794e-05
Position 67: 5.229821985403828e-05
Position 1549: 3.8474022331268146e-05
Position 1520: 3.274836654041833e-05
Position 19: 2.3545804601129137e-05
Position 1525: 2.1025104459347347e-05
Position 38: 2.073586987530172e-05
Position 1383: 1.938325150017022e-05
Position 91: 1.8567945925928586e-05
Position 3: 1.72636758188706e-05
Position 1390: 1.6391789439309143e-05
Position 1182: 1.6316611948393906e-05
Position 147: 1.0817204678713519e-05
Position 699: 9.272273256061127e-06
Position 1357: 8.1399369392784e-06
Position 416: 8.092826610535152e-06
Position 106: 7.329971258219397e-06
Position 1410: 7.165900223297117e-06
Position 43: 6.836290796199658e-06
Position 910: 5.700119228103368e-06
Position 1417: 3.685503686588564e-06
Position 1315: 3.5790973883992397e-06
Position 1076: 2.3860814390015183e-06
Position 828: 2.2063568578076047e-06
Position 1122: 1.8324620708932438e-06
Position 959: 1.5992175563852147e-06
Position 1478: 1.1325781401018261e-06
Position 1506: 6.575950536736184e-07
Position 98: 4.025341539965898e-07
Position 1462: 3.44036231826366e-07
Position 393: 2.715365506270028e-08
Position 347: 2.455492474630576e-08
Position 1109: 1.8399177545610555e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1053: 0.9782982110348813
Position 345: 0.9225536074352452
Position 1478: 0.0603312980840667
Position 807: 0.010050526436399037
Position 372: 0.00498719767868905
Position 1002: 0.00494517741296592
Position 375: 0.004710771283546443
Position 815: 0.002551733797235655
Position 867: 0.002159159407326391
Position 1373: 0.001373248775725106
Position 844: 0.0011404077473189072
Position 578: 0.0011135371997586022
Position 378: 0.0010194646120854987
Position 1451: 0.0006737495918185711
Position 1364: 0.0006073138968447744
Position 897: 0.0004708888820631859
Position 975: 0.0003329732863115752
Position 1616: 0.000303881154232246
Position 1277: 0.00015756709013632134
Position 1454: 0.00013332250995983308
Position 1145: 0.00012608828033088278
Position 381: 8.397810943290836e-05
Position 910: 7.713239045003501e-05
Position 1199: 7.600139607996717e-05
Position 1066: 4.734084805425018e-05
Position 525: 4.396846051497688e-05
Position 384: 4.2733885334292754e-05
Position 117: 4.2297950184664984e-05
Position 991: 3.756309892385622e-05
Position 850: 3.154004266525372e-05
Position 1340: 2.795540024349466e-05
Position 1315: 2.7802250810997587e-05
Position 271: 2.4379708493649533e-05
Position 824: 2.4152542341612604e-05
Position 791: 1.555813504910763e-05
Position 1337: 1.3776948842612358e-05
Position 387: 1.3185297479145655e-05
Position 91: 1.2188716554068157e-05
Position 565: 1.1352498720042683e-05
Position 76: 1.020990934842544e-05
Position 919: 9.764976835235955e-06
Position 519: 9.678598168782515e-06
Position 663: 8.85011194906796e-06
Position 522: 8.301325681395967e-06
Position 67: 7.737071137554374e-06
Position 982: 7.681811262195029e-06
Position 450: 5.974395446883894e-06
Position 666: 5.473508154011451e-06
Position 1010: 5.195518046978023e-06
Position 605: 5.0918178186154035e-06
Position 98: 4.227028703515528e-06
Position 1178: 4.128542650036197e-06
Position 764: 4.093722211107883e-06
Position 1223: 3.426000902213725e-06
Position 927: 3.027085567408964e-06
Position 540: 2.972346912640486e-06
Position 537: 2.7926995557263233e-06
Position 122: 2.5787270673340596e-06
Position 941: 2.404113534517538e-06
Position 1172: 2.074310750866629e-06
Position 1118: 1.8910678100343312e-06
Position 937: 1.800424855915579e-06
Position 438: 1.4800373928944189e-06
Position 531: 1.4582255393109742e-06
Position 1513: 1.4301088143430776e-06
Position 1532: 1.099114558391057e-06
Position 534: 1.094435304946088e-06
Position 435: 5.297170129240191e-07
Position 609: 3.481198612206361e-07
Position 106: 3.439448654633662e-07
Position 423: 3.0700302838473926e-07
Position 140: 2.801579020876537e-07
Position 166: 3.238266981402791e-08
Position 669: 6.806694043404155e-09
Position 672: 5.189261616570702e-09
Position 618: 2.927061792007444e-09
Position 712: 1.7946193606564383e-09
Position 289: 1.5322146023401393e-09
Position 621: 7.380772549535907e-10
Position 726: 4.4527697174343605e-10
Position 612: 4.155075770580501e-10
Position 147: 3.718240248888414e-10
