Gene = elg1
index = 1692
Annotated 5SS: [1211 3759]
Annotated 3SS: [1265 4167]
SMsplice 5SS: [1211 3759]
SMsplice 3SS: [1265 4167]
top_k =  500
Partition function (log Z): 0.29485025105445295

Sorted 5' Splice Sites (High to Low Probability):
Position 3759: 0.9905329386140972
Position 1211: 0.9605347447833378
Position 262: 0.6332839515768346
Position 2804: 0.09415131590045515
Position 1956: 0.08688728517876025
Position 1555: 0.07554586317494844
Position 4331: 0.038572639561733305
Position 2552: 0.026937858967125188
Position 2353: 0.022797148621395417
Position 211: 0.01937710135980132
Position 951: 0.01671183809334404
Position 1346: 0.011292120224054342
Position 1355: 0.010840939611972548
Position 936: 0.007124580008441744
Position 1761: 0.006655321376342939
Position 2899: 0.0059939067535314024
Position 1765: 0.00573015706245401
Position 1677: 0.005002072199163915
Position 602: 0.004926329391288817
Position 1790: 0.0042929344055108445
Position 207: 0.00427699644462087
Position 495: 0.003921498982729663
Position 227: 0.0038590623385071302
Position 2491: 0.003477717887447003
Position 205: 0.0033558312168352174
Position 3266: 0.0033379969470025512
Position 2460: 0.0032406753129776682
Position 2077: 0.003020054915407042
Position 511: 0.0021862144731108527
Position 1542: 0.0021664032122552593
Position 4299: 0.0020788095082935032
Position 2624: 0.0020431726913417826
Position 1496: 0.002014355039895685
Position 280: 0.0018481835242601101
Position 2485: 0.0017998722907970333
Position 1525: 0.0017567358323300605
Position 4078: 0.0014070725971352185
Position 2644: 0.0012262229587777288
Position 61: 0.0008138452961835006
Position 2350: 0.0008050578448096206
Position 1303: 0.0006788045336835328
Position 4377: 0.0006412854355429965
Position 2638: 0.0005315347689292492
Position 4294: 0.0003436017118699595
Position 217: 0.0003060547760365335
Position 28: 0.0002950164365405894
Position 250: 0.0002363132231839676
Position 2221: 0.00018434206080233915
Position 131: 0.00015243386862135293
Position 215: 0.00015155665434890892
Position 4455: 0.0001459620801846303
Position 2213: 0.00014122402420986853
Position 225: 0.00010986015458930385
Position 2175: 0.0001066709828204002
Position 91: 0.00010596609826123138
Position 3751: 0.00010177606208403383
Position 285: 0.0001005688537171034
Position 209: 0.00010047404686555212
Position 375: 8.221864720227772e-05
Position 585: 7.152387177240317e-05
Position 293: 6.834820221743993e-05
Position 345: 5.9946573330051395e-05
Position 2135: 5.222963146999476e-05
Position 354: 4.6661479451496055e-05
Position 158: 2.8118634731847774e-05
Position 1405: 2.6709544226683668e-05
Position 334: 2.3113578677444078e-05
Position 191: 1.5573107810291407e-05
Position 2027: 1.402481894914302e-05
Position 768: 1.2696721262212241e-05
Position 1339: 1.2569229336477192e-05
Position 1639: 1.147561385713897e-05
Position 1036: 9.477776792282667e-06
Position 15: 6.217883012180036e-06
Position 4337: 5.6552275532348034e-06
Position 1975: 4.6015075226350484e-06
Position 1379: 3.7124861588291423e-06
Position 1215: 2.4608590459834764e-06
Position 117: 5.024307103890963e-07
Position 1026: 4.0075455027505015e-07
Position 1426: 1.8588561205212122e-07
Position 2015: 1.8544173600118624e-07
Position 153: 1.6936152615360972e-07
Position 940: 1.6026250840000575e-07
Position 1681: 1.589095700405891e-07
Position 841: 1.548311989820874e-07
Position 2108: 1.0332783762446422e-07
Position 1863: 7.620765679144216e-08
Position 1175: 7.206798584497114e-08
Position 1887: 6.463087501056969e-08
Position 2088: 6.230599150451581e-08
Position 1867: 5.450282074351406e-08
Position 1423: 4.804115298941998e-08
Position 1072: 2.8265694378147266e-08
Position 675: 2.2857907158266884e-08
Position 288: 1.0012965064063733e-08
Position 502: 9.663363078029892e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 4167: 0.9802118185915433
Position 1265: 0.8296115751609442
Position 3189: 0.32865324793501777
Position 357: 0.27863442513125963
Position 460: 0.13709457076751824
Position 650: 0.11783360661682148
Position 3651: 0.11382943010690703
Position 511: 0.033275801328331564
Position 4377: 0.029796902621757757
Position 3638: 0.02676841281168874
Position 1035: 0.024865414175415587
Position 552: 0.020933539413810237
Position 467: 0.020564005050660444
Position 2689: 0.014914575126086372
Position 3299: 0.014104130976922423
Position 3404: 0.010975984782218876
Position 3440: 0.009154511059183223
Position 3908: 0.00876343919047764
Position 382: 0.00856013825930469
Position 4401: 0.006595292872231755
Position 3048: 0.006338438373074201
Position 3884: 0.005809876938316509
Position 2265: 0.00502737695683702
Position 431: 0.004576557024889683
Position 4513: 0.003759126035921447
Position 4183: 0.0035013508605344456
Position 2277: 0.0033140149810021134
Position 2484: 0.0030820669595442917
Position 1044: 0.0025555047339370076
Position 1062: 0.0020946424831699492
Position 375: 0.0019577309207124524
Position 394: 0.0019236380811341477
Position 445: 0.0017362183880741718
