Gene = aust
index = 1617
Annotated 5SS: [290]
Annotated 3SS: [355]
SMsplice 5SS: [290]
SMsplice 3SS: [355]
top_k =  500
Partition function (log Z): -0.9187316670065647

Sorted 5' Splice Sites (High to Low Probability):
Position 290: 0.9973950604952837
Position 747: 0.007632596852954635
Position 679: 0.007095783840658367
Position 203: 0.005161635135267251
Position 193: 0.0005544898629394667
Position 801: 0.00012832669594599946
Position 643: 6.0400577706909455e-05
Position 200: 5.1087823590374726e-05
Position 258: 3.514371885906637e-05
Position 175: 3.478582945644583e-05
Position 631: 2.7203479745189457e-05
Position 607: 2.6533076089876145e-05
Position 783: 2.3629520058721738e-05
Position 487: 1.4037840910422156e-05
Position 323: 1.0347003704269062e-05
Position 514: 9.762479100940568e-06
Position 598: 7.0329520761269665e-06
Position 100: 6.514687087596618e-06
Position 924: 4.156087802434884e-06
Position 712: 2.3539551249386735e-06
Position 451: 1.7631758809808668e-06
Position 554: 1.3715873571082065e-06
Position 4: 1.2490250736652375e-06
Position 574: 1.1302724467810694e-06
Position 308: 1.1173789335809655e-06
Position 921: 9.607610840303145e-07
Position 467: 8.543390647315417e-07
Position 25: 3.4119150634447354e-07
Position 329: 2.3777613338231637e-07
Position 877: 6.859965554107467e-08
Position 869: 3.319150994177364e-08
Position 817: 1.6533728006877905e-08
Position 896: 7.936405887874293e-09
Position 62: 7.402480656691266e-09
Position 843: 5.643468459708448e-09
Position 857: 4.467930900513647e-09
Position 849: 4.129295846558716e-09
Position 890: 3.733707787876406e-09
Position 108: 3.2813690576149266e-09
Position 881: 2.9747871685146994e-09
Position 544: 6.078936146844136e-10
Position 59: 4.949192817219714e-10
Position 380: 3.426248612743576e-10
Position 398: 9.258536966615447e-11
Position 338: 2.6519367100695687e-11
Position 392: 1.7615151039277187e-11
Position 395: 2.294977539667381e-12
Position 384: 3.536292313160426e-17

Sorted 3' Splice Sites (High to Low Probability):
Position 355: 0.9981442440694557
Position 817: 0.006969248417725731
Position 854: 0.004198025737645501
Position 757: 0.003348140376658391
Position 264: 0.0025508207618188854
Position 392: 0.0008187550942030121
Position 282: 0.0007038734618888452
Position 380: 0.000470562549026268
Position 417: 0.00035001155618602823
Position 991: 0.0003105378595966307
Position 363: 0.00018781301711425248
Position 766: 0.0001404131929462633
Position 678: 5.818996439532746e-05
Position 590: 9.268254440490614e-06
Position 549: 9.199794147849448e-06
Position 869: 7.912063952648676e-06
Position 777: 6.522839960095522e-06
Position 206: 1.725060539345062e-06
Position 55: 9.426784527633013e-07
Position 621: 7.861793643211886e-07
Position 241: 5.319890916923865e-07
Position 192: 3.4794403767804507e-07
Position 654: 2.959628896209058e-07
Position 66: 2.439444311877198e-07
Position 684: 2.3209058094940902e-07
Position 525: 2.217612416542926e-07
Position 441: 2.1854562189470513e-07
Position 234: 1.9845694967726006e-07
Position 284: 1.731452694595529e-07
Position 81: 1.0817274628092041e-07
Position 636: 9.725582229844443e-08
Position 533: 8.456070944139091e-08
Position 318: 6.953876262452439e-08
Position 48: 5.8298585566112546e-08
Position 168: 4.5295980304508296e-08
Position 458: 3.589084103948954e-08
Position 100: 1.8629816338390198e-08
Position 141: 1.788087606642129e-08
Position 219: 1.703716565753269e-08
Position 321: 1.5617970843426468e-08
Position 72: 1.4668365235674561e-08
Position 94: 7.561622707910766e-09
Position 174: 6.301615756970978e-09
Position 78: 6.2004857991689336e-09
Position 159: 5.121617491353758e-09
Position 172: 7.069233142456981e-10
Position 216: 6.115485266189947e-10
Position 150: 5.848740488462696e-10
Position 138: 1.926233066452123e-10
Position 289: 1.3044348669357075e-12
Position 155: 6.551013125839257e-13
Position 96: 8.638907251862487e-14
Position 294: 4.8562666624409835e-15
