Gene = geko
index = 1714
Annotated 5SS: [ 619 4302]
Annotated 3SS: [4099 5519]
SMsplice 5SS: [ 619 4302]
SMsplice 3SS: [4099 5519]
top_k =  500
Partition function (log Z): -1.6644602873560528

Sorted 5' Splice Sites (High to Low Probability):
Position 4302: 0.9953211155383763
Position 619: 0.9801185106682146
Position 5737: 0.06874086321503657
Position 5266: 0.06627427399110088
Position 5022: 0.05620906996909175
Position 1721: 0.05170133394213463
Position 5695: 0.046302751868292406
Position 1989: 0.0283811431025775
Position 1870: 0.01364777656438981
Position 4700: 0.01204408961360031
Position 513: 0.011537295442718523
Position 289: 0.009847785237483954
Position 5727: 0.009597655112850576
Position 1006: 0.008244497238502086
Position 2724: 0.00797656700786642
Position 4479: 0.007495985105722343
Position 1145: 0.00560420201155094
Position 3463: 0.005603823407756288
Position 79: 0.005092510821230761
Position 5032: 0.004907169147367947
Position 2419: 0.0043037751009995006
Position 1071: 0.004183407241688485
Position 2006: 0.0032986899304187013
Position 5701: 0.003150893393531497
Position 5760: 0.002859891242755176
Position 5380: 0.0027825844197968633
Position 1503: 0.0025033321770667953
Position 5315: 0.0024264708125200933
Position 1552: 0.002263606544005233
Position 1573: 0.00221223881246539
Position 33: 0.00210129709994852
Position 1301: 0.001988479421594841
Position 5345: 0.0019217562842285872
Position 51: 0.001891177627415338
Position 1104: 0.0017648367119759158
Position 3222: 0.0017190215179992878
Position 167: 0.0016255960894461484
Position 5167: 0.0015390335492038215
Position 1872: 0.001424403899948634
Position 767: 0.0013779154116231704
Position 62: 0.0011634428504494346
Position 5282: 0.0011610256249619778
Position 5896: 0.0011045482631199318
Position 48: 0.0009631115469018846
Position 1256: 0.0008918279238671718
Position 4751: 0.0007898759137034254
Position 197: 0.0007248020563589046
Position 1125: 0.0007095144579632122
Position 4735: 0.0006524637260453609
Position 3540: 0.000617956150771512
Position 5565: 0.0005937992679230621
Position 90: 0.00044238060708369953
Position 5112: 0.00043198737081523274
Position 5798: 0.00042505209498508006
Position 2769: 0.00041583343235119066
Position 96: 0.00035640730921716754
Position 2303: 0.00031963086626174257
Position 5288: 0.0003192074070157034
Position 4828: 0.00022451665213814282
Position 4651: 0.00022079549892045603
Position 4367: 0.0001845042387944249
