Gene = pr
index = 1848
Annotated 5SS: [  75  501  688 1268]
Annotated 3SS: [ 138  607 1121 1329]
SMsplice 5SS: [  75  501  688 1268]
SMsplice 3SS: [ 138  607 1121 1329]
top_k =  500
Partition function (log Z): 3.301856533329147

Sorted 5' Splice Sites (High to Low Probability):
Position 75: 0.9877617720827989
Position 1268: 0.9552046574332832
Position 688: 0.9321050882726618
Position 501: 0.9086036252837537
Position 799: 0.03850882408808844
Position 1650: 0.029642555635584673
Position 326: 0.010986871730421528
Position 340: 0.00993716779528955
Position 1682: 0.0063256267143331915
Position 42: 0.005066540916744489
Position 1069: 0.004491607091253358
Position 415: 0.001896020160715695
Position 213: 0.0014975346319131134
Position 1665: 0.001406307595109089
Position 1411: 0.0013337850132564822
Position 294: 0.0012224236293205339
Position 1205: 0.0009980159633761795
Position 1071: 0.0007769009907318873
Position 936: 0.0005580809469847471
Position 1247: 0.0005043854398432041
Position 1001: 0.0003460313828509165
Position 963: 0.00030923588672598104
Position 815: 0.0003075753345703354
Position 954: 0.0003039034697831979
Position 875: 0.00027071341731961914
Position 818: 0.0002555050233078558
Position 1686: 0.00020473977581552047
Position 227: 0.00018728080868314785
Position 1404: 0.00012413641969374683
Position 1458: 7.941462272271596e-05
Position 464: 6.292826312921828e-05
Position 650: 5.7131511877953055e-05
Position 740: 5.63474034061774e-05
Position 1629: 3.730762542876943e-05
Position 32: 3.449661031201101e-05
Position 236: 3.356273941819982e-05
Position 238: 2.4317482151845472e-05
Position 262: 1.6221278631353547e-05
Position 1166: 1.4629405020157637e-05
Position 1556: 1.3361091358963442e-05
Position 1300: 1.1856098962335042e-05
Position 1527: 1.1832724537238194e-05
Position 639: 1.0553893478560584e-05
Position 956: 5.7323218331050855e-06
Position 79: 4.280604289983889e-06
Position 250: 3.620972345372733e-06
Position 96: 2.9098392649339146e-06
Position 901: 2.588129108149366e-06
Position 491: 2.2477324952545016e-06
Position 1512: 8.629313993639611e-07
Position 279: 8.487304646291831e-07
Position 3: 5.709314593406365e-07
Position 435: 5.541774721386979e-07
Position 19: 3.288391823668287e-07
Position 720: 4.3413272108880785e-08
Position 448: 2.5705688811870408e-08
Position 129: 1.009146654279672e-09
Position 568: 9.117390734021434e-10
Position 100: 7.787614965526212e-10
Position 1133: 6.827232833738418e-10
Position 1121: 1.632067319443674e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 138: 0.982129839949736
Position 1121: 0.9713280997135697
Position 1329: 0.9572630030751206
Position 607: 0.7868899538077405
Position 568: 0.11099059259270201
Position 1732: 0.03878995931914171
Position 395: 0.01805334575844627
Position 777: 0.015843881503270096
Position 1078: 0.0024672777314589103
Position 1334: 0.0023748528366584146
Position 875: 0.0022119537029032257
Position 1342: 0.0017769147457470868
Position 479: 0.0017408073445749767
Position 1383: 0.001642492447248359
Position 831: 0.0014668069592421915
Position 147: 0.0013405694409774941
Position 356: 0.0010781659393759551
Position 740: 0.000721450004143692
Position 997: 0.0004606065345018078
Position 294: 0.00045434639655676036
Position 1008: 0.0004132037636127513
Position 160: 0.0004000565466237882
Position 401: 0.0003810004612745115
Position 1552: 0.00034940061489804154
Position 189: 0.00013042338830115697
Position 115: 0.0001240533080208478
Position 889: 0.0001008636538457863
Position 500: 7.68167131223509e-05
Position 363: 6.36016393849379e-05
Position 815: 5.073127796998594e-05
Position 1597: 4.91514736779993e-05
Position 1445: 4.7179809240179265e-05
Position 1268: 4.202437407807121e-05
Position 1682: 4.140890120072972e-05
Position 325: 3.2708328018310064e-05
Position 1088: 3.01125229999201e-05
Position 720: 3.0024392737091626e-05
Position 1028: 2.6557429976284222e-05
Position 407: 2.600027166593189e-05
Position 441: 2.4815517571922168e-05
Position 1389: 2.3692191862981536e-05
Position 213: 1.897518102676472e-05
Position 250: 1.823229569371064e-05
Position 415: 1.7245138260738306e-05
Position 850: 1.6443778676167672e-05
Position 1621: 1.0601789082558193e-05
Position 1632: 9.793777810338307e-06
Position 199: 6.117460632265322e-06
Position 309: 5.807820960104735e-06
Position 1020: 4.062432069918284e-06
Position 619: 3.6977663429048036e-06
Position 1216: 3.5583631479275345e-06
Position 629: 3.2382216510578837e-06
Position 508: 3.111055387184137e-06
Position 1392: 2.713317327083279e-06
Position 1126: 2.6127685928806794e-06
Position 218: 2.588981808780247e-06
Position 322: 2.313501463892464e-06
Position 1434: 2.07548748705759e-06
Position 220: 1.2243631110713672e-06
Position 65: 7.875992051495709e-07
Position 371: 4.850004671480062e-07
Position 639: 4.005845839338066e-07
Position 650: 3.542427901180165e-07
Position 227: 2.198127890403294e-07
Position 74: 3.819449216258158e-08
Position 96: 1.7229115604377882e-08
Position 234: 1.2061521173032104e-08
Position 168: 9.537450432333437e-09
Position 687: 7.260194074839508e-09
Position 79: 5.2776842024454425e-12
