Gene = Psf2
index = 1390
Annotated 5SS: [ 37 593]
Annotated 3SS: [342 650]
SMsplice 5SS: [593]
SMsplice 3SS: [650]
top_k =  500
Partition function (log Z): -6.5751920243134245

Sorted 5' Splice Sites (High to Low Probability):
Position 593: 0.862029814014856
Position 310: 0.23110276434246277
Position 37: 0.05325643418176555
Position 597: 0.043912637069586084
Position 604: 0.032799945142784774
Position 71: 0.031970502414985835
Position 283: 0.012382678884424096
Position 28: 0.009792776100430734
Position 608: 0.007363661384434341
Position 995: 0.005837368899822828
Position 331: 0.00213382042701076
Position 986: 0.0018704418950231867
Position 57: 0.0017929159292736315
Position 912: 0.0007638177180833486
Position 871: 0.0007554079045505684
Position 130: 0.0007417008595483859
Position 1093: 0.0005365316057934654
Position 304: 0.00031953798451741133
Position 959: 0.0002458903896349899
Position 933: 0.0002139173203023496
Position 980: 0.0002055004688016637
Position 1014: 0.00019712194227292304
Position 168: 0.00013920280153051476
Position 123: 0.00013690686378066297
Position 211: 0.00013657844920063068
Position 1039: 0.000136567398228026
Position 86: 0.00013645610469162329
Position 25: 0.0001242655298869162
Position 184: 9.938387520270116e-05
Position 528: 9.874939041416043e-05
Position 116: 9.687575820753557e-05
Position 751: 9.657797137347525e-05
Position 1096: 7.911937708878113e-05
Position 285: 6.071938697544623e-05
Position 326: 5.179871017641895e-05
Position 201: 3.7822277525713786e-05
Position 518: 3.629929580673692e-05
Position 335: 3.042083555928107e-05
Position 253: 2.998819996110645e-05
Position 96: 2.429380398463102e-05
Position 685: 2.393141752609734e-05
Position 1115: 2.2105684960871347e-05
Position 1067: 2.0039775328063994e-05
Position 1086: 1.955138658368031e-05
Position 780: 6.407560769853963e-06
Position 671: 6.058910418201314e-06
Position 314: 2.91465878140721e-06
Position 696: 2.091395819981417e-06
Position 651: 1.925538550754796e-06
Position 1005: 1.8272444989939954e-06
Position 485: 1.7765402509370393e-06
Position 1026: 1.307761611879972e-06
Position 463: 1.2654840626778066e-06
Position 444: 8.223819203485546e-07
Position 471: 6.410496784252537e-07
Position 107: 3.837358746138274e-07
Position 477: 2.81996263232688e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 650: 0.9782533734871904
Position 412: 0.18600466619526862
Position 342: 0.0371535237053621
Position 147: 0.01862191593836805
Position 1160: 0.01855596733256236
Position 394: 0.016636926953563752
Position 86: 0.012182917381961412
Position 221: 0.010141383524448974
Position 537: 0.00712732208763156
Position 116: 0.006486140278563072
Position 218: 0.002626101244774987
Position 113: 0.0019302528793513191
Position 180: 0.001218418725279342
Position 907: 0.0010836622642816935
Position 156: 0.0009196086305584727
Position 869: 0.0006120101021366098
Position 688: 0.0005911338340410702
Position 459: 0.00039537883904126566
Position 696: 0.00025480865157167474
Position 1014: 0.00023891400954650626
Position 518: 0.0001819657455151661
Position 509: 0.000150516060499789
Position 1054: 0.00014932944906966328
Position 123: 0.0001126469661358098
Position 177: 4.622959612603116e-05
Position 841: 4.1380586773100534e-05
Position 973: 3.430108459889569e-05
Position 1074: 2.444554757367211e-05
Position 816: 2.295619737542298e-05
Position 1115: 1.3411863535926326e-05
Position 1026: 1.2203817809810945e-05
Position 918: 9.688041668686547e-06
Position 861: 8.677655829602126e-06
Position 1061: 8.665457684887208e-06
Position 235: 6.826741311910375e-06
Position 275: 6.718928925875721e-06
Position 260: 5.349282957890509e-06
Position 941: 5.270032062646114e-06
Position 572: 4.230280269751073e-06
Position 223: 3.6015233361318827e-06
Position 242: 2.828150755092894e-06
Position 1067: 2.4704017122918964e-06
Position 563: 1.3494562256987985e-06
Position 419: 6.691959054299021e-07
Position 149: 3.20771775964751e-07
Position 282: 2.847274312043104e-08
Position 244: 1.638959994478954e-08
Position 163: 1.5977948876394133e-08
Position 304: 4.663372479206523e-09
Position 267: 1.0282571660566263e-09
