Gene = SmB
index = 1506
Annotated 5SS: [134]
Annotated 3SS: [502]
SMsplice 5SS: [134]
SMsplice 3SS: [502]
top_k =  500
Partition function (log Z): -4.114180951672077

Sorted 5' Splice Sites (High to Low Probability):
Position 134: 0.9686382596473979
Position 69: 0.02774802500439254
Position 427: 0.0035134036660349715
Position 418: 0.0016353283124309465
Position 86: 0.0010120083245291807
Position 138: 0.000806734811000094
Position 74: 0.0007735099356325901
Position 671: 0.0004156857636267454
Position 379: 0.0002746062409545782
Position 172: 0.00013964546125930046
Position 376: 0.00011534363589708497
Position 585: 0.00011499042361998032
Position 707: 9.729663078057094e-05
Position 66: 6.795610872024575e-05
Position 743: 6.389925807693525e-05
Position 230: 5.696235063299996e-05
Position 1089: 3.962256581106337e-05
Position 190: 3.205929493433871e-05
Position 286: 2.876294194750958e-05
Position 1065: 2.2004971678044556e-05
Position 891: 2.181363532600853e-05
Position 884: 2.1615447109620224e-05
Position 548: 2.058854256535731e-05
Position 177: 1.6854196626318124e-05
Position 731: 1.5529926523444094e-05
Position 314: 1.4763106697741685e-05
Position 219: 1.3498925288682119e-05
Position 334: 1.1698206257122805e-05
Position 819: 9.882574157472158e-06
Position 187: 7.245708777931237e-06
Position 149: 6.326920936929281e-06
Position 182: 5.645316627014006e-06
Position 807: 4.8516291090920385e-06
Position 573: 3.6929168684223027e-06
Position 695: 2.6626973607815362e-06
Position 464: 2.575973340402624e-06
Position 960: 1.2185589341170303e-06
Position 1023: 1.2139876766095782e-06
Position 870: 1.1857710416209247e-06
Position 853: 8.328764320275771e-07
Position 860: 6.873096792159021e-07
Position 640: 6.679989873027168e-07
Position 938: 1.7477637491053933e-07
Position 893: 8.704744824410814e-08
Position 879: 6.40619327407711e-08
Position 824: 1.559294602869983e-11
Position 557: 1.9507957127547277e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 502: 0.977621163651029
Position 203: 0.019801281482060628
Position 334: 0.003685484831229164
Position 187: 0.002090929587492727
Position 800: 0.000788922322857195
Position 416: 0.0007489411528237639
Position 565: 0.000265998798657294
Position 532: 0.0001849919850656485
Position 1132: 0.00015885289612171705
Position 241: 0.00015797618518434924
Position 913: 8.168730387334297e-05
Position 670: 4.677882748201435e-05
Position 1007: 3.805372291757596e-05
Position 596: 3.6186342290255204e-05
Position 437: 2.409067386561175e-05
Position 866: 9.364562494556552e-06
Position 649: 6.091770490424049e-06
Position 731: 5.938814229672881e-06
Position 661: 5.633578062120835e-06
Position 514: 4.879777187627341e-06
Position 177: 4.085751992287262e-06
Position 764: 3.862060823774851e-06
Position 637: 2.216681478191685e-06
Position 118: 1.7119555222019645e-06
Position 877: 1.403767263541807e-06
Position 156: 1.3120520233705238e-06
Position 356: 1.2652107256879964e-06
Position 679: 9.423910114116216e-07
Position 691: 5.338276724433588e-07
Position 640: 3.979855869624893e-07
Position 797: 1.944988900990686e-07
Position 766: 1.7773710056683997e-07
Position 938: 1.2369268855783613e-07
Position 138: 7.600785740648728e-09
