Gene = Cp19
index = 1090
Annotated 5SS: [58]
Annotated 3SS: [146]
SMsplice 5SS: [58]
SMsplice 3SS: [146]
top_k =  500
Partition function (log Z): -3.655950399915131

Sorted 5' Splice Sites (High to Low Probability):
Position 58: 0.995818213919087
Position 611: 0.013267627116891348
Position 83: 0.0037120556487252004
Position 397: 0.002866974851155503
Position 615: 0.001446072244377128
Position 378: 0.0006942826990515928
Position 292: 0.000692126247236331
Position 540: 0.00033638626955174316
Position 51: 0.000295222521616234
Position 599: 0.00018241457995492156
Position 235: 5.270684808671301e-05
Position 62: 4.618717210649881e-05
Position 530: 3.258971972083916e-05
Position 472: 2.2198690655985368e-05
Position 385: 2.0923752629092488e-05
Position 418: 1.2351571557967185e-05
Position 64: 7.623372146497385e-06
Position 623: 7.428642747531005e-06
Position 334: 6.029124284514866e-06
Position 315: 5.162855274500245e-06
Position 301: 3.552312893185249e-06
Position 18: 3.068310592232317e-06
Position 430: 2.8081095588194256e-06
Position 485: 2.4275511342445543e-06
Position 202: 2.2830821540021143e-06
Position 367: 1.765273381125979e-06
Position 451: 1.7281895589482748e-06
Position 433: 1.3437146267651618e-06
Position 516: 1.2558007217992572e-06
Position 177: 1.8089729338440082e-07
Position 406: 1.0488022329013853e-07
Position 570: 5.518150865012101e-08
Position 459: 1.1236019537371728e-09
Position 129: 5.131589828469842e-10
Position 156: 6.638217986773812e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 146: 0.9969807096057294
Position 675: 0.01642829292507131
Position 156: 0.0018707384869665153
Position 497: 0.0008958575499181786
Position 464: 0.000826168417909753
Position 377: 0.000715131486123646
Position 129: 0.0006342970524937189
Position 530: 0.00032290620208858326
Position 184: 0.00013259049824747353
Position 591: 0.00012288050108966758
Position 640: 0.00011010977585257114
Position 643: 9.642352245694637e-05
Position 593: 8.542015615699068e-05
Position 570: 8.486992569556369e-05
Position 212: 5.343964707506276e-05
Position 265: 4.669073835941626e-05
Position 701: 2.839027415966451e-05
Position 535: 2.345999789561533e-05
Position 346: 2.1326888797351745e-05
Position 611: 1.5692517176663188e-05
Position 239: 1.1481889690447978e-05
Position 729: 1.0700008958476497e-05
Position 599: 8.770224275850752e-06
Position 209: 5.640082422670677e-06
Position 509: 3.8127537020304556e-06
Position 619: 3.4704735436895605e-06
Position 539: 1.1406241438757609e-06
Position 244: 1.1239459334340915e-06
Position 270: 8.554687894009859e-07
Position 623: 6.353808493298988e-07
Position 299: 6.099634280219188e-07
Position 382: 5.441228916148494e-07
Position 273: 4.913783056247275e-07
Position 578: 4.801165000579888e-07
Position 224: 1.3850952457370588e-10
Position 285: 2.0429208874720245e-11
Position 296: 1.4499376892202337e-11
Position 320: 8.838643801644274e-12
Position 359: 8.683212172887938e-12
Position 214: 1.0827884537079956e-13
Position 72: 7.998100641475463e-14
Position 290: 5.010355609283933e-14
Position 62: 5.63303598196524e-15
Position 308: 1.4561061693151514e-19
