Gene = Fas3
index = 1162
Annotated 5SS: [  629 63618 64079 64792]
Annotated 3SS: [63299 63736 64356 66054]
SMsplice 5SS: [  629 36374 37268 37417 63618 64079 64792]
SMsplice 3SS: [36167 36434 37322 63299 63736 64356 72623]
top_k =  500
Partition function (log Z): -75.72837342133806

Sorted 5' Splice Sites (High to Low Probability):
Position 629: 0.6062892125651721
Position 1124: 0.4575273333771071
Position 23922: 0.19493579724791646
Position 201: 0.04309412426131241
Position 14354: 0.033800959774213296
Position 657: 0.0015741324595288041
Position 203: 0.0012839375457542926
Position 149: 0.00096308164191599
Position 888: 0.0007799856078837579
Position 727: 0.0006137399079926502
Position 215: 0.00033199025963640775
Position 906: 0.000329654797248557
Position 14: 0.00030474414804887337
Position 717: 0.0002906854350138456
Position 871: 0.00019885390087965582
Position 571: 0.00017269799339691123
Position 153: 0.00015327581908004855
Position 899: 0.000148227694573468
Position 131: 8.338867905327712e-05
Position 752: 7.287409953097617e-05
Position 402: 6.865047294138786e-05
Position 412: 5.9075233733914486e-05
Position 442: 5.7697442334076986e-05
Position 88: 5.109346501739735e-05
Position 143: 4.963556096957089e-05
Position 290: 4.6143556968457874e-05
Position 873: 3.9556503653934285e-05
Position 384: 3.664008490466963e-05
Position 1036: 2.3462192515101872e-05
Position 668: 2.1742529106810282e-05
Position 719: 1.9675484607232317e-05
Position 113: 1.4968903546156309e-05
Position 998: 1.4910842255989001e-05
Position 147: 1.4243552892848757e-05
Position 460: 1.1253283201406725e-05
Position 1025: 1.0450281983445188e-05
Position 876: 9.932657928155982e-06
Position 864: 8.292906721277596e-06
Position 801: 6.38886342650496e-06
Position 913: 6.112183444046241e-06
Position 205: 5.582559489143755e-06
Position 71: 5.51798625809534e-06
Position 543: 5.148614167480882e-06
Position 389: 4.479291221952811e-06
Position 698: 3.9025932136487565e-06
Position 817: 3.643560590247023e-06
Position 59: 2.571637226203369e-06
Position 13585: 2.1831389675754084e-06
Position 964: 1.2737897678358822e-06
Position 1000: 1.1711700748202652e-06
Position 13549: 5.013069339627544e-07
Position 1943: 2.174804216284939e-07
Position 3503: 1.9168076077008107e-07
Position 2435: 1.7110329285922103e-07
Position 1099: 1.9812288615333667e-09
Position 1472: 1.6544894594476158e-09
Position 1058: 1.6106824298446639e-09
Position 2053: 1.3977166722437089e-09
Position 8481: 1.1804602995633549e-09
Position 8851: 1.0106969612724326e-09
Position 1090: 9.263384836799507e-10
Position 1283: 9.090689257347468e-10
Position 8485: 7.994685475421734e-10
Position 1370: 6.635174704322266e-10
Position 1628: 6.594726640530884e-10
Position 1678: 4.598830402805095e-10
Position 2041: 3.708105269540507e-10
Position 1395: 1.1265262443562775e-10
Position 5209: 7.164497635849254e-11
Position 1499: 4.3572598721616803e-11
Position 1357: 3.8564064767892785e-11
Position 5018: 3.7852760048763144e-11
Position 1255: 2.9740054999475954e-11
Position 1201: 2.157349989485582e-11
