Gene = Naxd
index = 1311
Annotated 5SS: [404]
Annotated 3SS: [481]
SMsplice 5SS: [404]
SMsplice 3SS: [471]
top_k =  500
Partition function (log Z): -5.741960838379172

Sorted 5' Splice Sites (High to Low Probability):
Position 404: 0.9711480135291541
Position 198: 0.023291082444619138
Position 382: 0.011893304789881322
Position 823: 0.004032271769360041
Position 29: 0.003770568733855142
Position 911: 0.0029104939445621855
Position 1219: 0.0014485458514473225
Position 408: 0.0013205347046553403
Position 254: 0.000925885980350742
Position 837: 0.000852590687383552
Position 891: 0.0008012899373024468
Position 1089: 0.0003556284274579569
Position 175: 0.0003032220197484904
Position 731: 0.0001866395589081826
Position 1001: 0.00017580315095593767
Position 71: 0.0001569146353941651
Position 930: 0.00013122149871325258
Position 1057: 9.843016164295737e-05
Position 592: 8.678841499683449e-05
Position 398: 5.6068306156766225e-05
Position 434: 5.3705729147321455e-05
Position 6: 4.84207567621582e-05
Position 1033: 4.504377433557668e-05
Position 970: 4.4623510923812626e-05
Position 211: 4.391701164169251e-05
Position 946: 3.8940578217121064e-05
Position 1019: 3.58238438028359e-05
Position 45: 2.4632781921753905e-05
Position 1186: 2.2001724563439034e-05
Position 536: 1.6764073035223957e-05
Position 921: 1.6437365474369896e-05
Position 569: 1.6142973071550425e-05
Position 828: 1.4235610156747808e-05
Position 226: 1.3711326874581752e-05
Position 152: 1.3079825497296064e-05
Position 1093: 1.1065967486705777e-05
Position 202: 9.153240250712845e-06
Position 401: 6.885379932302786e-06
Position 676: 6.378125636650617e-06
Position 277: 6.211311276203734e-06
Position 1136: 5.971337815921492e-06
Position 788: 4.914605029778949e-06
Position 137: 4.429048481593391e-06
Position 886: 3.6131229172761897e-06
Position 874: 3.233030533845304e-06
Position 351: 2.5544954279585176e-06
Position 572: 2.5281874146242994e-06
Position 275: 1.7508565169688715e-06
Position 191: 1.7190623668569564e-06
Position 140: 1.155925611087405e-06
Position 295: 5.828792266193413e-07
Position 86: 5.315261323485363e-07
Position 310: 1.2101036625542316e-07
Position 17: 9.331738210330648e-08
Position 362: 3.3704990692463516e-08
Position 332: 2.112272168765165e-08
Position 101: 1.9719524004123877e-08
Position 547: 1.699976606555419e-08
Position 877: 1.1415369828046108e-08
Position 482: 1.088918630141686e-08
Position 938: 9.940990716238063e-09
Position 127: 9.418141223032516e-09
Position 341: 4.974508791106346e-09
Position 318: 2.3016526969341885e-09
Position 353: 2.2518923165563774e-09
Position 624: 1.0539475387629368e-09
Position 638: 8.106484986869395e-10
Position 816: 6.577201421357426e-10
Position 810: 4.065193629453819e-10
Position 737: 2.528369206982496e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 471: 0.8416498336432843
Position 481: 0.15381382817314965
Position 101: 0.003676249750199393
Position 1160: 0.0035540517065766955
Position 1264: 0.002926656539417849
Position 252: 0.0027573080021980377
Position 318: 0.0023266203313660598
Position 341: 0.002303100905457453
Position 310: 0.0018821059509031672
Position 886: 0.00185930539325875
Position 981: 0.0016829216145368303
Position 1027: 0.0011956520051058825
Position 970: 0.0009702069351907521
Position 631: 0.0007702391680070936
Position 670: 0.0006069788208552608
Position 1086: 0.0005383731795904808
Position 1017: 0.00028519666488410777
Position 1057: 0.00025394703040289437
Position 914: 0.0001516925869723205
Position 946: 0.00014517446324389428
Position 1107: 0.00014512688784053932
Position 347: 0.00014306773981689305
Position 74: 0.00013938628346247286
Position 544: 0.00010170539586517898
Position 133: 9.321128190031421e-05
Position 788: 8.037714066226365e-05
Position 362: 7.157334708725296e-05
Position 822: 6.628093389462733e-05
Position 804: 5.1986949700840444e-05
Position 1181: 4.1955972704356135e-05
Position 694: 3.2570446708935e-05
Position 148: 2.2225589068322236e-05
Position 1248: 2.027214099764747e-05
Position 578: 1.8580377770548975e-05
Position 706: 1.5399552715316562e-05
Position 569: 1.2102473449305868e-05
Position 748: 1.1030073624179064e-05
Position 86: 1.000698574101821e-05
Position 930: 8.227705533602867e-06
Position 115: 6.324306501333589e-06
Position 386: 5.547540674397585e-06
Position 523: 5.067464367182181e-06
Position 1044: 4.433181697510585e-06
Position 1223: 3.983994631794513e-06
Position 374: 2.310280239291998e-06
Position 163: 1.1583077684129957e-06
Position 221: 1.0537715693400643e-06
Position 211: 5.7667385859401e-07
Position 175: 4.3950504718465845e-07
Position 169: 2.416635278376189e-07
Position 254: 9.95319296932427e-08
Position 369: 1.1068817004499991e-08
Position 54: 1.0152155697936994e-08
Position 664: 9.504189805402978e-09
Position 76: 7.891851835271067e-09
Position 191: 7.8848537874786e-09
Position 562: 4.678913424849938e-09
Position 411: 8.900959856850795e-12
