Gene = Srp9
index = 1521
Annotated 5SS: [243]
Annotated 3SS: [307]
SMsplice 5SS: [243]
SMsplice 3SS: [307]
top_k =  500
Partition function (log Z): -3.7836058605143443

Sorted 5' Splice Sites (High to Low Probability):
Position 243: 0.9995495371674001
Position 526: 0.009634992959152244
Position 111: 0.004822873354262041
Position 11: 0.002635949116682095
Position 105: 0.0026133939646113716
Position 816: 0.0014022604640284277
Position 237: 0.00028493106902643717
Position 46: 0.0001379286614356271
Position 55: 0.00010891802220242535
Position 6: 9.900803275352358e-05
Position 802: 8.376075853005846e-05
Position 374: 7.610480711099295e-05
Position 52: 7.300570234415528e-05
Position 790: 7.185065504391337e-05
Position 502: 5.4964328764907575e-05
Position 538: 4.097597069523584e-05
Position 33: 3.2933972629850444e-05
Position 807: 3.2924390460302923e-05
Position 769: 2.9627183003294626e-05
Position 89: 2.7541777174771583e-05
Position 536: 2.1233551610743537e-05
Position 778: 1.5889878747054472e-05
Position 58: 1.142238340918707e-05
Position 152: 8.683873647405794e-06
Position 505: 4.576186705085069e-06
Position 822: 3.240220429342702e-06
Position 625: 3.133325913416839e-06
Position 388: 2.4825719426910936e-06
Position 528: 1.4991516756906926e-06
Position 678: 1.2751618364465053e-06
Position 540: 1.2503011676874797e-06
Position 830: 1.205768750485834e-06
Position 530: 1.0893473731015392e-06
Position 41: 9.199094112711799e-07
Position 734: 6.715961891239692e-07
Position 669: 4.245431444971024e-07
Position 266: 2.3255975852310532e-07
Position 508: 1.9260608707519355e-07
Position 737: 1.1371297228492716e-07
Position 307: 1.0849561477587983e-07
Position 569: 8.443449319935577e-08
Position 684: 8.345376502639202e-08
Position 141: 1.48456552791771e-09
Position 175: 8.814346952074039e-10
Position 309: 4.140904803669943e-10
Position 542: 3.2764951467614515e-10
Position 613: 2.838878497837262e-10
Position 596: 1.7961502649819404e-10
Position 316: 6.90080216537195e-11
Position 311: 2.7181137757545247e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 307: 0.9838290307366354
Position 316: 0.01581507348298685
Position 170: 0.01039323064131114
Position 756: 0.004579291591854351
Position 577: 0.0034016662682779925
Position 876: 0.0012479036497146522
Position 860: 0.000907282405945501
Position 569: 0.0007466044670687607
Position 588: 0.0002251064386477162
Position 641: 0.00013883468774207006
Position 880: 0.0001354869347946656
Position 116: 0.00011214521681053708
Position 345: 8.109452762665699e-05
Position 623: 7.256185940916705e-05
Position 358: 5.605984910016191e-05
Position 760: 4.059209542725973e-05
Position 820: 3.760409697433463e-05
Position 323: 3.1468018370736794e-05
Position 448: 1.3910617089031274e-05
Position 628: 8.693746056512197e-06
Position 134: 8.359557838049124e-06
Position 366: 2.4417478989869816e-06
Position 525: 2.2903911345019373e-06
Position 596: 1.7669342733867274e-06
Position 415: 1.1255915488076384e-06
Position 469: 9.313367502243121e-07
Position 328: 8.024085393384603e-07
Position 206: 7.769269584486667e-07
Position 400: 4.565874992736129e-07
Position 394: 3.4107125814131054e-07
Position 625: 1.9757774539253542e-07
Position 266: 9.268792412022498e-08
Position 822: 5.460208150651944e-08
Position 146: 1.9353506416117542e-08
Position 355: 5.516258886840135e-10
Position 407: 2.249169634261414e-10
Position 462: 1.4519364809504892e-10
Position 522: 2.0667126400065302e-11
Position 242: 1.0184203371714254e-11
