Gene = SMSr
index = 1463
Annotated 5SS: [ 854 6070 6295]
Annotated 3SS: [5565 6127 6358]
SMsplice 5SS: [ 854 6070 6295]
SMsplice 3SS: [5087 6127 6358]
top_k =  500
Partition function (log Z): -3.0825779689860937

Sorted 5' Splice Sites (High to Low Probability):
Position 6295: 0.9875761095389562
Position 6070: 0.8816629172621872
Position 854: 0.7981323359103503
Position 538: 0.12457053405006834
Position 5705: 0.09576362278152921
Position 1011: 0.09021297108608291
Position 6910: 0.02012986416340381
Position 5175: 0.018337496852882662
Position 1030: 0.012047214253643235
Position 1559: 0.011712473121779974
Position 5922: 0.007686895447977219
Position 4826: 0.00710758770727369
Position 5178: 0.005872537755008765
Position 2178: 0.004416022577715146
Position 5272: 0.004318454082910354
Position 5690: 0.004177399027508901
Position 5212: 0.003905200769890253
Position 542: 0.0037884183721351495
Position 652: 0.003680525498751313
Position 5327: 0.0034174885521858264
Position 892: 0.003223029219803549
Position 6231: 0.002993466210528988
Position 2806: 0.002958581001508194
Position 6580: 0.002481629391322493
Position 691: 0.0021332085204607168
Position 6842: 0.002085565489589437
Position 6267: 0.001901666114467628
Position 6440: 0.001725109918991237
Position 5358: 0.0016408111681183214
Position 2186: 0.0013560101684541295
Position 6672: 0.0013219535210548634
Position 5372: 0.001077936123742054
Position 7260: 0.0009883520120597875
Position 6603: 0.0009771785872865592
Position 18: 0.0009059455579797167
Position 6033: 0.00085546714972197
Position 7302: 0.0008289435271961897
Position 2142: 0.0008102776460522939
Position 3265: 0.0007472176252579998
Position 4670: 0.0007128596229462815
Position 628: 0.0006888928180171263
Position 511: 0.0006838379488270207
Position 3050: 0.0006489701560062506
Position 1682: 0.0005853439850963891
Position 5536: 0.000463310823543282
Position 4539: 0.0003931789372912794
Position 1283: 0.0003511117109345011
Position 6257: 0.0003111047744217608
Position 6814: 0.00026036366236784254
Position 6229: 0.00025198628025887687
Position 5765: 0.0002226122871749902
Position 6753: 0.00021565625061009084
Position 6669: 0.0001473597140690825
Position 3308: 0.00014540381653744536
Position 7025: 0.00012900688310371432
Position 6527: 0.000122529298955532
Position 6789: 0.00010545643379703623
Position 6261: 0.00010442299076861369
Position 254: 9.688216440471418e-05
Position 7065: 8.771395091370323e-05
Position 6712: 8.41165647408613e-05
Position 76: 7.895467199276394e-05
Position 271: 6.113335186618399e-05
Position 2557: 5.594082304088217e-05
Position 7103: 4.541937639786678e-05
Position 296: 3.856747646066166e-05
Position 6556: 3.4443962304984825e-05
Position 6926: 3.311853892621094e-05
Position 246: 3.289520450643958e-05
Position 6180: 3.113666032667714e-05
Position 1018: 2.7409743167447745e-05
Position 3291: 2.4974309173653176e-05
Position 7296: 2.3963060491302177e-05
Position 6791: 2.0198919163098873e-05
Position 6428: 1.9978822545669937e-05
Position 7051: 1.8281956292520035e-05
Position 7310: 1.6967984990735485e-05
Position 6406: 1.5168659685630606e-05
Position 145: 9.91951570004477e-06
Position 777: 8.101463534365094e-06
Position 1043: 6.474053868873008e-06
Position 81: 5.734588161593819e-06
Position 1046: 5.52840093015491e-06
Position 1549: 5.158298474738071e-06
Position 40: 4.401897485014416e-06
Position 161: 4.216700786053206e-06
Position 2674: 4.021492452157973e-06
Position 119: 3.983864988515918e-06
Position 1522: 3.901169141913072e-06
Position 437: 3.859303849293231e-06
Position 2681: 1.7146526709338935e-06
Position 1057: 1.6008898604394052e-06
Position 1317: 1.527184832343196e-06
Position 7246: 1.424949942455737e-06
Position 430: 1.360890172011522e-06
Position 7321: 1.1004096132764132e-06
Position 129: 1.078703996832909e-06
Position 1407: 1.049012626786945e-06
Position 391: 8.331599657793736e-07
Position 3: 7.135547046358204e-07
Position 417: 6.497178489895965e-07
Position 607: 3.62820700153703e-07
Position 858: 3.099100288918198e-07
Position 414: 3.077458480935375e-07
Position 861: 2.7324832001405946e-07
Position 1766: 2.2236230290789907e-07
Position 749: 1.634947318317459e-07
Position 899: 1.4149316585019775e-07
Position 669: 1.3879995922046532e-07
Position 722: 1.0844130932173286e-07
Position 741: 8.723401690817035e-08
Position 1226: 8.51424193633601e-08
Position 406: 6.70449463835564e-08
Position 928: 6.518835333827113e-08
Position 304: 4.350980602697461e-08
Position 817: 4.232049080179618e-08
Position 83: 3.744707096259027e-08
Position 729: 3.438536869806238e-08
Position 6824: 3.1732199092506986e-08
Position 6426: 2.886024443608268e-08
Position 775: 1.242432575247292e-08
Position 931: 7.305090125876291e-09
Position 6392: 1.6333744522306529e-09
Position 6639: 6.105271064160353e-10
Position 284: 3.1374326817688337e-12
Position 976: 1.916904898173282e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 6127: 0.9979952718154711
Position 6358: 0.9892125105031768
Position 5087: 0.4607637495915447
Position 5565: 0.38365785116993517
Position 5770: 0.14815862927958137
Position 5271: 0.038322119565413655
Position 7015: 0.02620049538096672
Position 971: 0.02053815234087142
Position 604: 0.016037819998946393
Position 706: 0.0069583286967372406
Position 4510: 0.005600542960798325
Position 756: 0.004068166851244573
Position 2613: 0.0027603036096151734
Position 1484: 0.0027422956305155886
Position 7054: 0.0021693629870342696
Position 1179: 0.0018889100296022626
Position 7037: 0.001847964017351055
Position 4396: 0.0016872334574588427
Position 2726: 0.0015543880347120619
Position 7405: 0.0014446850410072764
Position 6411: 0.001283393461656947
Position 1277: 0.001119964589677526
Position 1101: 0.0011102940609838523
Position 6493: 0.0011101793375087492
Position 4482: 0.0009279932243713878
Position 7330: 0.0007619965730392152
Position 1142: 0.0006681488289280958
Position 615: 0.0006294827312447985
Position 2120: 0.0005278997539724066
Position 976: 0.00043001522813984215
Position 1805: 0.0003744279818510247
Position 6649: 0.0003033244654459929
Position 7099: 0.00029323484129393314
Position 591: 0.00024736814849233543
Position 1592: 0.00024517148053091457
