Gene = Ca-Ma2d
index = 1050
Annotated 5SS: [ 760 5475 5836 5971 6412 6625 7186 7496 7661 8149 8510]
Annotated 3SS: [4144 5658 5892 6034 6475 6679 7252 7566 7726 8337 8570]
SMsplice 5SS: [ 760 5475 5971 6412 6625 7186 7496 7661 8149 8510]
SMsplice 3SS: [4144 5658 6034 6475 6679 7252 7566 7726 8337 8570]
top_k =  500
Partition function (log Z): 34.28985749044795

Sorted 5' Splice Sites (High to Low Probability):
Position 6625: 0.9987068001908778
Position 5971: 0.9979616564995422
Position 7186: 0.9978796177017765
Position 5475: 0.9962734062602502
Position 6412: 0.992324036062292
Position 7496: 0.9890044305256441
Position 7661: 0.9857862538725208
Position 8149: 0.9519533427682709
Position 8510: 0.9155050926728361
Position 760: 0.8956167894050892
Position 5836: 0.4892186424678931
Position 8654: 0.17197798412239707
Position 9383: 0.16924549493389163
Position 50: 0.1154447305521416
Position 4959: 0.058958130117258915
Position 2346: 0.03642738267396532
Position 6763: 0.029898315229327704
Position 9694: 0.02748377688737016
Position 8449: 0.026730360895491398
Position 4362: 0.026051352653944086
Position 9378: 0.015760936543879268
Position 9498: 0.015202108747338135
Position 8137: 0.01469600357183833
Position 553: 0.010907586168037468
Position 7833: 0.010092116810933345
Position 4351: 0.009528693101693426
Position 1614: 0.00937662295051308
Position 5587: 0.009278597168823784
Position 1106: 0.00848958743946459
Position 4025: 0.007858741592351174
Position 1366: 0.007465026488631844
Position 3616: 0.007071759904222522
Position 113: 0.006863641133214174
Position 4796: 0.006625967851684044
Position 4332: 0.006475316441111036
Position 1067: 0.005985302880920636
Position 4229: 0.005984708647949101
Position 9753: 0.005984198440396287
Position 8054: 0.005855624947989793
Position 4337: 0.005787120104030341
Position 1181: 0.005591974660997084
Position 3634: 0.005567986496754384
Position 7667: 0.005190857833030333
Position 6418: 0.004238215444996325
Position 787: 0.004073985951422999
Position 601: 0.003980882946134617
Position 1966: 0.0034257178376399344
Position 461: 0.003362987343224114
Position 2226: 0.003322931398171871
Position 5585: 0.0032031402463773024
Position 4946: 0.0028128732284894977
Position 2299: 0.0026099220023879026
Position 3720: 0.0024171989475186683
Position 9000: 0.0021359933627133616
Position 3124: 0.0021066227247785495
Position 764: 0.002052764095715653
Position 4299: 0.001973898780681673
Position 7814: 0.0018289556171232945
Position 797: 0.0017498271894624828
Position 6917: 0.00173161348264134
Position 606: 0.0016267003037870884
Position 9104: 0.001625846786484643
Position 9962: 0.0015619710607942788
Position 1885: 0.0012713445607853992
Position 6155: 0.0012155932237042368
Position 7768: 0.001176027610499907
Position 7758: 0.0011509982824174
Position 1277: 0.0010085240190306761
Position 409: 0.0009108444094251072
Position 8514: 0.0008128186446795355
Position 6629: 0.0007510043759691276
Position 8153: 0.0007265199800547839
Position 6898: 0.0007185611467174382
Position 8294: 0.0006984992464937848
Position 4238: 0.0006874631192854086
Position 128: 0.0006627086445466391
Position 8024: 0.0006576940545253844
Position 6416: 0.0006525118513922694
Position 6960: 0.0006084848398682634
Position 4379: 0.0005710026525072061
Position 8456: 0.0005446976840210116
Position 6904: 0.0005340264524997667
Position 9354: 0.0005328663408626101
Position 7641: 0.0005135479946659114
Position 7996: 0.0005102828166630138
Position 5301: 0.0005024110426790704
Position 6398: 0.00048245934118205453
Position 6792: 0.00047895674246133856
Position 7060: 0.00046339449844438494
Position 7915: 0.0004630932692036183
Position 442: 0.0004592150377250039
Position 5390: 0.0004525363320094775
Position 6782: 0.0004072953116191756
Position 3070: 0.0003725223394878738
Position 619: 0.00035743886378088326
Position 6816: 0.00035651647808658364
Position 8159: 0.0003552889353945676
Position 1452: 0.00035286266854883463
Position 8002: 0.00034759954315380284
Position 1377: 0.0003173839014250474
Position 9898: 0.00031483416601995446
Position 4954: 0.00030879991988270376
Position 458: 0.00030159498858910454
Position 1281: 0.00027858815788115446
Position 7485: 0.0002729344075721373
Position 4283: 0.00026280390609629374
Position 7990: 0.0002598458580052913
Position 1078: 0.00025520360018467503
Position 8488: 0.00023194704338461177
Position 8191: 0.00021565752092203298
Position 8165: 0.00020929037536100532
Position 7470: 0.0001991104413973126
Position 8211: 0.0001972610378782701
Position 7500: 0.00019427741896717207
Position 1527: 0.00018325508596110329
Position 8029: 0.00017834846836923765
Position 2836: 0.00017115892219721297
Position 294: 0.00016962903613053883
Position 7665: 0.0001692393395312728
Position 9296: 0.00016786351564324566
Position 3236: 0.0001651832634117693
Position 531: 0.0001580217202607221
