Gene = Shab
index = 1499
Annotated 5SS: [ 1771  2413 28907 30460 46608 52997 53876 57091 60830 61089 61420]
Annotated 3SS: [ 2226 28538 29057 45763 52784 53461 56976 59667 60894 61148 62313]
SMsplice 5SS: [   43 28907 30460 46608 52997 53876 57091 60830 61089 61420]
SMsplice 3SS: [28538 29057 45763 52859 53461 56976 59667 60894 61148 62313]
top_k =  500
Partition function (log Z): -69.08862511461503

Sorted 5' Splice Sites (High to Low Probability):
Position 43: 0.5349504896630731
Position 268: 0.4650474376519048
Position 154: 9.585895699284656e-07
Position 871: 4.07942220977809e-07
Position 3223: 3.702103031496035e-07
Position 1081: 3.6594175350105907e-07
Position 2413: 2.259819269459712e-07
Position 166: 1.7360359447482055e-07
Position 3286: 1.575164416876384e-07
Position 270: 9.756312665163713e-08
Position 78: 4.137783568563299e-08
Position 3017: 1.49825171268535e-08
Position 272: 8.969766275156147e-09
Position 623: 7.053705421218245e-09
Position 2294: 4.56539292415001e-09
Position 1970: 3.6711335294260795e-09
Position 1771: 2.676844291901036e-09
Position 1611: 1.5371982221222882e-09
Position 1827: 1.0982019687785676e-09
Position 5260: 1.0901912527209191e-09
Position 3565: 9.65239324061371e-10
Position 502: 9.190450584327398e-10
Position 1775: 8.444941627241878e-10
Position 1112: 7.02176463165875e-10
Position 146: 3.707546738683703e-10
Position 81: 1.513320859817377e-10
Position 3313: 1.1025024678386931e-10
Position 347: 1.051747191375573e-10
Position 3552: 1.0420557213579462e-10
Position 276: 8.281677161646305e-11
Position 1573: 7.880907741595816e-11
Position 711: 4.721143500199575e-11
Position 794: 3.523306112523028e-11
Position 287: 2.6624864366297147e-11
Position 95: 2.3126456007131345e-11
Position 982: 2.1277073080418868e-11
Position 274: 2.0414697856356957e-11
Position 444: 9.638925263370585e-12
Position 47: 8.307237791593168e-12
Position 308: 8.268781370080543e-12
Position 748: 2.280964860377836e-12
Position 524: 2.1978151515066744e-12
Position 881: 2.032887540650765e-12
Position 170: 1.6628556063688728e-12
Position 186: 1.6546928763073932e-12
Position 722: 1.5969205871271796e-12
Position 1413: 1.4518434899718067e-12
Position 349: 1.3378801689234654e-12
Position 2012: 1.2512043648264619e-12
Position 757: 1.1615551974890573e-12
Position 875: 9.64154862455392e-13
Position 150: 9.493962387159077e-13
Position 1370: 8.139688674235048e-13
Position 693: 7.734818836958332e-13
Position 467: 7.316487285124906e-13
Position 429: 7.273200793456946e-13
Position 953: 7.126138801491507e-13
Position 123: 6.888168225423203e-13
Position 1378: 6.560571997679867e-13
Position 38: 6.185815561614393e-13
Position 2289: 6.065543999572733e-13
Position 887: 4.970508694302739e-13
Position 404: 4.335646756534051e-13
Position 899: 4.064856373156369e-13
Position 40: 3.5167820377568715e-13
Position 290: 2.241727621318802e-13
Position 994: 1.5768570508226882e-13
Position 134: 2.620903840212804e-14
Position 132: 1.5681647543926308e-14
Position 158: 1.4448855070293835e-14
Position 58: 1.3154499791471655e-14
Position 210: 1.2319399990201769e-14
Position 83: 1.004054661650487e-14
Position 735: 6.174893019266403e-15
Position 766: 4.130416376641516e-15
Position 85: 1.4168776113509213e-16
Position 129: 8.242341201534963e-17
Position 436: 7.632788093488563e-17
Position 455: 5.0963803866834644e-17
Position 118: 1.8174254757563453e-18
Position 546: 1.456499236350669e-18
Position 72: 6.746394664404883e-19
Position 617: 4.520175771542194e-20

Sorted 3' Splice Sites (High to Low Probability):
Position 22428: 0.9999943667790825
Position 11397: 2.0981706486326776e-06
Position 9621: 1.2684262471993924e-06
Position 8985: 1.0032507410284672e-06
Position 9552: 9.563420090487074e-07
Position 2891: 2.5931528175970327e-07
Position 1139: 2.1104523120328694e-07
Position 8599: 1.6869212808249894e-07
Position 3095: 9.41119512634008e-08
