Gene = TrissinR
index = 1566
Annotated 5SS: [ 1246 21949 24483 26256 27028 27823 28895 29255 32315]
Annotated 3SS: [21300 24337 26095 26826 27471 28879 28988 32094 32399]
SMsplice 5SS: [  149 21949 24483 26256 27028 28895 29255 32315]
SMsplice 3SS: [21300 24337 26095 26826 27471 28988 32094 32399]
top_k =  500
Partition function (log Z): 6.45778670716562

Sorted 5' Splice Sites (High to Low Probability):
Position 27028: 0.989123794253023
Position 32315: 0.9875869954216352
Position 26256: 0.9857567448322094
Position 29255: 0.9722968573927605
Position 24483: 0.9565201765932562
Position 28895: 0.7540062910038504
Position 21949: 0.702171231068065
Position 27823: 0.6592359798990355
Position 10397: 0.5393188646352504
Position 149: 0.538149686006818
Position 1246: 0.5377188508359669
Position 30028: 0.48619280240964025
Position 21372: 0.3588929222634873
Position 27590: 0.14857693093702443
Position 8793: 0.09679533375024235
Position 26660: 0.08281986586713816
Position 8028: 0.07975721761246646
Position 9531: 0.06523487190433637
Position 28650: 0.06199536268575559
Position 30799: 0.04526708054618474
Position 83: 0.04431408668129316
Position 29804: 0.041911862122442405
Position 31543: 0.03726078794008816
Position 32635: 0.032570722869520806
Position 27986: 0.027501193127728436
Position 28610: 0.0245449018115046
Position 1075: 0.01591324610856355
Position 406: 0.012240303076809067
Position 31464: 0.009704121510379353
Position 7797: 0.008483111957099757
Position 209: 0.007087951200365622
Position 27691: 0.006931199952895967
Position 219: 0.00474843090170652
Position 2354: 0.004730504003858578
Position 413: 0.0044786180200066805
Position 27200: 0.004368420901957135
Position 390: 0.0043049837700715405
Position 27175: 0.004146048699684396
Position 4150: 0.00374531908155137
Position 27260: 0.003228297823295853
Position 29388: 0.003102646359787703
Position 28258: 0.0030338334708249525
Position 1440: 0.002659079470554847
Position 274: 0.0021706982737467427
Position 9098: 0.001794569308824129
Position 28529: 0.0016857874286023364
Position 27685: 0.0016742976241449592
Position 862: 0.0016637882388479584
Position 27309: 0.0013317453656787482
Position 4014: 0.0013317187644376492
Position 4027: 0.001049830862999812
Position 27710: 0.0009484107870281229
Position 570: 0.000630261949427883
Position 28271: 0.0006297903675919138
Position 32621: 0.0005776217762120369
Position 8199: 0.0005213947198487628
Position 26951: 0.0004453119654994757
Position 27782: 0.00039344359014333177
Position 30740: 0.0003910655122790746
Position 28500: 0.00039021261059405136
Position 1047: 0.00035574857752702894
Position 27034: 0.0003450813151833608
Position 29371: 0.0003369724602988827
Position 331: 0.00032826032483318556
Position 1020: 0.0003215652370068189
Position 7945: 0.0002975915764388019
Position 27695: 0.00028207726745357225
Position 29577: 0.00026133145652839723
Position 27862: 0.00024740657352324743
Position 27725: 0.00024261638501460328
Position 29501: 0.00022915067302640686
Position 29225: 0.0002227457974706638
Position 230: 0.0002179974974691453
Position 28283: 0.00019815750435589295
Position 299: 0.00013284698980446348
Position 32566: 0.00011994133975548007
Position 32624: 0.00011815424613749988
Position 28229: 0.0001171633118245103
Position 29259: 0.00010558156700544953
Position 910: 0.00010374219712982989
Position 936: 0.00010174787002788592
Position 164: 8.822489176267191e-05
Position 32539: 8.061989252318104e-05
Position 29584: 7.519122785426878e-05
Position 27121: 7.197466123623603e-05
Position 26970: 6.572536312427103e-05
Position 985: 6.431414626750072e-05
Position 153: 6.350107043483613e-05
Position 27019: 5.8435999870159764e-05
Position 28321: 5.52691495016474e-05
Position 141: 4.9795203116691266e-05
Position 2000: 4.907979010785209e-05
