Gene = strat
index = 1897
Annotated 5SS: [204]
Annotated 3SS: [273]
SMsplice 5SS: [204]
SMsplice 3SS: [273]
top_k =  500
Partition function (log Z): -4.776822844674456

Sorted 5' Splice Sites (High to Low Probability):
Position 204: 0.9992686774900168
Position 539: 0.05113944500276158
Position 650: 0.005539504980652071
Position 655: 0.0054885061304073505
Position 830: 0.0037043022803225807
Position 499: 0.000798035021936717
Position 502: 0.0007462865678949403
Position 596: 0.0006678157727420274
Position 23: 0.0006452316139743432
Position 644: 0.0005281417140587883
Position 421: 0.00018347169039836678
Position 864: 0.00016523635934426138
Position 844: 0.00014360299859198316
Position 414: 0.00012957093451524372
Position 791: 0.00011640797179381557
Position 782: 0.00010756953976845694
Position 6: 9.314614336009771e-05
Position 400: 7.840747041278373e-05
Position 815: 7.558420664103275e-05
Position 448: 6.127431113394059e-05
Position 663: 2.7194829541179703e-05
Position 208: 2.631112609781191e-05
Position 355: 2.4579104365845288e-05
Position 823: 2.0372481721682432e-05
Position 387: 1.5005141895463198e-05
Position 3: 1.378488843572139e-05
Position 548: 1.3632257718818463e-05
Position 138: 6.056753395042248e-06
Position 688: 4.8043708109624496e-06
Position 13: 3.846145830164903e-06
Position 274: 3.7309325957435246e-06
Position 602: 2.524746087426926e-06
Position 543: 2.310599293112634e-06
Position 716: 2.2689199228342407e-06
Position 160: 2.058538746389511e-06
Position 731: 1.0575815453251466e-06
Position 765: 8.308172943756596e-07
Position 541: 3.439457760461208e-07
Position 51: 8.94481354725338e-08
Position 149: 5.11592724905604e-09
Position 252: 1.0468588038566993e-09
Position 258: 2.3406672324769577e-10
Position 280: 1.4867466624417364e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 273: 0.985744414386002
Position 706: 0.02628800719136132
Position 731: 0.016538200769136844
Position 908: 0.015255302027339388
Position 644: 0.00791429622954182
Position 602: 0.0074635677659607505
Position 648: 0.0033982716129003234
Position 713: 0.0019566248823876206
Position 297: 0.001304131595922337
Position 300: 0.0006677153758505903
Position 622: 0.000666181567442094
Position 87: 0.0006018230774616374
Position 716: 0.0005574353736120912
Position 917: 0.0004645089341983003
Position 736: 0.00037671508152771656
Position 303: 0.00013431884552223718
Position 625: 7.716485086780351e-05
Position 410: 6.972720023954686e-05
Position 875: 5.888902608766754e-05
Position 103: 5.55507084590768e-05
Position 329: 5.48942304820487e-05
Position 776: 3.781252867937361e-05
Position 320: 3.717922688776441e-05
Position 64: 3.629655086491191e-05
Position 149: 2.739021099360189e-05
Position 89: 1.5306148705388473e-05
Position 343: 1.0376617348107302e-05
Position 782: 8.03116459330942e-06
Position 834: 6.0831266778734125e-06
Position 548: 6.054596552624378e-06
Position 360: 5.428174993886694e-06
Position 864: 3.97580193730636e-06
Position 495: 3.940391198372705e-06
Position 93: 1.5870953094577443e-06
Position 414: 1.0723394695558703e-06
Position 655: 9.541854473898551e-07
Position 796: 9.523139169401045e-07
Position 197: 4.275488365933681e-07
Position 174: 3.557133801304173e-07
Position 180: 2.8339739752808675e-08
Position 378: 1.5362568469108758e-08
Position 107: 1.2666318181038059e-08
Position 200: 3.0708258121959408e-09
Position 510: 1.3888706938046964e-09
Position 241: 9.137393011872618e-10
Position 519: 8.771353760251221e-10
Position 442: 7.009581873046989e-11
Position 467: 6.301854199323403e-11
Position 438: 5.75726526196259e-11
Position 525: 4.786217887139009e-11
Position 333: 4.2306683002540387e-11
Position 497: 6.826806612006405e-12
Position 182: 4.876672478793756e-13
Position 208: 4.031306144273519e-17
Position 203: 5.100006188989331e-18
