Gene = w-cup
index = 1933
Annotated 5SS: [1037]
Annotated 3SS: [1096]
SMsplice 5SS: [1037]
SMsplice 3SS: [1096]
top_k =  500
Partition function (log Z): -5.980189572150531

Sorted 5' Splice Sites (High to Low Probability):
Position 1037: 0.9816083394453717
Position 1187: 0.07977124162209476
Position 1447: 0.02442448591583059
Position 949: 0.015075758149567678
Position 533: 0.004467804306309146
Position 1117: 0.002319636447916413
Position 367: 0.0019647768646126086
Position 295: 0.0016722576912734366
Position 49: 0.00166562351644214
Position 1050: 0.0015678402654064662
Position 1283: 0.0014163625239172748
Position 148: 0.001313920714567843
Position 523: 0.0013033363069770117
Position 546: 0.0006530551585042609
Position 1548: 0.0005555685286400245
Position 467: 0.0005245479841973462
Position 139: 0.0004923022737597435
Position 819: 0.00048546981645872835
Position 9: 0.000431235735987153
Position 1008: 0.0002892105532641514
Position 772: 0.0002335666663148658
Position 14: 0.00019859931725950958
Position 236: 0.0001802148019091336
Position 678: 0.00015262939097136457
Position 738: 0.0001399713985454147
Position 1416: 0.0001298930870489442
Position 954: 7.33026661112001e-05
Position 611: 6.647249924499755e-05
Position 25: 6.535150612660047e-05
Position 1829: 5.511780833568819e-05
Position 1608: 5.171311813385438e-05
Position 1737: 4.963248231530375e-05
Position 1719: 3.7397733716224016e-05
Position 108: 2.4200604549090583e-05
Position 220: 1.9068938418153187e-05
Position 1316: 1.5848545555686674e-05
Position 909: 1.4292429272016786e-05
Position 1499: 1.412914109512043e-05
Position 1682: 1.293813468088074e-05
Position 393: 8.631178650659774e-06
Position 1365: 6.397198162543857e-06
Position 1405: 6.288955006084942e-06
Position 690: 3.7043519476985438e-06
Position 1839: 3.5795074961024455e-06
Position 246: 2.6769536657889078e-06
Position 937: 3.467747995413349e-07
Position 889: 2.499637085345049e-08
Position 645: 1.0720922157717798e-08
Position 1137: 9.299371172586914e-09
Position 642: 3.1337464797722233e-09
Position 1096: 8.646431066964743e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1096: 0.5851610350731359
Position 1099: 0.40803124185424355
Position 1652: 0.025422298033975492
Position 1608: 0.018443860464702526
Position 1494: 0.015583049434537673
Position 1674: 0.00988167401261532
Position 603: 0.009605829085275524
Position 1632: 0.008768551213213908
Position 1105: 0.006183480789809635
Position 1307: 0.005063484447614043
Position 1338: 0.004723386244643084
Position 1548: 0.0036082449992856478
Position 1267: 0.0025593687334470702
Position 1635: 0.002557737816472095
Position 1313: 0.002518871010904908
Position 1235: 0.0019166465822987645
Position 1765: 0.0018954376181810437
Position 1806: 0.0016750675633981859
Position 120: 0.0010367495011898997
Position 899: 0.0007393100529863511
Position 1434: 0.0006716098249816135
Position 1405: 0.0006612226561626776
Position 1429: 0.0006447594280754058
Position 1324: 0.0005627360429777521
Position 606: 0.000528122858720212
Position 1768: 0.0005135196977801162
Position 419: 0.0004928304490619086
Position 1382: 0.0003867727659288857
Position 431: 0.00038185462223535904
Position 266: 0.0003784638329888064
Position 889: 0.0003475685121180293
Position 1412: 0.0003081432971631055
Position 1008: 0.00026274321130918794
Position 669: 0.0002054030742253516
Position 189: 0.00016911864174599063
Position 590: 0.00015837364235574995
Position 515: 0.00014426119648832124
Position 339: 0.00013447967189874921
Position 192: 0.00010772934669663482
Position 1232: 9.710744546032401e-05
Position 1199: 9.324833210052568e-05
Position 1554: 8.710656716521489e-05
Position 1910: 8.306086091711533e-05
Position 630: 7.965268858762158e-05
Position 786: 7.448793805120569e-05
Position 1340: 6.901696104651116e-05
Position 1386: 6.397846424822561e-05
Position 661: 5.009994741952877e-05
Position 1202: 4.736869672346057e-05
Position 1180: 3.4348412929667494e-05
Position 1277: 2.9653489056627673e-05
Position 865: 2.548329182791599e-05
Position 1154: 2.5214881732349e-05
Position 1166: 2.282636364674069e-05
Position 1447: 2.1351468516790027e-05
Position 627: 2.0022512333361597e-05
Position 1121: 1.6391670989704936e-05
Position 291: 1.5189423307006504e-05
Position 1356: 1.4811980061618621e-05
Position 1347: 1.4306836642104898e-05
Position 201: 1.2840231355610546e-05
Position 1839: 1.2817650016982286e-05
Position 1915: 1.1903532697674387e-05
Position 328: 9.86932354416895e-06
Position 367: 9.324493339865685e-06
Position 836: 9.298338244705875e-06
Position 482: 8.199117613591828e-06
Position 683: 8.0769001203435e-06
Position 1143: 8.05338054583588e-06
Position 710: 7.511379765829099e-06
Position 241: 7.407509443988215e-06
Position 834: 7.04299058999646e-06
Position 236: 6.011852201943494e-06
Position 767: 5.621528111689747e-06
Position 619: 5.499561216171704e-06
Position 1223: 4.586706896523191e-06
Position 678: 3.6884519953743673e-06
Position 523: 3.3994247837874385e-06
Position 295: 2.9275592378234786e-06
Position 81: 2.3661452502079294e-06
Position 738: 1.2818759956844247e-06
Position 791: 1.0666025142792425e-06
Position 1041: 1.3259949430767845e-07
Position 1271: 6.914721794180244e-08
Position 353: 1.2143773021488207e-08
Position 435: 8.164336205496851e-09
Position 135: 2.6324701745062366e-09
Position 125: 1.0233979454384114e-09
Position 148: 7.498900651797735e-10
Position 819: 5.16976034880828e-10
Position 734: 4.876447712489201e-10
Position 251: 2.457092773360082e-10
Position 132: 1.1666899595661046e-10
Position 161: 1.0481630395475021e-10
