Gene = Ccn
index = 1059
Annotated 5SS: [  461 21129 26048 26171 31874 33271 39859 40327 48912]
Annotated 3SS: [21042 25951 26148 31793 33125 39568 40173 48623 57667]
SMsplice 5SS: [  461 21129 26171 33271 39859 40327]
SMsplice 3SS: [21042 25951 33125 39568 40173 57667]
top_k =  500
Partition function (log Z): -8.698052505750345

Sorted 5' Splice Sites (High to Low Probability):
Position 21129: 0.9999999999999952
Position 40327: 0.9990151140565957
Position 39859: 0.9834818132116612
Position 461: 0.9498503366949304
Position 33271: 0.8988570961655921
Position 26171: 0.532871995164763
Position 26048: 0.460506931523695
Position 48912: 0.25428263367664095
Position 33985: 0.15221752316286888
Position 104: 0.029205315983039902
Position 284: 0.01991162150244178
Position 35880: 0.015102152907514078
Position 42159: 0.012924969481455358
Position 2340: 0.012868824777487246
Position 45201: 0.010930141404409796
Position 41090: 0.010684218355297382
Position 730: 0.006604393897631399
Position 1914: 0.0061027590043136
Position 39714: 0.0039182382720865825
Position 40030: 0.0032500755803006828
Position 3247: 0.002055269151311715
Position 7241: 0.001484814728226218
Position 5195: 0.0014240911279331178
Position 5504: 0.0013982526939152107
Position 47340: 0.0011411156722851003
Position 47920: 0.0010733528067222533
Position 473: 0.0002522941691841172
Position 98: 0.00012835295127566442
Position 94: 7.705148791794425e-05
Position 971: 1.832528897537417e-05
Position 1340: 8.434765083333356e-06
Position 40643: 7.730454065497654e-06
Position 445: 7.478139213653658e-06
Position 1507: 6.275895537138298e-06
Position 1687: 3.427296877711584e-06
Position 1260: 3.1846642029944062e-06
Position 108: 2.910907535425987e-06
Position 432: 1.2036172141145934e-06
Position 484: 1.159250662159665e-06
Position 923: 9.024544040208288e-07
Position 434: 8.333979994006266e-07
Position 846: 5.337990752708965e-07
Position 1271: 5.220279930887226e-07
Position 772: 4.7089597651644904e-07
Position 288: 2.886993380990341e-07
Position 182: 2.774910527405467e-07
Position 934: 2.581359511318093e-07
Position 100: 2.4041752538302443e-07
Position 613: 2.377412482228949e-07
Position 298: 1.730823569555762e-07
Position 563: 1.194344806184597e-07
Position 339: 9.800326521770131e-08
Position 465: 8.231600148852879e-08
Position 404: 6.213900090451542e-08
Position 9: 5.977390065710281e-08
Position 349: 5.270483115695644e-08
Position 384: 3.221825581326442e-08
Position 209: 3.209830227204612e-08
Position 221: 2.5011466054567753e-08
Position 45531: 2.143404456830048e-08
Position 45590: 1.9466988374086358e-08
Position 212: 1.7345775042306192e-08
Position 598: 1.452107378941098e-08
Position 235: 1.306235442377121e-08
Position 45488: 1.201039485759051e-08
Position 85: 9.835218536360795e-09
Position 543: 9.41851218611511e-09
Position 45276: 8.766726650009097e-09
Position 252: 7.6305467915243e-09
Position 311: 7.498774785323522e-09
Position 520: 7.117555640340301e-09
Position 232: 6.202765302162575e-09
Position 245: 4.92476158653229e-09
Position 226: 4.9027194840183495e-09
Position 381: 4.7604160311208064e-09
Position 376: 3.3981823371135454e-09
Position 43249: 3.100258807637805e-09
Position 44849: 1.927057106396171e-09
Position 43545: 4.893160408510256e-10
Position 42423: 4.3318354335353336e-10
Position 42657: 2.235477192544646e-10
Position 40714: 1.5469127879941862e-11
Position 40833: 8.299796018318005e-14
Position 40628: 1.0053799674857717e-15
Position 6984: 2.760426589786912e-21
Position 6940: 8.736221399817959e-22
Position 1243: 6.452550954233259e-22
Position 1484: 2.757751740386739e-22
Position 1997: 2.668154794608627e-22
Position 2918: 2.451216661151326e-22
Position 2424: 6.897756556636759e-23
Position 5665: 2.8627249062569e-23
Position 884: 1.2834918676965177e-23
Position 980: 1.1145610930068878e-23
Position 913: 2.3635999749160268e-24
Position 858: 1.3723815503141082e-24
Position 110: 5.384035351568011e-26
Position 41: 4.157427412932874e-26
Position 28: 4.125720685645643e-26
Position 6: 2.8066081132106985e-26
Position 302: 2.3577291648935574e-26
Position 102: 1.7857107084078296e-26
Position 300: 1.1489645577068008e-26
Position 87: 7.776202569145938e-27
Position 764: 1.5779572571711273e-27
Position 639: 1.4427679682999588e-27
Position 699: 2.5100335377527934e-28
Position 4132: 1.2312870929788853e-30
Position 2861: 2.779564396864346e-33
Position 3451: 2.3952302804045825e-33
Position 2679: 1.2990034762452852e-33
Position 2516: 8.580037260404831e-34
Position 2884: 5.93126679078314e-34
Position 2922: 4.14221124057593e-34
Position 2645: 3.946929801444596e-34
Position 929: 2.5146168091903933e-37
Position 1118: 1.3257667406993414e-37
Position 1275: 7.513981759418314e-38
Position 1009: 1.2189886592547148e-38
Position 788: 6.770225817843237e-39
Position 865: 4.732538037400039e-39
Position 794: 4.196609608846473e-39
Position 646: 1.9001478726560376e-40
Position 112: 5.2919716317702315e-43
Position 551: 5.68957508283515e-44
Position 541: 5.63865843096362e-44

Sorted 3' Splice Sites (High to Low Probability):
Position 21042: 0.9999999999999946
Position 57667: 0.9968001265548357
Position 39568: 0.993243616871432
Position 25951: 0.9898802185137667
Position 33125: 0.8988570961655924
Position 40173: 0.7883525260155755
Position 40176: 0.1922255774800799
Position 48400: 0.08941828835098464
Position 48674: 0.07883336136171698
Position 33834: 0.07248563745908373
Position 48623: 0.07213339523242243
Position 33409: 0.029555156892030414
Position 33766: 0.01468569807295631
Position 33425: 0.014448705043988222
Position 40998: 0.011627984001083
Position 33503: 0.010929288556971941
Position 35656: 0.010801478349279412
Position 45101: 0.01035433259154385
Position 40119: 0.0102594597957246
Position 33383: 0.007069363571917557
Position 48371: 0.006721841088369492
Position 47828: 0.005956228940498117
Position 541: 0.005602363879514326
Position 2194: 0.005496390907280489
Position 2233: 0.004584729372444821
Position 35216: 0.004300674558234667
Position 26148: 0.0034987081746923696
Position 33430: 0.003043673565921749
Position 47182: 0.0026135197955487743
Position 40749: 0.002363298896013919
Position 40097: 0.0021558505229623175
Position 5041: 0.0020711778755365478
Position 40040: 0.002068155408982
Position 3087: 0.00197888022584478
Position 56308: 0.0017998678983025
Position 40705: 0.0017547308940906007
Position 520: 0.0016136553523123814
Position 1758: 0.001554781614010736
Position 646: 0.0012328019757085519
Position 7093: 0.001224602770320796
Position 1809: 0.0012092934712399491
Position 40562: 0.0011142038632541709
Position 54022: 0.0011105587271820119
Position 40982: 0.0010987435195559429
Position 41027: 0.0009819233677862615
Position 47857: 0.0008379558141790373
Position 42022: 0.0008348546487311806
Position 40926: 0.0007797049354225481
Position 1639: 0.0007719916808118452
Position 40082: 0.0007138955319848302
Position 41925: 0.0006773963723876421
Position 1572: 0.0006725035666191391
Position 39958: 0.0006162819264292256
Position 40499: 0.000579761595413468
Position 45064: 0.0005760778777008011
Position 2072: 0.0005435126284058008
Position 40890: 0.0005248562781408547
Position 5376: 0.00046873484972441675
Position 1812: 0.0004672570155692844
Position 41954: 0.00046411144650732706
Position 1041: 0.0004380563449659843
Position 1400: 0.0003840601796261565
Position 42010: 0.0002502969638900446
Position 42089: 0.00024645047451190487
Position 2107: 0.00021652253837187575
Position 908: 0.00019887396682114302
Position 40948: 0.00016874407269045443
Position 3794: 0.0001551344989426635
Position 6726: 0.0001490280275260219
Position 40986: 0.00014213695981347613
Position 5361: 0.0001272965976446999
Position 6168: 0.00011118393037940004
Position 52548: 0.00011030019190283908
Position 52878: 4.78147387408798e-05
Position 2423: 4.2592074185617395e-05
Position 1968: 4.118445553085982e-05
Position 52980: 3.904239801158319e-05
Position 39953: 3.760884166499624e-05
Position 811: 3.269775004845553e-05
Position 1196: 3.188290661400354e-05
Position 53050: 2.8933674260450067e-05
Position 50539: 1.997485825958823e-05
Position 50509: 1.0165066876201983e-05
Position 50157: 5.463794154331983e-06
Position 50066: 3.2015199314943735e-06
Position 48983: 1.660486789500056e-06
Position 49899: 1.3787931736744724e-06
Position 49420: 1.106638590410486e-06
Position 48986: 4.854151369084112e-07
Position 49182: 4.842713848494341e-07
Position 49459: 4.77023817647397e-07
Position 49196: 3.186438881088856e-07
Position 49119: 2.1805723415025222e-07
