Gene = barr
index = 1623
Annotated 5SS: [ 185  959 2569]
Annotated 3SS: [ 353 1017 2640]
SMsplice 5SS: [ 185  542  959 2569]
SMsplice 3SS: [ 316  645 1017 2640]
top_k =  500
Partition function (log Z): 5.973929271282172

Sorted 5' Splice Sites (High to Low Probability):
Position 2569: 0.9996094648604494
Position 959: 0.9969268217615315
Position 185: 0.7419076286085396
Position 542: 0.6013393462535654
Position 224: 0.09229495307336089
Position 1862: 0.05319959007789788
Position 226: 0.052758773898852175
Position 2187: 0.019773235576234713
Position 1651: 0.01597698195362622
Position 1172: 0.009735701820463937
Position 1351: 0.009000721752861691
Position 235: 0.007925333651436382
Position 92: 0.0071355204909577625
Position 2220: 0.004216240679008525
Position 869: 0.0021028471650304512
Position 44: 0.001925255610913494
Position 2974: 0.001798946172848477
Position 1701: 0.0016182742850420185
Position 1569: 0.0011990563227836691
Position 2824: 0.0011102378121507746
Position 428: 0.0010201105626787125
Position 1193: 0.001000382790494872
Position 2067: 0.0009362219455332406
Position 1329: 0.0007966162231226825
Position 75: 0.0007864214692404533
Position 289: 0.0007479557453056065
Position 2680: 0.0007401808782091766
Position 1837: 0.0004086451233458651
Position 195: 0.0003568678805759593
Position 2804: 0.0003135171681186598
Position 546: 0.00016247587696843313
Position 2555: 0.0001359117857772648
Position 1267: 0.00013315066696026844
Position 1376: 0.00011476311710327478
Position 512: 0.0001147437591565831
Position 272: 0.00010928373020524655
Position 689: 0.00010162867862943015
Position 984: 8.812856386053925e-05
Position 78: 6.95820498459736e-05
Position 2650: 6.272547331509056e-05
Position 682: 5.9760800715944914e-05
Position 548: 5.972273682224419e-05
Position 98: 5.10450382420431e-05
Position 239: 4.913146679742293e-05
Position 963: 4.181318572004373e-05
Position 600: 3.884072937114915e-05
Position 2483: 2.148038633460463e-05
Position 2880: 2.1412076447148587e-05
Position 197: 2.1098438028337936e-05
Position 2884: 1.6890472572403382e-05
Position 3013: 1.669770180590173e-05
Position 125: 1.4730381189430704e-05
Position 2573: 1.4209744387028926e-05
Position 2862: 1.1974981200466186e-05
Position 2976: 9.138917754830563e-06
