Gene = RFeSP
index = 1400
Annotated 5SS: [ 178 1117]
Annotated 3SS: [ 736 1171]
SMsplice 5SS: [ 178 1117]
SMsplice 3SS: [ 736 1171]
top_k =  500
Partition function (log Z): -4.743813421776486

Sorted 5' Splice Sites (High to Low Probability):
Position 1117: 0.903135997958296
Position 178: 0.8932302156861981
Position 1121: 0.0696716271592392
Position 1343: 0.014974453582194024
Position 1382: 0.010895062669598488
Position 520: 0.009241113440846884
Position 341: 0.0046724889225625375
Position 1404: 0.004262726530974524
Position 297: 0.003381892066429557
Position 1371: 0.0032517254345871853
Position 1612: 0.003088134659577331
Position 597: 0.002800455328170714
Position 530: 0.0023719648746849302
Position 1439: 0.002171973639446585
Position 446: 0.0014597409049792744
Position 999: 0.0011827337235504832
Position 1379: 0.0009634303568640106
Position 265: 0.0006726406744739247
Position 415: 0.0006121221260732847
Position 489: 0.0004728709398876693
Position 1425: 0.0004244517402259506
Position 39: 0.0004205626666168478
Position 1554: 0.0002731607686359479
Position 1398: 0.00023276801900399668
Position 1514: 0.0002304858539531126
Position 550: 0.0002019623199624036
Position 1562: 0.00017807059360102734
Position 1131: 0.0001520498833968574
Position 1580: 0.00012374029634932846
Position 1003: 0.0001020203418885916
Position 884: 9.209448245568897e-05
Position 129: 8.475123554348462e-05
Position 907: 6.359196865560624e-05
Position 502: 5.7740261215147304e-05
Position 51: 5.676276498653161e-05
Position 360: 5.143278229428411e-05
Position 862: 4.902941765581751e-05
Position 1618: 4.2431000058955845e-05
Position 548: 3.596132352983377e-05
Position 1629: 3.169605180535132e-05
Position 1260: 2.710245051913025e-05
Position 111: 2.3710510469011355e-05
Position 16: 2.1930385223527077e-05
Position 326: 1.656662067919675e-05
Position 1357: 1.6490693622199058e-05
Position 600: 1.566066067938542e-05
Position 978: 1.3742067778219826e-05
Position 7: 1.2139712860480154e-05
Position 1126: 1.1356976337138377e-05
Position 1014: 1.0046155907223894e-05
Position 165: 9.645283287052433e-06
Position 877: 8.32889898234922e-06
Position 946: 7.225499683193431e-06
Position 159: 4.824995117188432e-06
Position 1078: 4.748523054448338e-06
Position 1211: 3.0147327734564558e-06
Position 103: 1.7109293486457107e-06
Position 766: 1.6805514234337517e-06
Position 795: 1.438900772587572e-06
Position 1648: 9.515601339360003e-07
Position 96: 1.0022026212192573e-07
Position 1230: 1.5259212058263223e-08
Position 1176: 1.084147119197094e-08
Position 1199: 9.058040471849214e-09
Position 1032: 8.080328083240299e-09
Position 799: 7.204743101057445e-09
Position 809: 5.252955415961649e-09
Position 815: 2.1659757979554125e-09
Position 812: 5.457238736252011e-10
Position 1202: 3.1807487958892023e-10
Position 98: 2.6504687437625005e-10
Position 1135: 3.243838323893492e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1171: 0.9739368109066961
Position 736: 0.8906069709477453
Position 1464: 0.03371988846279621
Position 747: 0.017979359614131035
Position 1685: 0.009251614920285322
Position 765: 0.002501156175286933
Position 318: 0.0015749818114429508
Position 648: 0.0011672961915189036
Position 1609: 0.0010325028367805453
Position 471: 0.0007580298328113312
Position 1186: 0.0005908810016984835
Position 1565: 0.0003531529175328409
Position 669: 0.00031671278748614587
Position 684: 0.00024002895196621475
Position 389: 0.00022989645458023177
Position 255: 0.00019337076081822952
Position 293: 0.00016482089464092578
Position 489: 0.00013510546837717548
Position 1643: 0.00013204966584020328
Position 510: 0.00012864591005487758
Position 1577: 0.00012078925955744089
Position 575: 0.00010376105015582022
Position 1535: 5.7355581337215836e-05
Position 1014: 5.432820273809186e-05
Position 1580: 3.2702030091971015e-05
Position 1071: 2.8513374978776924e-05
Position 804: 2.6728235811753227e-05
Position 1425: 2.645133171151732e-05
Position 1410: 2.3208798031298408e-05
Position 1588: 2.089330862636886e-05
Position 115: 2.0836167989072622e-05
Position 946: 1.5190777644339942e-05
Position 1723: 1.4247239342700032e-05
Position 70: 1.227477292245297e-05
Position 1705: 7.863767823990858e-06
Position 1308: 7.749523689514381e-06
Position 561: 6.274652297276513e-06
Position 276: 5.020959593290967e-06
Position 1693: 4.478211412610757e-06
Position 675: 4.4776469595960875e-06
Position 1026: 3.92851436331276e-06
Position 1728: 1.966120742191122e-06
Position 999: 1.8676667044391701e-06
Position 225: 1.8015785509239672e-06
Position 1646: 1.6488087046956817e-06
Position 540: 1.6244875825392884e-06
Position 1192: 1.5278183397994049e-06
Position 1532: 1.3487016452390128e-06
Position 843: 1.1945734492100806e-06
Position 117: 1.0980617649716316e-06
Position 809: 1.0331157041623914e-06
Position 1065: 1.0059470386003263e-06
Position 993: 9.546807485963957e-07
Position 520: 9.324161550361648e-07
Position 772: 7.280573956071025e-07
Position 149: 4.973995636400258e-07
Position 265: 3.8954500553624764e-07
Position 900: 3.420136408955241e-07
Position 963: 2.79027395601275e-07
Position 128: 1.7527020233195527e-08
Position 182: 2.314929552417947e-09
Position 530: 2.15629080471044e-11
Position 123: 1.0415722273035513e-13
Position 213: 6.991547312338549e-14
Position 192: 3.98215802012877e-15
Position 154: 2.997979287126682e-15
Position 206: 1.2410509924370043e-15
