Gene = Blos4
index = 52
Annotated 5SS: [229]
Annotated 3SS: [282]
SMsplice 5SS: [229]
SMsplice 3SS: [282]
top_k =  500
Partition function (log Z): -4.260525778980379

Sorted 5' Splice Sites (High to Low Probability):
Position 229: 0.9973284944980119
Position 751: 0.2165127502181866
Position 618: 0.0021716738709361685
Position 737: 0.001740293047302259
Position 391: 0.0013439143675210655
Position 510: 0.0011859202322869163
Position 400: 0.0005691694611767824
Position 248: 0.00041562936728251326
Position 25: 0.00038500895060388657
Position 874: 0.00036397168030299443
Position 637: 0.00031407218237047754
Position 717: 0.00023752328318316014
Position 219: 0.00019893522714811338
Position 283: 0.00016009896826044688
Position 377: 0.00011650084237551983
Position 44: 0.00010900436364559919
Position 233: 0.00010859365582498691
Position 967: 6.235936307634552e-05
Position 1029: 5.648652904626659e-05
Position 18: 5.508233054852943e-05
Position 389: 4.772753991586099e-05
Position 395: 3.750163266307669e-05
Position 397: 2.8099678564140417e-05
Position 37: 2.393833632679438e-05
Position 682: 1.0651982880635007e-05
Position 562: 9.744882653243869e-06
Position 515: 8.946689798193048e-06
Position 335: 7.490179585142459e-06
Position 9: 6.408941405077465e-06
Position 977: 5.032396351095523e-06
Position 987: 4.133868211737134e-06
Position 168: 2.2002189788975484e-06
Position 1032: 1.4892670861982346e-06
Position 970: 1.412881627027877e-06
Position 347: 3.249026832917362e-07
Position 421: 2.571213027437099e-07
Position 433: 2.1463202873983022e-07
Position 106: 2.083704698982367e-07
Position 267: 1.471653970472692e-07
Position 287: 8.748226146653115e-08
Position 236: 5.315260336960742e-08
Position 583: 3.0485203730184865e-08
Position 252: 1.2659909342783377e-08
Position 707: 5.510684640191057e-10
Position 254: 1.002114624116263e-10
Position 793: 3.249164012976013e-11
Position 319: 1.2072457290991015e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 282: 0.9943133622095197
Position 805: 0.19491815715611985
Position 922: 0.011557522763042205
Position 935: 0.007543477523855125
Position 888: 0.0031507842251593922
Position 334: 0.002531801686828179
Position 869: 0.0024509253671241246
Position 849: 0.0014918021508918728
Position 1027: 0.0008903062287882189
Position 343: 0.0007096868683062467
Position 671: 0.0006056602523211264
Position 1076: 0.0005458889106364652
Position 1087: 0.0005056348671946461
Position 442: 0.00046677976965505666
Position 682: 0.0002543392467452523
Position 135: 0.00022878202681630183
Position 774: 0.00020236255147861886
Position 126: 0.0001893136901793218
Position 347: 0.00018265417659406202
Position 987: 0.00016948306217894835
Position 495: 0.00014576840364567331
Position 939: 0.00011307051595461883
Position 702: 6.161913079442724e-05
Position 692: 5.50334324730243e-05
Position 61: 4.884281722113521e-05
Position 855: 4.392192753384164e-05
Position 1047: 3.622991068682253e-05
Position 1044: 3.449685590300777e-05
Position 734: 2.435070188272855e-05
Position 567: 2.0792365828347084e-05
Position 504: 1.9980628818690754e-05
Position 1032: 1.7267411979443706e-05
Position 530: 1.618030581568057e-05
Position 466: 1.4600104976648423e-05
Position 714: 1.3076933614348072e-05
Position 473: 1.1961265076718963e-05
Position 400: 7.5890234732299724e-06
Position 404: 6.9553930322102646e-06
Position 363: 6.785071091242744e-06
Position 453: 4.129321507041392e-06
Position 1092: 3.900416161441015e-06
Position 717: 3.3955971142754797e-06
Position 579: 2.5022758391700286e-06
Position 539: 1.910328158861874e-06
Position 428: 1.8523071295903182e-06
Position 102: 1.7870938896251234e-06
Position 450: 1.463840203434733e-06
Position 1094: 1.0024613959460055e-06
Position 955: 9.470774824054381e-07
Position 521: 3.2317695889195273e-07
Position 510: 2.647340175746293e-07
Position 267: 1.7596985065593124e-07
Position 368: 1.3126783013137687e-07
Position 153: 1.297859880617591e-07
Position 354: 1.1407317530229219e-07
Position 421: 8.484518716202207e-08
Position 480: 5.623643497986332e-08
Position 515: 5.360434502208509e-08
Position 618: 3.9291028456557555e-08
Position 570: 3.756762004340897e-08
Position 150: 2.955575008062625e-08
Position 137: 9.248462194018903e-09
Position 197: 3.993320129956584e-09
Position 156: 3.214402201023136e-09
Position 183: 2.6564013142945603e-09
Position 252: 3.8729680170765664e-10
Position 248: 1.7360924228538328e-10
Position 233: 8.841013167501528e-11
Position 213: 6.856316232845307e-11
